Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-12-05,35.5,36.05,33.75,35.8,624000,,,
2017-12-06,35.25,35.6,35.0,35.0,96000,,,
2017-12-07,35.25,41.45,35.2,39.65,228000,,,
2017-12-08,39.5,42.35,39.5,40.1,304000,,,
2017-12-11,40.0,40.0,37.05,37.45,72000,,,
2017-12-12,39.25,39.25,37.0,37.0,48000,,,
2017-12-13,37.4,37.45,35.8,36.2,76000,,,
2017-12-14,36.7,37.0,36.0,36.25,52000,,,
2017-12-15,36.05,36.7,36.0,36.6,40000,,,
2017-12-18,35.5,36.8,35.5,35.65,40000,,,
2017-12-19,36.6,36.65,36.1,36.1,28000,,,
2017-12-20,36.75,36.85,36.15,36.15,24000,,,
2017-12-21,36.75,36.9,36.15,36.15,24000,,,
2017-12-22,36.75,36.85,35.7,35.7,40000,,,
2017-12-26,36.4,36.45,36.35,36.45,12000,,,
2017-12-27,35.3,36.3,35.3,36.0,44000,,,
2017-12-28,36.3,36.3,35.85,36.1,36000,,,
2017-12-29,35.2,36.35,35.2,35.75,32000,,,
2018-01-01,36.5,36.7,35.4,35.6,76000,,,
2018-01-02,36.4,36.45,35.0,35.0,28000,,,
2018-01-03,35.4,35.55,35.1,35.25,36000,,,
2018-01-04,35.6,35.65,35.0,35.0,36000,,,
2018-01-05,35.75,35.75,35.0,35.0,48000,,,
2018-01-08,36.2,36.2,35.25,35.25,12000,,,
2018-01-09,35.0,35.05,35.0,35.0,24000,,,
2018-01-10,38.0,38.0,35.6,35.6,40000,,,
2018-01-11,35.85,36.0,35.8,36.0,28000,,,
2018-01-12,36.2,36.2,35.1,35.1,12000,,,
2018-01-15,35.15,36.25,35.0,35.6,12000,,,
2018-01-16,35.9,35.95,35.8,35.8,16000,,,
2018-01-18,35.9,35.9,34.5,35.0,28000,,,
2018-01-23,33.55,34.95,33.55,34.95,8000,,,
2018-01-24,34.0,34.0,34.0,34.0,8000,,,
2018-01-25,33.55,33.75,33.55,33.75,8000,,,
2018-01-29,34.0,34.0,34.0,34.0,4000,,,
2018-01-31,33.0,33.0,33.0,33.0,4000,,,
2018-02-01,32.0,32.0,32.0,32.0,8000,,,
2018-02-02,31.5,31.5,31.25,31.25,16000,,,
2018-02-05,31.5,32.1,31.5,32.1,12000,,,
2018-02-06,30.0,30.0,30.0,30.0,4000,,,
2018-02-07,32.4,32.5,31.0,31.0,12000,,,
2018-02-09,31.0,31.0,31.0,31.0,4000,,,
2018-02-16,32.0,32.0,31.0,31.3,12000,,,
2018-02-19,31.3,31.3,31.3,31.3,4000,,,
2018-02-26,30.6,30.6,30.6,30.6,4000,,,
2018-03-01,30.0,33.3,30.0,32.25,24000,,,
2018-03-05,32.0,32.0,32.0,32.0,4000,,,
2018-03-06,31.0,31.0,31.0,31.0,4000,,,
2018-03-07,31.0,31.0,31.0,31.0,4000,,,
2018-03-08,30.0,30.0,30.0,30.0,4000,,,
2018-03-09,30.0,30.0,30.0,30.0,4000,,,
2018-03-12,30.1,30.1,30.0,30.0,12000,,,
2018-03-13,30.5,30.5,30.5,30.5,4000,,,
2018-03-14,30.05,30.05,30.0,30.0,8000,,,
2018-03-19,29.5,29.5,29.5,29.5,4000,,,
2018-03-20,29.0,29.0,27.5,27.5,8000,,,
2018-03-21,28.5,29.0,28.5,29.0,12000,,,
2018-03-22,28.75,28.75,28.75,28.75,4000,,,
2018-03-23,28.5,28.5,27.5,28.0,12000,,,
2018-03-26,27.0,27.1,27.0,27.1,12000,,,
2018-03-27,27.5,27.5,27.5,27.5,4000,,,
2018-03-28,28.0,28.0,28.0,28.0,4000,,,
2018-04-12,26.5,26.5,26.5,26.5,4000,,,
2018-04-13,26.5,26.5,26.5,26.5,4000,,,
2018-04-25,26.5,27.0,26.5,27.0,8000,,,
2018-05-02,32.4,32.4,28.0,29.0,12000,,,
2018-05-03,29.0,29.0,29.0,29.0,4000,,,
2018-05-04,29.0,29.0,29.0,29.0,4000,,,
2018-05-09,28.75,28.75,28.75,28.75,8000,,,
2018-05-11,27.0,27.0,27.0,27.0,4000,,,
2018-05-14,27.0,27.0,27.0,27.0,4000,,,
2018-05-16,28.25,31.95,27.25,27.25,40000,,,
2018-05-18,27.0,27.0,27.0,27.0,4000,,,
2018-05-21,27.5,27.5,27.5,27.5,4000,,,
2018-05-23,27.7,28.0,27.7,28.0,8000,,,
2018-05-24,27.5,28.4,27.5,27.5,20000,,,
2018-05-30,27.0,27.0,27.0,27.0,4000,,,
2018-05-31,26.0,26.0,26.0,26.0,4000,,,
