Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,9.1,9.45,8.0,8.9,134271,EQ,190.0,706.69,74353.0
2026-04-21,9.2,9.25,8.8,9.15,47192,EQ,257.0,183.63,39629.0
2026-04-22,9.1,9.2,8.9,9.05,77133,EQ,310.0,248.82,65482.0
2026-04-23,9.1,9.5,8.5,9.0,456300,EQ,683.0,668.08,276324.0
2026-04-24,9.3,9.9,9.1,9.55,319917,EQ,687.0,465.67,233580.0
2026-04-27,9.65,9.9,9.5,9.6,143302,EQ,479.0,299.17,116058.0
2026-04-28,9.85,9.85,9.5,9.5,97873,EQ,347.0,282.05,73457.0
2026-04-29,9.4,9.75,9.3,9.35,46694,EQ,338.0,138.15,35478.0
2026-04-30,9.35,9.55,9.2,9.2,59981,EQ,329.0,182.31,50279.0
2026-05-04,9.64,9.64,9.03,9.09,205910,EQ,463.0,444.73,165380.0
2026-05-05,9.09,9.38,9.02,9.18,47929,EQ,352.0,136.16,35107.0
2026-05-06,9.19,9.33,9.19,9.27,64015,EQ,216.0,296.37,62329.0
2026-05-07,9.45,9.45,9.12,9.24,210699,EQ,321.0,656.38,177528.0
2026-05-08,9.4,9.4,9.15,9.23,161129,EQ,422.0,381.82,131704.0
2026-05-11,9.44,9.44,8.78,9.02,128722,EQ,625.0,205.96,99484.0
2026-05-12,9.02,9.02,8.8,8.89,118100,EQ,516.0,228.88,91565.0
2026-05-13,8.86,9.15,8.8,8.85,130618,EQ,345.0,378.6,107036.0
2026-05-14,8.85,9.3,8.76,8.79,118274,EQ,636.0,185.97,89234.0
2026-05-15,8.79,8.84,8.0,8.53,334980,EQ,806.0,415.61,234765.0
2026-05-18,8.62,8.62,8.2,8.48,144255,EQ,492.0,293.2,91630.0
2026-05-19,8.48,8.63,8.3,8.38,115913,EQ,421.0,275.33,83609.0
2026-05-20,8.28,8.69,8.28,8.37,115601,EQ,420.0,275.24,75854.0
2026-05-21,8.37,8.64,8.37,8.44,51497,EQ,286.0,180.06,31359.0
2026-05-22,8.31,8.59,8.2,8.34,78017,EQ,337.0,231.5,55608.0
2026-05-25,8.38,8.65,8.31,8.34,96823,EQ,487.0,198.82,65650.0
2026-05-26,8.34,8.63,8.3,8.48,115238,EQ,419.0,275.03,74304.0
2026-05-27,8.65,8.69,8.26,8.39,177368,EQ,588.0,301.65,115084.0
2026-05-29,8.38,8.65,8.2,8.5,123876,EQ,433.0,286.09,99741.0
2026-06-01,8.69,8.9,8.4,8.46,117912,EQ,373.0,316.12,98538.0
2026-06-02,8.65,8.75,8.25,8.59,135708,EQ,299.0,453.87,98536.0
2026-06-03,8.59,8.8,8.35,8.47,112559,EQ,365.0,308.38,72239.0
2026-06-04,8.64,8.64,8.37,8.49,58314,EQ,306.0,190.57,50529.0
2026-06-05,8.54,8.55,8.31,8.33,113211,EQ,431.0,262.67,88633.0
2026-06-08,8.33,8.6,8.3,8.31,92598,EQ,328.0,282.31,74435.0
2026-06-09,8.2,8.63,8.2,8.49,215610,EQ,357.0,603.95,105517.0
2026-06-10,8.33,9.42,8.33,8.75,1161616,EQ,1567.0,741.3,557274.0
2026-06-11,8.99,9.29,8.58,8.69,209405,EQ,656.0,319.21,153880.0
2026-06-12,8.69,8.97,8.5,8.65,140177,EQ,676.0,207.36,103632.0
2026-06-15,8.7,9.5,8.7,9.35,658324,EQ,784.0,839.7,488340.0
2026-06-16,9.68,9.7,8.4,8.88,394684,EQ,1177.0,335.33,273576.0
2026-06-17,8.62,9.35,8.62,8.95,182291,EQ,547.0,333.26,114570.0
2026-06-18,8.97,9.28,8.71,8.82,136846,EQ,421.0,325.05,89860.0
2026-06-19,8.82,9.13,8.77,8.88,98997,EQ,342.0,289.46,70010.0
2026-06-22,8.79,9.18,8.59,9.02,119370,EQ,483.0,247.14,98782.0
2026-06-23,9.25,9.25,8.73,8.88,153080,EQ,345.0,443.71,135643.0
2026-06-24,8.62,8.9,8.58,8.68,152860,EQ,461.0,331.58,117010.0
2026-06-25,8.99,8.99,8.55,8.59,125598,EQ,306.0,410.45,100206.0
2026-06-29,8.62,8.69,8.47,8.53,62365,EQ,346.0,180.25,44406.0
2026-06-30,8.78,8.91,8.5,8.56,188231,EQ,508.0,370.53,97761.0
2026-07-01,8.81,8.84,8.58,8.64,146305,EQ,332,440.68,108427
2026-07-02,8.64,8.74,8.5,8.55,113358,EQ,386,293.67,88002
2026-07-03,8.46,8.78,8.4,8.47,107137,EQ,380,281.94,86295
2026-07-06,8.45,8.65,8.35,8.54,53027,EQ,247,214.68,42272
2026-07-07,8.38,8.58,8.38,8.5,86227,EQ,311,277.26,66527
2026-07-08,8.35,8.58,8.33,8.39,104542,EQ,287,364.26,81858
2026-07-09,8.3,8.48,8.3,8.35,87051,EQ,270,322.41,63539
2026-07-10,8.35,8.48,8.29,8.37,67091,EQ,227,295.56,56551
2026-07-13,8.2,8.43,8.2,8.42,217576,EQ,304,715.71,187499
2026-07-14,8.5,8.5,8.16,8.41,109098,EQ,514,212.25,79113
2026-07-15,8.23,8.4,8.23,8.3,83973,EQ,272,308.72,56017
2026-07-16,8.3,8.67,8.15,8.28,142186,EQ,425,334.56,54965
2026-07-17,8.47,8.47,8.1,8.12,305403,EQ,445,686.3,265144
2026-07-20,8.12,8.29,7.68,8.07,172128,EQ,570,301.98,116565
