Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2019-07-12,29.0,29.5,28.5,29.15,112000,,,
2019-07-15,28.0,28.9,28.0,28.9,128000,,,
2019-07-16,27.5,29.0,27.5,27.5,276000,,,
2019-07-17,26.15,26.15,26.15,26.15,112000,,,
2019-07-18,24.85,24.85,24.85,24.85,156000,,,
2019-07-19,23.65,25.0,23.65,24.45,424000,,,
2019-07-22,23.25,23.25,23.25,23.25,20000,,,
2019-07-23,22.1,24.4,22.1,23.45,244000,,,
2019-07-24,24.25,24.25,24.25,24.25,4000,,,
2019-07-25,23.15,25.1,23.15,25.1,408000,,,
2019-07-26,26.7,26.7,26.0,26.05,340000,,,
2019-07-29,24.75,24.75,23.0,23.75,76000,,,
2019-07-30,23.0,24.0,23.0,24.0,56000,,,
2019-07-31,22.5,22.5,22.5,22.5,4000,,,
2019-08-05,23.45,23.6,23.45,23.5,12000,,,
2019-08-07,22.6,22.6,20.0,20.45,40000,,,
2019-08-08,21.45,21.5,21.0,21.5,12000,,,
2019-08-09,20.45,20.45,20.45,20.45,4000,,,
2019-08-13,19.45,19.45,19.45,19.45,4000,,,
2019-08-20,18.1,18.1,15.6,17.9,16000,,,
2019-08-21,21.4,21.4,21.4,21.4,4000,,,
2019-08-23,17.15,17.15,17.15,17.15,4000,,,
2019-08-26,15.5,15.5,15.5,15.5,4000,,,
2019-08-28,15.0,15.0,15.0,15.0,4000,,,
2019-08-29,15.0,15.0,14.5,14.5,8000,,,
2019-09-05,14.5,15.95,14.5,15.95,8000,,,
2019-09-09,17.35,17.35,17.35,17.35,4000,,,
2019-09-11,18.85,18.85,18.85,18.85,4000,,,
2019-09-16,17.95,17.95,17.95,17.95,4000,,,
2019-09-17,17.1,18.8,17.1,18.8,8000,,,
2019-09-20,17.9,18.35,17.9,18.35,108000,,,
2019-09-24,19.25,19.25,19.25,19.25,4000,,,
2019-09-25,20.1,20.1,20.1,20.1,32000,,,
2019-09-26,21.0,21.0,21.0,21.0,48000,,,
2019-10-04,19.95,19.95,19.95,19.95,4000,1,4000.0,4000
2019-10-07,20.5,20.5,20.5,20.5,4000,1,4000.0,4000
2019-10-09,19.5,19.5,19.5,19.5,4000,1,4000.0,4000
2019-10-15,18.55,18.55,18.55,18.55,12000,1,12000.0,12000
2019-10-17,17.65,17.65,17.65,17.65,4000,1,4000.0,4000
2019-10-22,18.0,18.0,18.0,18.0,4000,1,4000.0,4000
2019-10-24,17.1,18.45,17.1,18.45,8000,2,4000.0,4000
2019-10-25,17.55,17.55,17.55,17.55,4000,1,4000.0,4000
2019-10-29,16.0,16.1,15.9,16.0,16000,4,4000.0,12000
2019-10-30,16.8,16.8,16.1,16.5,12000,3,4000.0,8000
2019-11-04,17.3,17.3,17.3,17.3,4000,1,4000.0,4000
2019-11-05,18.05,18.05,18.05,18.05,8000,2,4000.0,8000
2019-11-06,18.5,18.8,18.5,18.8,12000,2,6000.0,12000
2019-11-11,17.9,17.9,17.9,17.9,8000,2,4000.0,4000
2019-11-14,17.05,17.05,17.05,17.05,4000,1,4000.0,4000
2019-11-15,16.2,16.2,16.2,16.2,8000,2,4000.0,4000
2019-11-18,15.4,15.4,15.4,15.4,12000,1,12000.0,12000
2019-11-19,14.65,14.65,14.65,14.65,8000,2,4000.0,8000
2019-11-20,13.95,13.95,13.95,13.95,4000,1,4000.0,4000
2019-11-21,13.3,13.3,13.3,13.3,4000,1,4000.0,4000
2019-11-22,12.65,13.95,12.65,13.1,16000,4,4000.0,16000
2019-11-25,13.0,13.0,13.0,13.0,4000,1,4000.0,4000
2019-11-26,13.65,13.65,12.5,12.5,8000,2,4000.0,4000
2019-11-28,13.05,13.05,13.05,13.05,40000,3,13333.33,40000
2019-11-29,13.55,13.55,13.55,13.55,32000,1,32000.0,32000
2019-12-05,14.05,14.2,14.05,14.2,16000,2,8000.0,16000
2019-12-12,13.5,13.5,13.5,13.5,4000,1,4000.0,4000
2019-12-13,12.85,12.85,12.85,12.85,4000,1,4000.0,4000
2019-12-16,12.25,12.25,12.25,12.25,8000,2,4000.0,4000
2019-12-27,12.8,12.8,12.75,12.75,44000,9,4888.89,44000
2019-12-31,12.15,12.15,12.15,12.15,4000,1,4000.0,4000
2020-01-02,12.0,12.0,12.0,12.0,4000,1,4000.0,4000
2020-01-09,12.0,12.5,12.0,12.5,24000,6,4000.0,16000
2020-01-15,11.9,11.9,11.9,11.9,4000,1,4000.0,4000
2020-01-27,11.35,12.2,11.35,12.0,20000,4,5000.0,16000
2020-01-31,11.4,11.4,11.4,11.4,4000,1,4000.0,4000
2020-02-04,11.95,11.95,11.95,11.95,12000,3,4000.0,12000
2020-02-18,12.45,12.45,12.45,12.45,8000,1,8000.0,8000
2020-03-02,11.85,12.5,11.85,12.0,116000,21,5523.81,108000
2020-03-05,11.4,11.4,11.4,11.4,8000,2,4000.0,4000
2020-03-12,11.9,11.9,10.85,10.85,8000,2,4000.0,8000
2020-03-13,10.35,10.35,10.35,10.35,8000,2,4000.0,4000
2020-03-16,10.4,10.85,10.0,10.1,32000,7,4571.43,28000
2020-03-20,9.6,10.5,9.6,10.5,16000,3,5333.33,12000
2020-03-23,10.0,10.0,10.0,10.0,4000,1,4000.0,4000
2020-03-24,9.5,9.5,9.5,9.5,4000,1,4000.0,4000
2020-03-31,9.05,9.05,9.05,9.05,4000,1,4000.0,4000
2020-07-31,9.45,9.45,9.45,9.45,16000,2,8000.0,16000
