Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-24,4292.9,4350.0,4156.0,4182.1,5020,EQ,1218.0,4.12,2822.0
2025-11-25,4182.1,4209.9,4150.0,4171.9,4556,EQ,1020.0,4.47,3067.0
2025-11-26,4170.0,4195.0,4122.0,4128.9,6720,EQ,1471.0,4.57,4421.0
2025-11-27,4139.8,4220.0,4055.0,4102.3,16399,EQ,3642.0,4.5,10149.0
2025-11-28,4119.9,4200.0,4085.0,4134.0,7922,EQ,1774.0,4.47,4468.0
2025-12-01,4128.0,4134.0,4045.0,4064.7,11829,EQ,2368.0,5.0,8803.0
2025-12-02,4088.9,4107.0,3972.0,3993.4,11967,EQ,2426.0,4.93,7989.0
2025-12-03,4009.9,4041.9,3860.1,3883.7,14500,EQ,3285.0,4.41,8533.0
2025-12-04,3883.7,3911.2,3761.0,3778.4,17473,EQ,4097.0,4.26,10173.0
2025-12-05,3749.9,4138.5,3749.8,3967.9,48553,EQ,8662.0,5.61,10400.0
2025-12-08,4029.6,4029.6,3778.1,3800.3,17027,EQ,3331.0,5.11,9682.0
2025-12-09,3816.2,4050.0,3675.1,4008.5,19285,EQ,5253.0,3.67,9233.0
2025-12-10,4040.9,4086.0,3930.0,3970.7,15284,EQ,3333.0,4.59,8543.0
2025-12-11,3957.0,4088.0,3925.0,4057.1,8129,EQ,2197.0,3.7,4300.0
2025-12-12,4057.1,4086.9,3972.1,4013.2,6582,EQ,1625.0,4.05,4190.0
2025-12-15,4000.0,4046.9,3979.0,4004.9,5774,EQ,2289.0,2.52,3440.0
2025-12-16,4065.0,4100.1,3953.1,4040.2,6790,EQ,2132.0,3.18,3353.0
2025-12-17,4040.1,4058.9,3940.0,3962.2,7262,EQ,1960.0,3.71,4616.0
2025-12-18,3981.7,3981.7,3834.1,3877.2,33808,EQ,2865.0,11.8,26655.0
2025-12-19,3870.1,3979.0,3870.1,3939.1,4170,EQ,1296.0,3.22,2302.0
2025-12-22,3989.7,4050.0,3930.0,3959.3,21333,EQ,3656.0,5.84,15664.0
2025-12-23,3961.0,4032.0,3900.0,3969.9,8365,EQ,3302.0,2.53,4105.0
2025-12-24,4010.0,4100.0,3936.0,4024.5,11575,EQ,2314.0,5.0,6471.0
2025-12-26,4024.5,4040.0,3935.7,3944.3,7447,EQ,1998.0,3.73,4062.0
2025-12-29,3924.0,3950.0,3825.5,3833.9,10544,EQ,2308.0,4.57,7495.0
2025-12-30,3853.1,3881.8,3805.1,3817.2,5144,EQ,1573.0,3.27,2997.0
2025-12-31,3800.1,3849.6,3800.1,3827.0,7398,EQ,1492.0,4.96,4770.0
2026-01-01,3832.3,3884.8,3820.6,3830.3,3579,EQ,1114.0,3.21,1975.0
2026-01-02,3811.3,3875.0,3811.3,3837.5,6581,EQ,1745.0,3.77,4478.0
2026-01-05,3872.0,3892.6,3791.0,3804.4,10363,EQ,1867.0,5.55,6802.0
2026-01-06,3825.0,3826.2,3730.0,3752.1,9489,EQ,2216.0,4.28,5584.0
2026-01-07,3779.9,3825.0,3734.9,3785.7,23798,EQ,1949.0,12.21,20083.0
2026-01-08,3790.0,3821.1,3650.0,3701.0,9800,EQ,2375.0,4.13,5967.0
2026-01-09,3701.0,3751.0,3360.0,3393.9,84377,EQ,16267.0,5.19,38497.0
2026-01-12,3376.9,3400.0,3141.0,3156.5,54530,EQ,11633.0,4.69,30380.0
2026-01-13,3237.0,3419.3,3170.6,3199.4,73845,EQ,14555.0,5.07,22871.0
2026-01-14,3284.8,3415.9,3221.0,3336.9,53875,EQ,9537.0,5.65,14317.0
2026-01-16,3325.0,3336.9,3210.2,3238.8,28987,EQ,3997.0,7.25,18145.0
2026-01-19,3238.8,3239.0,3150.0,3167.6,19310,EQ,3122.0,6.19,10368.0
2026-01-20,3160.0,3160.0,2990.0,3004.9,37015,EQ,7137.0,5.19,22426.0
2026-01-21,2990.0,3064.2,2890.0,2984.5,39945,EQ,9058.0,4.41,16699.0
