Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,582.85,599.9,582.85,599.9,3,EQ,2,1.5,3
2026-08-18,599.9,599.9,570.0,599.9,12,EQ,3,4.0,12
2026-08-19,590.0,590.0,583.95,587.0,20,EQ,7,2.86,20
2026-08-20,593.0,593.0,570.0,585.0,317,EQ,20,15.85,257
2026-08-21,608.0,610.0,590.0,610.0,379,EQ,21,18.05,373
2026-08-24,613.05,613.05,595.0,605.15,676,EQ,61,11.08,646
2026-08-25,605.15,630.0,605.15,625.05,789,EQ,33,23.91,690
2026-08-26,615.0,625.0,615.0,625.0,74,EQ,5,14.8,74
2026-08-27,625.0,625.0,625.0,625.0,1,EQ,1,1.0,1
2026-08-28,620.0,674.95,614.0,644.3,709,EQ,26,27.27,552
2026-08-31,648.0,649.95,615.0,649.95,125,EQ,15,8.33,121
