Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2018-10-10,102.5,109.0,95.0,103.3,3073888,,,
2018-10-11,97.0,106.3,95.5,103.0,234583,,,
2018-10-12,105.0,105.8,100.0,101.4,88860,,,
2018-10-15,100.8,102.65,98.0,99.15,86326,,,
2018-10-16,100.6,100.6,96.5,97.05,83510,,,
2018-10-17,97.05,97.85,90.25,91.15,88661,,,
2018-10-19,90.0,94.0,89.0,89.25,47045,,,
2018-10-22,89.15,91.3,86.0,86.75,49963,,,
2018-10-23,87.0,87.0,83.1,83.45,44265,,,
2018-10-24,84.0,84.6,82.6,83.0,27149,,,
2018-10-25,80.05,81.6,80.05,80.45,21834,,,
2018-10-26,79.0,84.2,77.7,81.9,84241,,,
2018-10-29,82.0,84.0,81.0,82.3,26963,,,
2018-10-30,82.0,84.6,82.0,84.15,22830,,,
2018-10-31,86.3,93.85,86.1,90.9,87409,,,
2018-11-01,91.9,93.0,88.05,89.4,30624,,,
2018-11-02,89.3,91.6,89.3,89.95,18226,,,
2018-11-05,88.2,90.5,88.2,89.8,14114,,,
2018-11-06,90.35,90.9,89.3,89.9,15975,,,
2018-11-07,89.0,90.9,89.0,90.4,2400,,,
2018-11-09,90.35,91.5,89.65,90.8,11883,,,
2018-11-12,90.75,92.7,90.0,90.65,18334,,,
2018-11-13,90.25,91.5,90.15,90.6,15387,,,
2018-11-14,90.7,92.5,90.0,90.8,13391,,,
2018-11-15,90.8,92.8,89.55,89.8,17775,,,
2018-11-16,90.05,90.05,89.0,89.55,12095,,,
2018-11-19,90.0,93.6,89.6,92.2,37250,,,
2018-11-20,92.5,97.0,90.15,90.9,16145,,,
2018-11-21,93.0,95.25,90.05,93.75,22903,,,
2018-11-22,93.75,97.0,93.0,95.05,28955,,,
2018-11-26,93.2,99.8,93.2,97.65,33006,,,
2018-11-27,96.5,99.9,96.5,97.7,18491,,,
2018-11-28,98.85,101.45,97.9,100.65,33934,,,
2018-11-29,100.0,102.4,99.95,100.35,28964,,,
2018-11-30,100.8,101.9,99.85,100.6,62560,,,
2018-12-03,100.75,101.2,95.95,96.45,59345,,,
2018-12-04,96.95,98.1,96.0,96.65,6336,,,
2018-12-05,97.05,97.7,93.15,93.9,11471,,,
2018-12-06,93.6,93.6,88.75,92.0,11367,,,
2018-12-07,93.95,97.0,92.6,95.5,8342,,,
2018-12-10,93.5,97.5,90.4,93.25,8614,,,
2018-12-11,92.0,95.7,91.3,95.0,10421,,,
2018-12-12,95.55,96.5,93.65,95.1,10225,,,
2018-12-13,93.7,96.1,93.7,94.4,11705,,,
2018-12-14,94.5,96.55,93.0,95.05,11036,,,
2018-12-17,95.95,99.0,93.5,95.6,21724,,,
2018-12-18,92.15,95.9,92.15,94.6,14255,,,
2018-12-19,93.45,97.4,93.45,95.3,16353,,,
2018-12-20,94.7,96.15,94.4,95.35,16419,,,
2018-12-21,96.5,96.5,94.15,94.7,28175,,,
2018-12-24,94.0,96.5,93.15,95.05,11570,,,
2018-12-26,93.2,95.75,93.0,94.45,22358,,,
2018-12-27,95.05,96.45,92.1,93.2,13275,,,
2018-12-28,92.85,94.8,92.85,93.45,8191,,,
2018-12-31,93.95,95.0,90.2,92.75,13579,,,
2019-01-01,93.8,93.8,92.0,92.45,6696,,,
2019-01-02,91.0,94.5,90.8,93.35,6727,,,
2019-01-03,93.7,94.05,90.05,93.65,27865,,,
2019-01-04,92.45,94.7,91.8,92.45,3931,,,
2019-01-07,93.8,100.8,92.0,95.45,40965,,,
2019-01-08,95.45,96.4,94.05,94.85,8277,,,
2019-01-09,95.75,96.9,93.45,93.95,7064,,,
2019-01-10,93.45,95.4,92.35,92.95,5742,,,
2019-01-11,93.6,94.0,92.15,93.3,6384,,,
2019-01-14,92.1,94.2,92.1,92.5,7389,,,
2019-01-15,92.6,95.9,92.25,94.55,15249,,,
2019-01-16,94.2,95.6,93.25,94.3,7701,,,
2019-01-17,95.15,95.15,92.8,93.6,8930,,,
2019-01-18,93.55,94.5,92.85,93.45,5298,,,
2019-01-21,93.65,94.5,92.35,93.1,5789,,,
2019-01-22,93.85,94.6,91.5,91.95,4775,,,
2019-01-23,91.95,92.0,90.65,90.9,6056,,,
2019-01-24,91.8,91.85,89.1,89.3,3578,,,
