Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-06,163.0,171.15,163.0,171.15,2372800,ST,1353,1753.73,2371200
2026-02-09,179.7,179.7,179.65,179.7,503200,ST,193,2607.25,442400
2026-02-10,188.65,188.65,188.6,188.65,252800,ST,203,1245.32,221600
2026-02-11,198.05,198.05,198.0,198.05,378400,ST,138,2742.03,301600
2026-02-12,207.95,207.95,207.9,207.95,344000,ST,187,1839.57,286400
2026-02-13,218.3,218.3,218.25,218.3,454400,ST,188,2417.02,374400
2026-02-16,229.2,229.2,229.15,229.2,207200,ST,164,1263.41,128800
2026-02-17,240.65,240.65,240.6,240.65,274400,ST,210,1306.67,201600
2026-02-18,252.65,252.65,252.6,252.65,200800,ST,165,1216.97,117600
2026-02-19,265.25,265.25,265.2,265.25,258400,ST,152,1700.0,192000
2026-02-20,238.75,238.75,238.75,238.75,10400,SM,12,866.67,10400
2026-02-23,214.9,214.9,214.9,214.9,13600,SM,5,2720.0,13600
2026-02-24,204.2,204.2,204.2,204.2,33600,ST,14,2400.0,33600
2026-02-25,196.0,214.4,196.0,214.4,392800,ST,259,1516.6,359200
2026-02-26,225.1,225.1,225.05,225.1,328800,ST,147,2236.73,224000
2026-02-27,213.85,213.85,213.85,213.85,25600,ST,15,1706.67,25600
2026-03-02,203.2,203.2,203.2,203.2,3200,ST,3,1066.67,3200
2026-03-04,193.05,193.05,193.05,193.05,1600,ST,2,800.0,1600
2026-03-05,183.4,202.7,183.4,202.7,412800,ST,195,2116.92,352000
2026-03-06,192.6,204.0,192.6,192.6,85600,ST,82,1043.9,72800
2026-03-09,183.0,183.0,183.0,183.0,8800,ST,7,1257.14,8800
2026-03-10,176.2,183.0,173.85,173.85,62400,ST,70,891.43,56000
2026-03-11,173.9,182.5,165.2,165.2,232000,ST,162,1432.1,167200
2026-03-12,156.95,157.0,156.95,156.95,20000,ST,22,909.09,19200
2026-03-13,149.15,155.0,149.15,149.15,16800,ST,12,1400.0,16800
2026-03-16,141.7,142.65,141.7,141.7,177600,ST,40,4440.0,176000
2026-03-17,134.65,138.0,134.65,134.65,49600,ST,35,1417.14,47200
2026-03-18,127.95,137.0,127.95,129.9,47200,ST,45,1048.89,47200
2026-03-19,123.45,136.0,123.45,125.7,147200,ST,76,1936.84,140000
2026-03-20,131.95,131.95,131.95,131.95,51200,ST,54,948.15,50400
2026-03-23,125.4,125.4,125.4,125.4,8800,ST,7,1257.14,8800
2026-03-24,121.1,121.15,119.15,119.15,37600,ST,36,1044.44,30400
2026-03-25,115.1,125.1,113.2,125.1,142400,ST,87,1636.78,120000
2026-03-27,131.35,131.35,131.3,131.35,176800,ST,76,2326.32,142400
2026-03-30,124.8,124.8,124.8,124.8,17600,ST,3,5866.67,17600
2026-04-01,125.0,131.0,120.15,131.0,150400,ST,101,1489.11,113600
2026-04-02,128.0,130.9,125.75,129.95,10400,ST,13,800.0,8800
2026-04-06,127.0,129.8,123.5,125.0,475200,ST,98,4848.98,470400
2026-04-07,119.15,131.25,119.15,131.25,96000,ST,99,969.7,92000
2026-04-08,131.25,137.8,126.0,137.35,175200,ST,52,3369.23,136800
2026-04-09,133.05,135.0,131.45,131.7,7200,ST,9,800.0,6400
2026-04-10,131.9,136.9,131.7,136.9,29600,ST,25,1184.0,26400
2026-04-13,136.9,138.0,136.9,137.0,78400,ST,42,1866.67,58400
2026-04-15,130.15,130.7,130.15,130.15,21600,ST,24,900.0,21600
2026-04-16,129.0,134.95,125.05,133.0,49600,ST,53,935.85,44800
2026-04-17,130.85,130.85,126.45,127.35,36800,ST,46,800.0,33600
2026-04-20,126.8,126.8,123.45,124.45,107200,ST,33,3248.48,105600
2026-04-21,124.45,125.0,122.55,122.8,94400,ST,19,4968.42,91200
2026-04-22,122.9,123.0,119.5,122.95,280800,ST,39,7200.0,280800
2026-04-23,121.9,127.95,117.0,127.4,261600,ST,60,4360.0,252800
2026-04-24,128.8,133.75,127.8,133.75,107200,ST,83,1291.57,95200
2026-04-27,138.9,138.9,131.2,131.2,12000,ST,15,800.0,11200
2026-04-28,128.1,135.0,125.55,130.8,25600,ST,25,1024.0,22400
2026-04-29,130.7,132.9,124.6,128.9,48000,ST,21,2285.71,43200
2026-04-30,124.25,129.0,123.05,124.85,24800,ST,26,953.85,21600
2026-05-04,123.2,124.5,121.2,121.2,12800,ST,16,800.0,12000
2026-05-05,121.2,127.25,116.05,127.25,127200,ST,92,1382.61,80000
2026-05-06,126.5,127.1,120.9,121.15,62400,ST,68,917.65,52000
2026-05-07,121.7,127.2,116.0,124.65,94400,ST,107,882.24,72000
2026-05-08,119.55,121.85,119.05,119.2,44800,ST,55,814.55,36000
2026-05-11,116.95,118.9,115.15,118.35,92000,ST,19,4842.11,49600
2026-05-12,116.0,117.0,114.5,116.25,88000,ST,15,5866.67,48000
2026-05-13,114.85,118.05,114.2,118.0,7200,ST,9,800.0,6400
2026-05-14,116.0,121.45,112.2,115.85,27200,ST,33,824.24,19200
2026-05-15,121.55,121.6,121.55,121.6,25600,ST,27,948.15,25600
2026-05-18,127.65,127.65,127.65,127.65,257600,ST,30,8586.67,235200
2026-05-19,129.85,131.45,121.3,125.25,22400,ST,22,1018.18,20000
2026-05-20,125.7,125.7,122.55,122.55,2400,ST,3,800.0,2400
2026-05-21,126.2,128.65,126.2,128.6,71200,ST,24,2966.67,38400
2026-05-22,127.0,127.0,124.65,124.65,1600,ST,2,800.0,1600
2026-05-25,124.65,130.85,120.1,130.8,62400,ST,28,2228.57,60800
2026-05-26,137.3,137.3,137.25,137.25,28800,ST,32,900.0,27200
2026-05-27,144.1,144.1,144.1,144.1,34400,ST,17,2023.53,33600
2026-05-29,151.3,151.3,138.0,144.8,15200,ST,17,894.12,12800
2026-06-01,130.4,146.0,130.35,145.5,36000,SM,33,1090.91,31200
2026-06-02,136.5,147.2,136.5,147.2,1600,SM,2,800.0,1600
2026-06-03,146.5,149.95,140.0,149.05,143200,SM,13,11015.38,73600
2026-06-04,149.0,149.0,141.5,145.25,1600,SM,2,800.0,1600
2026-06-05,147.0,147.05,147.0,147.0,41600,SM,31,1341.94,40000
2026-06-09,140.3,149.85,140.0,140.45,39200,SM,28,1400.0,30400
2026-06-10,144.5,144.5,140.0,140.0,48000,SM,35,1371.43,39200
2026-06-11,143.5,143.5,140.0,140.0,76800,SM,46,1669.57,52000
2026-06-12,145.4,145.45,145.0,145.05,73600,SM,45,1635.56,49600
2026-06-15,145.05,145.25,145.0,145.15,42400,SM,19,2231.58,29600
2026-06-16,145.05,145.25,145.0,145.0,25600,SM,23,1113.04,22400
2026-06-17,148.05,148.1,148.05,148.05,23200,SM,20,1160.0,22400
2026-06-18,150.05,150.1,150.0,150.05,28000,SM,26,1076.92,22400
2026-06-19,150.1,150.15,150.0,150.05,152000,SM,40,3800.0,116000
2026-06-22,150.1,153.95,150.0,150.05,132800,SM,9,14755.56,71200
2026-06-23,142.5,148.0,137.5,142.65,3200,SM,4,800.0,2400
2026-06-24,148.5,148.5,145.55,145.55,3200,SM,4,800.0,2400
2026-06-25,144.55,144.55,144.55,144.55,800,SM,1,800.0,800
2026-06-29,144.45,144.45,144.45,144.45,800,SM,1,800.0,800
2026-07-01,140.0,140.0,135.55,135.55,3200,SM,4,800.0,2400
2026-07-02,130.0,135.0,126.75,132.5,19200,SM,23,834.78,12000
2026-07-03,135.0,135.0,135.0,135.0,800,SM,1,800.0,800
2026-07-06,135.0,135.0,135.0,135.0,800,SM,1,800.0,800
2026-07-07,131.8,141.0,131.8,141.0,12000,SM,6,2000.0,12000
2026-07-08,136.5,138.9,136.5,138.9,405600,SM,130,3120.0,182400
2026-07-09,140.0,140.0,140.0,140.0,800,SM,1,800.0,800
2026-07-10,138.0,138.0,138.0,138.0,800,SM,1,800.0,800
2026-07-13,135.0,138.0,135.0,136.5,1600,SM,2,800.0,1600
2026-07-14,130.25,135.95,130.25,135.95,1600,SM,2,800.0,800
2026-07-15,131.5,131.5,131.0,131.15,5600,SM,6,933.33,2400
2026-07-16,139.95,139.95,131.5,131.65,3200,SM,4,800.0,3200
2026-07-17,130.75,130.75,130.0,130.0,9600,SM,9,1066.67,7200
2026-07-20,130.1,130.1,130.1,130.1,800,SM,1,800.0,800
2026-07-21,130.15,130.15,130.0,130.0,2400,SM,3,800.0,2400
2026-07-22,136.0,136.0,130.05,130.05,4800,SM,6,800.0,800
2026-07-23,130.05,130.65,130.0,130.0,4000,SM,5,800.0,1600
2026-07-24,130.0,130.05,130.0,130.0,11200,SM,3,3733.33,10400
2026-07-27,130.0,130.0,130.0,130.0,800,SM,1,800.0,800
2026-07-28,130.05,143.0,130.0,142.95,899200,SM,65,13833.85,861600
2026-07-29,152.0,156.0,145.2,145.95,96800,SM,74,1308.11,39200
2026-07-30,145.4,145.75,145.0,145.05,24000,SM,12,2000.0,9600
2026-07-31,145.25,145.25,145.0,145.0,12000,SM,7,1714.29,7200
