Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-23,370.0,370.25,350.0,355.0,4332284,EQ,110618.0,39.16,1751749.0
2025-12-24,344.0,354.5,334.05,337.0,1405568,EQ,34883.0,40.29,592746.0
2025-12-26,335.0,348.5,335.0,343.4,855711,EQ,20707.0,41.32,286621.0
2025-12-29,345.0,347.95,337.5,345.65,450681,EQ,11172.0,40.34,220996.0
2025-12-30,342.2,346.0,338.05,344.0,292878,EQ,6834.0,42.86,124576.0
2025-12-31,344.45,360.7,344.25,357.6,665709,EQ,14176.0,46.96,301235.0
2026-01-01,360.0,363.95,351.8,353.3,191779,EQ,4954.0,38.71,77405.0
2026-01-02,355.0,382.0,353.0,373.55,797114,EQ,19219.0,41.48,335216.0
2026-01-05,374.0,375.0,358.6,365.35,436889,EQ,11131.0,39.25,197185.0
2026-01-06,393.15,403.7,373.8,377.75,3795886,EQ,59686.0,63.6,657319.0
2026-01-07,380.0,388.0,368.65,384.4,806398,EQ,16067.0,50.19,331033.0
2026-01-08,384.45,392.0,378.55,381.05,656771,EQ,12466.0,52.68,247190.0
2026-01-09,380.1,380.55,347.0,352.15,469804,EQ,11353.0,41.38,190863.0
2026-01-12,354.9,360.5,340.5,342.35,361992,EQ,9395.0,38.53,115778.0
2026-01-13,345.95,350.4,330.4,331.9,374053,EQ,9926.0,37.68,113089.0
2026-01-14,332.95,349.95,331.8,344.0,329251,EQ,8916.0,36.93,83545.0
2026-01-16,345.65,366.25,342.5,364.15,373486,EQ,12308.0,30.34,126887.0
2026-01-19,360.0,364.85,354.9,358.7,173156,EQ,5102.0,33.94,61019.0
2026-01-20,360.35,360.45,348.3,350.35,146868,EQ,5707.0,25.73,55983.0
2026-01-21,345.05,352.35,343.05,349.55,151144,EQ,5147.0,29.37,43261.0
2026-01-22,350.2,365.3,349.9,362.25,120033,EQ,4525.0,26.53,51728.0
2026-01-23,360.25,362.0,343.15,348.9,80477,EQ,3350.0,24.02,39636.0
2026-01-27,355.0,355.1,340.45,349.2,120134,EQ,4768.0,25.2,56651.0
2026-01-28,345.0,353.15,345.0,351.15,193377,EQ,5690.0,33.99,120297.0
2026-01-29,350.2,353.0,345.0,347.3,67911,EQ,3347.0,20.29,33756.0
2026-01-30,344.0,350.95,344.0,346.1,57111,EQ,2330.0,24.51,24496.0
2026-02-01,346.05,348.2,330.0,333.55,60836,EQ,2630.0,23.13,33524.0
2026-02-02,335.45,346.0,333.6,342.55,75408,EQ,3155.0,23.9,29796.0
2026-02-03,356.0,365.9,350.0,363.35,187851,EQ,6760.0,27.79,96325.0
2026-02-04,357.0,370.0,356.15,360.75,100639,EQ,4647,21.66,42930
2026-02-05,357.5,370.0,357.5,366.35,113237,EQ,4831,23.44,64266
2026-02-06,366.95,380.0,364.0,377.85,279529,EQ,11018,25.37,151478
2026-02-09,360.0,373.9,350.6,366.95,384289,EQ,10565,36.37,200956
2026-02-10,371.0,376.55,364.55,370.35,180349,EQ,4915,36.69,102716
2026-02-11,372.0,385.0,368.45,376.95,414898,EQ,11690,35.49,175415
2026-02-12,376.95,380.4,360.5,365.1,194953,EQ,5893,33.08,107418
2026-02-13,365.05,365.05,356.45,360.95,81268,EQ,3317,24.5,46551
2026-02-16,360.0,363.0,352.0,353.95,95041,EQ,5623,16.9,51405
2026-02-17,360.0,382.0,355.4,374.0,191275,EQ,7559,25.3,86254
2026-02-18,379.0,382.2,368.35,370.7,93659,EQ,3521,26.6,35655
2026-02-19,367.0,374.5,360.0,364.3,51636,EQ,2068,24.97,23265
2026-02-20,363.0,369.85,363.0,364.65,36610,EQ,1573,23.27,19021
2026-02-23,363.0,375.15,363.0,372.7,64621,EQ,2976,21.71,38408
2026-02-24,365.15,370.7,359.2,361.25,109781,EQ,3946,27.82,70424
2026-02-25,364.8,369.0,359.3,361.9,70942,EQ,4183,16.96,38111
2026-02-26,360.05,384.0,360.05,372.7,185518,EQ,5373,34.53,83019
2026-02-27,367.1,381.6,367.1,373.95,158973,EQ,7370,21.57,85326
2026-03-02,353.0,385.6,349.95,379.85,260265,EQ,7011,37.12,146877
2026-03-04,370.0,376.15,360.1,362.7,88451,EQ,2592,34.12,47815
2026-03-05,365.5,374.8,359.75,363.0,75936,EQ,2605,29.15,46016
2026-03-06,361.0,374.0,361.0,371.1,38967,EQ,1654,23.56,22759
