Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,576.0,576.0,565.3,565.3,2001,EQ,81,24.7,1981
2026-08-18,537.05,543.0,537.05,537.05,17961,EQ,624,28.78,12726
2026-08-19,533.0,563.9,533.0,560.65,20875,EQ,877,23.8,15242
2026-08-20,575.0,575.0,544.05,564.1,18280,EQ,881,20.75,10637
2026-08-21,570.0,580.0,535.9,555.1,15288,EQ,858,17.82,10158
2026-08-24,557.6,566.95,545.0,553.95,13499,EQ,644,20.96,9214
2026-08-25,562.9,562.95,545.0,546.2,9369,EQ,508,18.44,7335
2026-08-26,545.85,565.0,545.85,556.5,6603,EQ,323,20.44,4380
2026-08-27,565.0,565.0,540.0,541.4,8373,EQ,518,16.16,6282
2026-08-28,564.95,564.95,546.0,546.7,4526,EQ,334,13.55,2849
2026-08-31,550.0,561.75,520.0,532.55,9861,EQ,456,21.62,5843
