Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2018-06-20,76.95,76.95,76.95,76.95,1,,,
2018-06-21,73.4,73.4,73.4,73.4,31,,,
2018-06-22,69.8,76.85,69.8,69.8,34,,,
2018-06-26,67.0,67.0,66.45,66.45,104,,,
2018-06-27,63.6,63.6,63.6,63.6,20,,,
2018-07-02,63.55,63.55,63.55,63.55,100,,,
2018-07-03,61.1,66.7,61.1,66.7,6,,,
2018-07-05,63.4,63.4,63.4,63.4,40,,,
2018-07-06,61.05,66.55,61.05,66.55,46,,,
2018-07-09,64.0,64.0,64.0,64.0,122,,,
2018-07-10,61.1,61.1,61.05,61.05,151,,,
2018-07-11,61.0,61.0,61.0,61.0,83,,,
2018-07-12,58.0,64.0,58.0,58.0,127,,,
2018-07-13,58.0,58.0,58.0,58.0,1,,,
2018-07-16,58.0,58.0,58.0,58.0,10,,,
2018-07-17,58.0,58.0,58.0,58.0,36,,,
2018-07-18,57.95,57.95,57.95,57.95,1,,,
2018-07-23,56.0,56.0,56.0,56.0,3,,,
2018-07-24,56.0,56.0,56.0,56.0,107,,,
2018-07-25,53.2,54.05,53.2,54.05,26,,,
2018-07-26,51.35,51.6,51.35,51.6,419,,,
2018-07-27,54.1,54.15,50.0,54.15,73,,,
2018-07-30,51.45,51.45,51.45,51.45,229294,,,
2018-07-31,54.0,54.0,54.0,54.0,109,,,
2018-08-01,56.7,56.7,56.7,56.7,65,,,
2018-08-02,59.5,59.5,56.7,56.7,1479,,,
2018-08-03,56.7,59.0,54.1,55.0,1268,,,
2018-08-06,55.0,55.0,52.75,54.65,186,,,
2018-08-07,52.05,56.65,52.05,55.0,937,,,
2018-08-08,55.0,57.0,52.4,57.0,6140,,,
2018-08-09,54.2,57.0,54.2,56.0,10066,,,
2018-08-10,53.25,57.9,53.25,53.55,198,,,
2018-08-13,53.55,53.55,51.1,52.75,337,,,
2018-08-14,52.75,52.75,52.0,52.0,277,,,
2018-08-16,51.15,51.7,51.15,51.7,15,,,
2018-08-17,49.25,49.25,49.25,49.25,71,,,
2018-08-20,47.35,51.0,47.35,51.0,118,,,
2018-08-21,50.9,50.9,50.9,50.9,1,,,
2018-08-23,49.0,49.6,49.0,49.6,180,,,
2018-08-24,51.8,51.8,48.5,51.8,48,,,
2018-08-27,51.3,51.3,49.6,49.6,190,,,
2018-08-28,52.05,52.05,52.05,52.05,20,,,
2018-08-29,54.5,54.65,52.0,54.65,207,,,
2018-08-30,57.2,57.2,51.95,57.15,284,,,
2018-08-31,57.15,57.15,55.0,55.0,250,,,
2018-09-03,55.0,55.1,55.0,55.0,240,,,
2018-09-04,55.0,55.0,55.0,55.0,10,,,
2018-09-05,52.25,57.0,52.25,57.0,71,,,
2018-09-06,59.8,59.8,57.0,57.0,51,,,
2018-09-07,56.95,56.95,56.0,56.0,109,,,
2018-09-10,55.9,57.0,55.8,57.0,727,,,
2018-09-11,57.0,57.0,57.0,57.0,140,,,
2018-09-12,54.3,54.3,54.25,54.25,10,,,
2018-09-14,56.5,56.5,56.5,56.5,1,,,
2018-09-17,59.0,59.0,59.0,59.0,9,,,
2018-09-21,59.0,59.0,59.0,59.0,69,,,
2018-10-03,57.0,57.0,57.0,57.0,10,,,
2018-10-08,57.0,57.0,57.0,57.0,5,,,
2018-10-11,55.2,55.2,54.5,54.5,1520,,,
2018-10-12,54.5,54.5,54.5,54.5,12,,,
2018-10-15,54.5,57.0,54.5,57.0,79,,,
2018-10-22,55.0,55.0,55.0,55.0,3,,,
2018-10-23,52.25,52.25,52.25,52.25,160,,,
2018-10-24,49.65,54.85,49.65,50.0,360,,,
2018-10-25,50.3,50.3,50.3,50.3,1,,,
2018-10-26,50.3,50.3,47.8,47.8,55,,,
2018-10-29,50.05,50.05,46.25,46.25,17,,,
2018-11-06,45.1,45.1,45.1,45.1,158,,,
2018-11-07,42.9,42.9,42.9,42.9,10,,,
2018-11-12,41.25,41.25,41.25,41.25,1000,,,
2018-11-13,41.0,41.0,41.0,41.0,100,,,
2018-11-14,42.0,42.0,42.0,42.0,10,,,
2018-11-16,43.0,43.0,43.0,43.0,5,,,
2018-11-20,45.05,45.05,45.05,45.05,6,,,
2018-11-21,45.05,45.05,45.05,45.05,269,,,
2018-11-22,45.05,45.05,45.05,45.05,5,,,
2018-11-26,45.05,45.05,45.05,45.05,150,,,
2018-11-27,45.05,45.05,45.05,45.05,13,,,
2018-11-29,45.05,45.05,45.05,45.05,57,,,
2018-12-04,42.8,42.8,42.8,42.8,43,,,
2018-12-05,40.7,40.7,40.7,40.7,100,,,
2018-12-10,40.05,40.05,40.05,40.05,369,,,
2018-12-12,40.1,40.1,40.1,40.1,131,,,
2018-12-13,40.1,40.2,40.1,40.2,70,,,
2018-12-14,40.25,40.25,40.25,40.25,20000,,,
2018-12-17,40.1,40.1,40.1,40.1,200,,,
