Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-01-16,1179.16,1180.49,1179.15,1180.49,,,,,,
2025-01-17,1180.71,1180.71,1180.71,1180.71,,,,,,
2025-01-20,1181.39,1181.39,1180.73,1180.73,,,,,,
2025-01-21,1180.96,1182.6,1180.95,1182.6,,,,,,
2025-01-22,1182.83,1182.83,1182.83,1182.83,,,,,,
2025-01-23,1183.06,1183.06,1183,1183.0,,,,,,
2025-01-24,1183.23,1183.23,1182.22,1183.03,,,,,,
2025-01-27,1183.71,1185.42,1183.7,1185.42,,,,,,
2025-01-28,1185.65,1186.63,1185.64,1186.63,,,,,,
2025-01-29,1186.86,1186.86,1186.62,1186.62,,,,,,
2025-01-30,1186.85,1186.85,1186.84,1186.85,,,,,,
2025-01-31,1187.08,1187.41,1187.07,1187.41,,,,,,
2025-02-01,1188.09,1188.09,1187.64,1187.64,,,,,,
2025-02-03,1188.09,1188.09,1187.88,1187.88,,,,,,
2025-02-04,1188.11,1188.11,1187.78,1187.78,,,,,,
2025-02-05,1188.01,1188.01,1187.42,1187.42,,,,,,
2025-02-06,1187.65,1188.29,1187.64,1188.29,,,,,,
2025-02-07,1188.52,1188.52,1188.14,1188.14,,,,,,
2025-02-10,1188.82,1188.82,1186.98,1186.98,,,,,,
2025-02-11,1187.21,1187.21,1186.93,1186.93,,,,,,
2025-02-12,1187.16,1187.16,1187.16,1187.16,,,,,,
2025-02-13,1187.39,1187.75,1187.38,1187.75,,,,,,
2025-02-14,1187.98,1187.98,1187.97,1187.97,,,,,,
2025-02-17,1188.66,1188.66,1188.62,1188.62,,,,,,
2025-02-18,1188.85,1188.85,1188.84,1188.85,,,,,,
2025-02-19,1189.3,1189.3,1189.07,1189.07,,,,,,
2025-02-20,1189.3,1189.3,1189,1189.0,,,,,,
2025-02-21,1189.23,1189.23,1186.7,1186.7,,,,,,
2025-02-24,1187.39,1187.48,1187.26,1187.48,,,,,,
2025-02-25,1187.71,1187.71,1187.7,1187.7,,,,,,
2025-02-27,1188.16,1188.16,1187.38,1187.38,,,,,,
2025-02-28,1187.62,1187.62,1185,1185.0,,,,,,
2025-03-03,1185.69,1185.69,1183.43,1183.43,,,,,,
2025-03-04,1183.66,1183.66,1183.47,1183.47,,,,,,
2025-03-05,1183.7,1184.21,1183.7,1184.21,,,,,,
2025-03-06,1184.44,1185.76,1184.44,1185.76,,,,,,
2025-03-07,1186,1186.47,1185.99,1186.47,,,,,,
2025-03-10,1187.16,1188.12,1186.23,1186.23,,,,,,
2025-03-11,1186.46,1187.38,1186.46,1187.38,,,,,,
2025-03-12,1187.62,1187.69,1187.61,1187.69,,,,,,
2025-03-13,1187.92,1189.24,1187.91,1189.24,,,,,,
2025-03-17,1190.16,1190.16,1188.79,1188.79,,,,,,
2025-03-18,1189.03,1189.09,1189.02,1189.09,,,,,,
2025-03-19,1189.32,1189.97,1189.31,1189.97,,,,,,
2025-03-20,1190.2,1192.45,1190.16,1192.45,,,,,,
2025-03-21,1192.68,1194.57,1192.67,1193.85,,,,,,
2025-03-24,1194.54,1197.61,1194.54,1197.61,,,,,,
2025-03-25,1197.85,1197.9,1196.99,1197.9,,,,,,
2025-03-26,1198.13,1199.02,1198.12,1199.02,,,,,,
2025-03-28,1200.27,1204.83,1200.26,1204.83,,,,,,
2025-04-01,1205.97,1205.97,1205.73,1205.73,,,,,,
2025-04-02,1205.97,1213.66,1205.96,1213.66,,,,,,
2025-04-03,1213.9,1215.24,1213.88,1215.24,,,,,,
2025-04-04,1215.48,1215.48,1214.91,1214.91,,,,,,
2025-04-07,1215.59,1215.59,1215.55,1215.58,,,,,,
2025-04-08,1215.82,1215.82,1214.12,1214.12,,,,,,
2025-04-09,1214.36,1215.7,1214.34,1215.7,,,,,,
2025-04-11,1216.16,1218.77,1216.15,1218.77,,,,,,
2025-04-15,1219.68,1219.94,1219.66,1219.94,,,,,,
2025-04-16,1220.17,1221.27,1220.16,1221.27,,,,,,
2025-04-17,1221.51,1221.56,1221.49,1221.56,,,,,,
2025-04-21,1222.47,1224.21,1222.45,1224.21,,,,,,
2025-04-22,1224.45,1227.92,1224.43,1227.92,,,,,,
2025-04-23,1228.15,1228.54,1228.14,1228.54,,,,,,
2025-04-24,1228.77,1228.77,1226.42,1226.42,,,,,,
2025-04-25,1226.65,1226.65,1226.53,1226.53,,,,,,
2025-04-28,1227.21,1227.87,1227.2,1227.87,,,,,,
2025-04-29,1228.11,1228.11,1228.09,1228.1,,,,,,
2025-04-30,1228.33,1228.33,1227.61,1227.61,,,,,,
2025-05-02,1228.07,1228.07,1227.83,1227.83,,,,,,
2025-05-05,1228.52,1229.19,1228.5,1229.19,,,,,,
2025-05-06,1229.42,1229.74,1229.4,1229.4,,,,,,
2025-05-07,1229.64,1229.64,1228.57,1228.57,,,,,,
2025-05-08,1228.8,1228.8,1227.86,1227.86,,,,,,
2025-05-09,1228.1,1228.1,1222.01,1223.75,,,,,,
2025-05-12,1224.66,1224.66,1224.42,1224.42,,,,,,
2025-05-13,1224.66,1229.52,1224.65,1229.52,,,,,,
2025-05-14,1229.75,1230.51,1229.74,1229.95,,,,,,
2025-05-15,1230.19,1230.19,1229.91,1229.91,,,,,,
2025-05-16,1230.14,1232.93,1230.13,1232.93,,,,,,
2025-05-19,1233.61,1235.14,1233.6,1235.14,,,,,,
2025-05-20,1235.38,1237.61,1235.36,1237.61,,,,,,
2025-05-21,1237.84,1240.26,1237.83,1240.26,,,,,,
2025-05-22,1240.49,1242.98,1240.48,1242.98,,,,,,
2025-05-23,1243.21,1243.21,1243.07,1243.07,,,,,,
2025-05-26,1243.75,1243.77,1243.64,1243.77,,,,,,
2025-05-27,1244,1244.18,1243.98,1244.02,,,,,,
2025-05-28,1244.25,1245.1,1244.23,1245.1,,,,,,
2025-05-29,1245.33,1247.74,1245.32,1247.74,,,,,,
2025-05-30,1247.98,1247.98,1246.52,1246.52,,,,,,
2025-06-02,1247.2,1247.2,1247.16,1247.16,,,,,,
2025-06-03,1247.39,1247.39,1246.99,1246.99,,,,,,
2025-06-04,1247.22,1247.22,1247.06,1247.06,,,,,,
2025-06-05,1247.29,1247.29,1240.93,1240.93,,,,,,
2025-06-06,1241.16,1247.27,1241.14,1247.27,,,,,,
2025-06-09,1247.95,1247.95,1245.07,1245.07,,,,,,
2025-06-10,1245.31,1245.31,1242.98,1242.98,,,,,,
2025-06-11,1243.21,1243.21,1241.65,1241.65,,,,,,
2025-06-12,1241.88,1241.88,1239.01,1239.01,,,,,,
2025-06-13,1239.24,1239.24,1235.95,1235.95,,,,,,
2025-06-16,1236.63,1238.41,1236.62,1238.41,,,,,,
2025-06-17,1238.64,1239.61,1238.63,1239.61,,,,,,
2025-06-18,1239.84,1241.25,1239.83,1241.25,,,,,,
2025-06-19,1241.48,1241.71,1241.47,1241.71,,,,,,
2025-06-20,1241.94,1241.94,1240.25,1240.25,,,,,,
2025-06-23,1240.94,1240.94,1238.2,1238.2,,,,,,
2025-06-24,1238.44,1238.81,1238.43,1238.81,,,,,,
2025-06-25,1239.05,1239.05,1236.31,1236.31,,,,,,
2025-06-26,1236.54,1237.87,1236.53,1237.87,,,,,,
2025-06-27,1238.1,1238.1,1236.47,1236.47,,,,,,
2025-06-30,1237.16,1237.16,1235.36,1235.36,,,,,,
2025-07-01,1235.59,1235.66,1235.58,1235.66,,,,,,
2025-07-02,1235.89,1236.92,1235.88,1236.92,,,,,,
2025-07-03,1237.16,1237.16,1236.67,1236.67,,,,,,
2025-07-04,1236.9,1237.22,1236.89,1237.22,,,,,,
2025-07-07,1237.9,1238.14,1237.89,1238.14,,,,,,
2025-07-08,1238.37,1238.37,1238.13,1238.13,,,,,,
2025-07-09,1238.36,1238.36,1238.05,1238.05,,,,,,
2025-07-10,1238.29,1238.29,1237.32,1237.32,,,,,,
2025-07-11,1237.55,1237.7,1237.54,1237.7,,,,,,
2025-07-14,1238.39,1238.39,1238.38,1238.38,,,,,,
2025-07-15,1238.62,1238.62,1238.58,1238.58,,,,,,
2025-07-16,1238.82,1239.09,1238.81,1239.09,,,,,,
2025-07-17,1239.33,1239.33,1239.32,1239.32,,,,,,
2025-07-18,1239.56,1240.67,1239.55,1240.67,,,,,,
2025-07-21,1241.36,1242.08,1241.34,1242.08,,,,,,
2025-07-22,1242.31,1242.31,1241.9,1241.9,,,,,,
2025-07-23,1242.13,1242.48,1242.12,1242.48,,,,,,
2025-07-24,1242.72,1242.72,1242.03,1242.03,,,,,,
2025-07-25,1242.27,1242.64,1242.26,1242.64,,,,,,
2025-07-28,1243.33,1243.33,1242.61,1242.61,,,,,,
2025-07-29,1242.84,1242.85,1242.83,1242.85,,,,,,
2025-07-30,1243.09,1243.09,1243.08,1243.08,,,,,,
2025-07-31,1243.32,1243.32,1242.68,1242.68,,,,,,
2025-08-04,1244.86,1245.36,1244.85,1244.89,,,,,,
2025-08-05,1245.12,1246.43,1245.11,1246.43,,,,,,
2025-08-06,1246.66,1246.66,1245.39,1245.39,,,,,,
2025-08-07,1245.62,1245.62,1244.53,1244.53,,,,,,
2025-08-08,1244.76,1244.76,1244.44,1244.44,,,,,,
2025-08-11,1245.13,1245.13,1245.11,1245.11,,,,,,
2025-08-12,1245.34,1245.34,1240.74,1240.74,,,,,,
2025-08-13,1240.97,1240.97,1238.1,1238.1,,,,,,
2025-08-14,1238.34,1238.34,1237.45,1237.45,,,,,,
2025-08-18,1238.38,1238.65,1237.59,1238.65,,,,,,
2025-08-19,1238.88,1238.88,1238.53,1238.84,,,,,,
2025-08-20,1239.08,1239.08,1238.37,1238.37,,,,,,
2025-08-21,1238.6,1239.43,1238.35,1238.35,,,,,,
2025-08-22,1238.58,1238.64,1238.58,1238.64,,,,,,
2025-08-25,1227.1,1239.81,1227.09,1239.34,,,,,,
