Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-19,2600.0,2663.4,2575.0,2585.9,31422557,EQ,2403147.0,13.08,22254057.0
2025-12-22,2579.9,2646.5,2530.0,2610.0,5056617,EQ,462060.0,10.94,2516169.0
2025-12-23,2613.0,2630.0,2588.0,2609.5,1373947,EQ,157665.0,8.71,890130.0
2025-12-24,2610.0,2665.0,2606.6,2640.6,2419891,EQ,219880.0,11.01,1356511.0
2025-12-26,2640.0,2648.0,2601.0,2629.8,689912,EQ,82264.0,8.39,333789.0
2025-12-29,2630.0,2689.0,2616.9,2658.9,1181473,EQ,95708.0,12.34,566933.0
2025-12-30,2649.0,2658.0,2625.3,2641.3,437805,EQ,51775.0,8.46,222330.0
2025-12-31,2641.9,2678.0,2641.0,2661.1,714252,EQ,86047.0,8.3,446029.0
2026-01-01,2660.0,2665.0,2613.4,2631.8,366321,EQ,22504.0,16.28,228833.0
2026-01-02,2632.0,2684.0,2624.0,2662.2,752687,EQ,45414.0,16.57,539194.0
2026-01-05,2658.6,2684.5,2624.2,2677.7,536132,EQ,48020.0,11.16,320156.0
2026-01-06,2648.0,2703.3,2648.0,2695.6,512484,EQ,54418.0,9.42,265775.0
2026-01-07,2695.0,2719.0,2680.1,2695.7,369458,EQ,44108.0,8.38,247859.0
2026-01-08,2699.7,2725.2,2681.0,2718.4,626658,EQ,62192.0,10.08,447076.0
2026-01-09,2705.0,2717.2,2629.2,2664.8,551374,EQ,65847.0,8.37,315424.0
2026-01-12,2649.1,2649.1,2587.0,2629.4,680295,EQ,48390.0,14.06,435708.0
2026-01-13,2622.0,2682.5,2614.1,2671.8,529889,EQ,30244.0,17.52,334048.0
2026-01-14,2665.0,2749.0,2660.0,2736.0,551849,EQ,49978.0,11.04,303128.0
2026-01-16,2810.0,2972.0,2782.5,2935.5,2826103,EQ,218164.0,12.95,965107.0
2026-01-19,2937.0,2977.7,2855.0,2922.1,567969,EQ,49369.0,11.5,227431.0
2026-01-20,2922.0,2922.0,2790.0,2827.9,420807,EQ,32986.0,12.76,163204.0
2026-01-21,2810.0,2850.0,2731.3,2843.3,556931,EQ,45531.0,12.23,204752.0
2026-01-22,2868.0,2895.0,2769.9,2783.1,441528,EQ,42720.0,10.34,225971.0
2026-01-23,2765.0,2815.6,2750.1,2776.9,397935,EQ,25303.0,15.73,219982.0
2026-01-27,2830.0,2830.1,2692.1,2707.1,517433,EQ,45583.0,11.35,237389.0
2026-01-28,2734.1,2860.0,2715.0,2829.0,436274,EQ,43593.0,10.01,235822.0
2026-01-29,2829.0,2942.8,2820.1,2913.8,363609,EQ,41582.0,8.74,187800.0
2026-01-30,2914.7,3012.0,2872.1,2972.6,658235,EQ,62012.0,10.61,399449.0
2026-02-01,2971.9,2971.9,2883.0,2927.1,155030,EQ,21269.0,7.29,71151.0
2026-02-02,2900.0,2949.9,2863.0,2931.9,193016,EQ,25263.0,7.64,120893.0
2026-02-03,3030.0,3131.0,3030.0,3061.3,1018940,EQ,100046.0,10.18,683715.0
2026-02-04,3119.8,3119.8,3040.0,3055.4,549033,EQ,51858.0,10.59,392550.0
2026-02-05,3061.0,3129.0,3020.9,3098.6,532341,EQ,41930.0,12.7,353305.0
2026-02-06,3114.0,3122.7,3040.1,3060.6,208351,EQ,28774.0,7.24,131846.0
2026-02-09,3060.6,3075.1,2966.3,3018.4,413802,EQ,52703.0,7.85,226963.0
2026-02-10,3050.0,3090.0,3006.2,3057.1,215393,EQ,34562.0,6.23,104163.0
2026-02-11,3065.0,3086.9,3032.0,3045.2,434269,EQ,33322.0,13.03,330013.0
2026-02-12,3054.9,3150.6,3033.0,3108.5,671895,EQ,57957.0,11.59,403686.0
2026-02-13,3060.2,3079.9,2974.8,3008.3,568474,EQ,81137.0,7.01,377739.0
2026-02-16,3009.0,3064.0,2936.4,3046.0,230681,EQ,31117.0,7.41,112229.0
2026-02-17,3059.9,3059.9,2991.9,3008.8,186612,EQ,30206.0,6.18,98589.0
2026-02-18,3014.9,3085.0,2992.0,3074.6,216495,EQ,30666.0,7.06,105361.0
2026-02-19,3059.0,3084.6,3006.0,3026.2,172893,EQ,25097.0,6.89,86883.0
2026-02-20,3011.1,3059.9,3000.0,3023.8,204508,EQ,25325.0,8.08,125528.0
2026-02-23,3030.0,3149.9,2992.3,3131.0,285371,EQ,44224.0,6.45,137257.0
2026-02-24,3144.0,3172.0,3111.1,3150.0,522517,EQ,32667.0,16.0,412543.0
2026-02-25,3193.0,3193.0,3089.0,3108.5,329355,EQ,40133.0,8.21,207176.0
2026-02-26,3101.0,3133.9,3050.4,3113.2,267073,EQ,43159.0,6.19,179248.0
2026-02-27,3116.9,3127.9,3069.1,3112.1,270097,EQ,38297.0,7.05,152235.0
2026-03-02,3000.0,3105.0,2999.1,3090.1,308669,EQ,38509.0,8.02,196222.0
2026-03-04,3070.0,3071.0,2902.5,2992.7,537155,EQ,64340.0,8.35,316171.0
2026-03-05,3028.4,3050.0,2985.0,3008.2,247006,EQ,39562.0,6.24,162029.0
2026-03-06,2995.2,3023.0,2977.2,2997.4,343835,EQ,37642.0,9.13,247704.0
2026-03-09,2907.0,2935.7,2855.1,2907.0,481704,EQ,62707.0,7.68,295226.0
2026-03-10,2953.0,3094.9,2932.0,3083.8,357479,EQ,60228.0,5.94,155268.0
2026-03-11,3052.2,3089.0,2995.0,3000.2,280972,EQ,25191.0,11.15,199949.0
2026-03-12,2987.0,2990.0,2905.0,2936.3,630631,EQ,68910.0,9.15,468030.0
2026-03-13,2925.0,3003.0,2845.0,2879.7,795166,EQ,58227.0,13.66,618800.0
2026-03-16,2853.1,2903.6,2819.7,2884.0,248858,EQ,34922.0,7.13,134470.0
2026-03-17,2880.0,3008.6,2826.0,2963.0,948316,EQ,66932.0,14.17,634075.0
2026-03-18,2972.0,3029.9,2942.0,3019.9,280131,EQ,20930.0,13.38,164260.0
2026-03-19,2953.5,2974.3,2804.7,2820.0,395888,EQ,37161.0,10.65,249646.0
2026-03-20,2860.0,2879.7,2790.5,2804.0,336772,EQ,30341.0,11.1,190879.0
2026-03-23,2763.0,2774.5,2651.0,2690.3,467336,EQ,56076.0,8.33,340353.0
2026-03-24,2768.0,2807.6,2680.4,2793.3,419686,EQ,41207.0,10.18,230648.0
2026-03-25,2810.0,2913.3,2800.1,2901.3,447353,EQ,39566.0,11.31,277251.0
2026-03-27,2871.0,2907.0,2820.7,2874.2,689368,EQ,38101.0,18.09,491585.0
2026-03-30,2818.0,2874.0,2738.0,2801.5,331535,EQ,36848.0,9.0,147924.0
2026-04-01,2875.9,2894.0,2758.8,2857.0,557898,EQ,53959.0,10.34,247093.0
2026-04-02,2841.4,2871.5,2742.0,2844.3,531617,EQ,46510.0,11.43,303665.0
2026-04-06,2831.5,2934.0,2796.8,2905.5,439271,EQ,61519.0,7.14,194114.0
2026-04-07,2903.0,3055.0,2882.3,3010.3,460850,EQ,45026.0,10.24,241142.0
2026-04-08,3173.7,3189.0,3095.0,3123.7,1032494,EQ,63590.0,16.24,632081.0
2026-04-09,3159.4,3275.0,3130.2,3251.1,1193723,EQ,66181.0,18.04,796039.0
2026-04-10,3275.0,3430.0,3192.0,3385.5,902003,EQ,68149.0,13.24,467372.0
2026-04-13,3348.6,3400.2,3275.0,3353.5,544470,EQ,46479.0,11.71,306167.0
2026-04-15,3380.0,3397.0,3175.1,3221.0,2401037,EQ,182988.0,13.12,1244722.0
2026-04-16,3247.0,3309.0,3212.1,3294.6,816006,EQ,33855.0,24.1,484940.0
2026-04-17,3304.0,3380.0,3260.0,3338.9,647654,EQ,41326.0,15.67,365767.0
2026-04-20,3338.9,3389.1,3272.1,3295.7,381441,EQ,47236.0,8.08,175453.0
2026-04-21,3320.0,3540.9,3308.7,3509.8,794016,EQ,49739.0,15.96,418045.0
2026-04-22,3523.9,3597.5,3409.2,3432.4,445062,EQ,43578.0,10.21,210916.0
2026-04-23,3429.9,3455.0,3322.0,3344.4,261332,EQ,40875.0,6.39,132990.0
2026-04-24,3360.3,3399.0,3279.1,3293.4,291192,EQ,29463.0,9.88,135467.0
2026-04-27,3329.9,3349.0,3255.1,3277.5,174794,EQ,23871.0,7.32,83454.0
2026-04-28,3300.0,3324.8,3278.5,3299.8,157056,EQ,19192.0,8.18,94324.0
2026-04-29,3295.0,3335.9,3268.2,3302.4,264976,EQ,27406.0,9.67,169751.0
2026-04-30,3309.0,3309.8,3264.8,3290.2,192827,EQ,24145.0,7.99,113007.0
2026-05-04,3297.0,3323.9,3260.5,3276.3,186708,EQ,33434.0,5.58,94187.0
2026-05-05,3277.0,3302.0,3222.2,3289.5,366824,EQ,37721.0,9.72,236543.0
2026-05-06,3301.1,3329.5,3280.0,3293.1,125479,EQ,19461.0,6.45,69364.0
2026-05-07,3308.4,3317.0,3242.7,3301.7,313853,EQ,39252.0,8.0,155495.0
2026-05-08,3301.7,3306.0,3216.0,3233.1,187466,EQ,27744.0,6.76,105153.0
2026-05-11,3211.1,3236.0,3151.0,3202.6,220777,EQ,36351.0,6.07,119202.0
2026-05-12,3200.0,3278.0,3155.7,3183.9,335673,EQ,32465.0,10.34,220495.0
2026-05-13,3183.9,3283.9,3167.1,3274.0,133849,EQ,14930.0,8.97,66836.0
2026-05-14,3274.0,3284.9,3191.6,3243.6,199836,EQ,27810.0,7.19,96913.0
2026-05-15,3233.6,3289.3,3191.5,3199.6,233237,EQ,35007.0,6.66,121557.0
2026-05-18,3150.0,3163.9,3090.0,3133.4,735848,EQ,40575.0,18.14,567554.0
2026-05-19,3145.1,3173.0,3092.0,3099.9,264398,EQ,25172.0,10.5,154014.0
2026-05-20,3080.0,3148.9,3043.3,3137.4,208375,EQ,28849.0,7.22,101109.0
2026-05-21,3155.0,3249.9,3152.0,3199.7,262149,EQ,33810.0,7.75,130666.0
2026-05-22,3199.9,3255.0,3190.0,3229.8,233815,EQ,24885.0,9.4,148050.0
2026-05-25,3260.0,3364.0,3260.0,3344.2,432773,EQ,34707.0,12.47,268768.0
2026-05-26,3355.0,3406.7,3341.1,3360.6,229982,EQ,31953.0,7.2,141094.0
2026-05-27,3343.0,3504.7,3264.5,3437.2,672004,EQ,62723.0,10.71,408267.0
2026-05-29,3450.0,3611.0,3385.8,3538.5,680397,EQ,49288.0,13.8,439350.0
2026-06-01,3500.0,3536.9,3292.7,3331.4,381969,EQ,51983.0,7.35,234171.0
2026-06-02,3324.0,3389.0,3300.0,3322.1,261473,EQ,30238.0,8.65,154285.0
2026-06-03,3328.0,3374.9,3230.0,3342.9,329221,EQ,35192.0,9.35,171613.0
2026-06-04,3337.9,3374.4,3302.4,3314.2,172335,EQ,29379.0,5.87,89504.0
2026-06-05,3345.0,3380.0,3240.0,3249.0,451485,EQ,36058.0,12.52,295729.0
2026-06-08,3240.0,3288.9,3225.7,3233.5,290247,EQ,33328.0,8.71,187950.0
2026-06-09,3270.0,3309.8,3238.0,3248.0,319892,EQ,34624.0,9.24,202606.0
2026-06-10,3245.0,3338.4,3195.0,3203.8,355234,EQ,67331.0,5.28,203725.0
2026-06-11,3229.7,3266.4,3196.0,3206.2,320686,EQ,34589.0,9.27,192388.0
2026-06-12,3290.0,3330.2,3210.0,3238.8,721491,EQ,63525.0,11.36,472275.0
2026-06-15,3294.4,3313.8,3250.3,3269.2,558862,EQ,60585.0,9.22,393296.0
2026-06-16,3296.0,3296.0,3227.6,3245.4,731743,EQ,68073.0,10.75,498295.0
2026-06-17,3246.0,3316.9,3218.4,3250.5,2889650,EQ,57815.0,49.98,2523963.0
2026-06-18,3277.9,3455.0,3271.7,3431.7,723666,EQ,49557.0,14.6,376306.0
2026-06-19,3430.0,3568.0,3332.0,3429.0,4005867,EQ,105299.0,38.04,2730232.0
2026-06-22,3418.0,3465.4,3403.6,3416.7,341853,EQ,29282.0,11.67,197631.0
2026-06-23,3486.0,3486.0,3380.9,3399.2,251843,EQ,15090.0,16.69,171178.0
2026-06-24,3390.1,3404.8,3350.1,3359.6,118238,EQ,11225.0,10.53,58041.0
2026-06-25,3364.9,3381.0,3315.0,3326.9,271837,EQ,26647.0,10.2,140989.0
2026-06-29,3329.9,3380.0,3255.5,3282.3,526821,EQ,49044.0,10.74,325616.0
2026-06-30,3295.0,3347.0,3255.0,3319.6,449683,EQ,53205.0,8.45,254613.0
2026-07-01,3313.9,3428.3,3312.0,3406.0,234002,EQ,20165,11.6,114497
2026-07-02,3406.2,3418.1,3355.0,3360.4,78817,EQ,10741,7.34,40186
2026-07-03,3370.9,3381.9,3326.0,3334.8,127669,EQ,8572,14.89,89468
2026-07-06,3344.8,3360.8,3276.0,3295.2,218135,EQ,32926,6.63,122640
2026-07-07,3299.2,3309.9,3194.0,3201.9,320221,EQ,39396,8.13,199492
2026-07-08,3199.5,3258.0,3137.8,3149.2,218138,EQ,24911,8.76,112634
