Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-16,nan,nan,nan,4424.86,7107078.0,67.9,,,,
2026-06-18,nan,nan,nan,4488.07,11417229.0,68.87,,,,
2026-06-19,nan,nan,nan,4532.0,8344595.0,69.54,,,,
2026-06-22,nan,nan,nan,4542.94,7232842.0,69.71,,,,
2026-06-23,nan,nan,nan,4520.75,8024693.0,69.37,,,,
2026-06-24,nan,nan,nan,4542.26,5866504.0,69.7,,,,
2026-06-25,nan,nan,nan,4551.84,8534437.0,69.84,,,,
2026-06-29,nan,nan,nan,4566.14,16037377.0,70.06,,,,
2026-06-30,nan,nan,nan,4593.13,10144901.0,70.68,,,,
2026-07-01,nan,nan,nan,4594.24,5377594.0,70.7,,,,
2026-07-02,nan,nan,nan,4637.08,5689924.0,71.36,,,,
2026-07-03,nan,nan,nan,4694.56,7199746.0,72.24,,,,
2026-07-06,nan,nan,nan,4664.4,4809173.0,71.78,,,,
2026-07-07,nan,nan,nan,4618.92,6166332.0,71.08,,,,
2026-07-08,nan,nan,nan,4540.04,8312333.0,69.87,,,,
2026-07-09,nan,nan,nan,4611.67,8669817.0,70.97,,,,
2026-07-10,nan,nan,nan,4636.0,6232936.0,71.34,,,,
2026-07-13,nan,nan,nan,4627.39,6526199.0,71.21,,,,
2026-07-14,nan,nan,nan,4630.56,6386233.0,71.26,,,,
2026-07-15,nan,nan,nan,4662.84,8200981.0,71.76,,,,
2026-07-16,nan,nan,nan,4637.25,4932518.0,71.36,,,,
2026-07-17,nan,nan,nan,4609.97,8678625.0,70.94,,,,
2026-07-20,nan,nan,nan,4620.53,4315092.0,71.11,,,,
2026-07-22,nan,nan,nan,4591.93,5411718.0,70.67,,,,
2026-07-23,nan,nan,nan,4575.42,4805229.0,70.41,,,,
2026-07-24,nan,nan,nan,4577.44,4131949.0,70.44,,,,
