Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,83.3,84.7,81.4,83.25,4296,EQ,87.0,49.38,3433.0
2026-04-21,85.0,86.8,81.55,83.55,3326,EQ,144.0,23.1,2423.0
2026-04-22,83.9,85.0,80.05,83.3,8496,EQ,219.0,38.79,7268.0
2026-04-23,82.0,85.6,82.0,85.0,10240,EQ,251.0,40.8,8835.0
2026-04-24,85.0,85.0,83.05,84.05,7808,EQ,90.0,86.76,7511.0
2026-04-27,86.2,86.2,83.5,84.75,6791,EQ,159.0,42.71,5698.0
2026-04-28,84.0,85.5,83.0,83.8,8080,EQ,248.0,32.58,7326.0
2026-04-29,84.0,87.5,84.0,86.35,5251,EQ,144.0,36.47,4823.0
2026-04-30,85.95,86.6,84.0,84.75,3001,EQ,179.0,16.77,2451.0
2026-05-04,86.45,86.45,83.55,84.4,9677,EQ,184.0,52.59,6571.0
2026-05-05,83.5,85.99,83.5,85.03,6283,EQ,125.0,50.26,4850.0
2026-05-06,86.9,87.5,85.03,87.39,9792,EQ,123.0,79.61,9060.0
2026-05-07,91.98,91.98,86.5,90.13,11253,EQ,294.0,38.28,7912.0
2026-05-08,90.0,92.2,89.01,91.13,12464,EQ,328.0,38.0,9868.0
2026-05-11,88.5,91.99,88.05,90.97,4613,EQ,210.0,21.97,3490.0
2026-05-12,90.0,90.0,86.0,87.05,5073,EQ,214.0,23.71,3679.0
2026-05-13,88.0,88.44,84.5,85.77,10132,EQ,215.0,47.13,7990.0
2026-05-14,102.8,102.92,100.62,102.92,224168,EQ,1171.0,191.43,111062.0
2026-05-15,104.0,108.0,94.21,96.3,195706,EQ,3026.0,64.67,82612.0
2026-05-18,99.0,110.68,95.84,101.59,218885,EQ,6408.0,34.16,78578.0
2026-05-19,101.85,104.45,99.6,102.55,27257,EQ,762.0,35.77,17618.0
2026-05-20,102.95,103.0,99.2,100.24,25580,EQ,558.0,45.84,16929.0
2026-05-21,100.24,102.49,97.66,98.45,26738,EQ,632.0,42.31,20580.0
2026-05-22,103.8,104.68,99.01,100.51,52177,EQ,1357.0,38.45,25438.0
2026-05-25,102.4,102.4,99.65,101.2,23282,EQ,406.0,57.34,18603.0
2026-05-26,100.7,101.5,97.5,99.0,39015,EQ,958.0,40.73,21739.0
2026-05-27,95.3,99.8,95.3,98.3,8563,EQ,339.0,25.26,6116.0
2026-05-29,100.27,100.9,96.01,97.11,14223,EQ,538.0,26.44,9971.0
2026-06-01,98.93,98.93,93.12,94.2,24528,EQ,876.0,28.0,13826.0
2026-06-02,95.8,97.0,93.06,96.9,24069,EQ,986.0,24.41,11559.0
2026-06-03,96.9,97.61,95.16,97.13,12667,EQ,480.0,26.39,6776.0
2026-06-04,95.15,97.9,95.15,97.54,9370,EQ,344.0,27.24,5715.0
2026-06-05,97.54,97.99,94.0,94.93,17270,EQ,595.0,29.03,12242.0
2026-06-08,94.93,96.05,92.41,93.09,21782,EQ,746.0,29.2,12355.0
2026-06-09,93.09,94.72,93.0,93.87,5698,EQ,224.0,25.44,3638.0
2026-06-10,94.79,95.74,92.0,93.4,19486,EQ,452.0,43.11,6650.0
2026-06-11,93.01,93.78,88.65,90.48,10885,EQ,299.0,36.4,8961.0
2026-06-12,92.69,92.7,87.61,90.21,30894,EQ,791.0,39.06,22408.0
2026-06-15,92.72,94.78,92.2,94.07,10619,EQ,325.0,32.67,7871.0
2026-06-16,93.05,95.0,92.14,93.93,15769,EQ,552.0,28.57,9930.0
2026-06-17,93.95,95.6,92.63,93.59,14724,EQ,536.0,27.47,9415.0
2026-06-18,94.7,95.39,93.62,94.3,7596,EQ,351.0,21.64,4886.0
2026-06-19,94.0,96.99,92.42,95.64,18391,EQ,773.0,23.79,11842.0
