Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-12,10.49,11.0,10.13,10.17,332436,EQ,353.0,941.75,317658.0
2025-09-15,10.37,10.5,10.18,10.24,422743,EQ,356.0,1187.48,334389.0
2025-09-16,10.45,10.45,10.21,10.34,251864,EQ,280.0,899.51,240455.0
2025-09-17,10.49,10.55,10.36,10.41,238386,EQ,278.0,857.5,208772.0
2025-09-18,10.62,10.63,10.4,10.41,246739,EQ,282.0,874.96,234673.0
2025-09-19,10.72,10.72,10.37,10.44,268268,EQ,296.0,906.31,261726.0
2025-09-22,10.75,10.75,10.3,10.31,420155,EQ,645.0,651.4,316002.0
2025-09-23,10.62,10.62,10.22,10.26,201333,EQ,383.0,525.67,193282.0
2025-09-24,10.31,10.35,10.19,10.2,228691,EQ,359.0,637.02,143892.0
2025-09-25,10.51,10.51,10.11,10.14,145686,EQ,596.0,244.44,132642.0
2025-09-26,10.44,10.44,9.9,9.93,674760,EQ,1152.0,585.73,607561.0
2025-09-29,10.07,10.07,9.89,9.93,184051,EQ,464.0,396.66,139402.0
2025-09-30,10.08,10.08,9.83,9.91,206061,EQ,508.0,405.63,195140.0
2025-10-01,9.95,10.01,9.86,9.99,113397,EQ,329.0,344.67,87217.0
2025-10-03,10.29,10.29,9.69,10.07,291376,EQ,1050.0,277.5,241503.0
2025-10-06,10.37,10.37,10.0,10.08,182325,EQ,474.0,384.65,132397.0
2025-10-07,10.37,10.37,9.98,10.13,96123,EQ,392.0,245.21,82780.0
2025-10-08,10.43,10.43,10.06,10.09,58662,EQ,360.0,162.95,45238.0
2025-10-09,10.39,10.39,10.04,10.11,95935,EQ,263.0,364.77,73232.0
2025-10-10,10.18,10.25,10.13,10.2,485217,EQ,361.0,1344.09,470433.0
2025-10-13,10.51,10.51,10.13,10.19,495277,EQ,491.0,1008.71,407706.0
2025-10-14,10.5,10.5,10.06,10.12,455692,EQ,483.0,943.46,298517.0
2025-10-15,10.42,10.42,10.1,10.18,310128,EQ,383.0,809.73,241250.0
2025-10-16,10.49,10.49,10.18,10.21,345329,EQ,388.0,890.02,266394.0
2025-10-17,10.52,10.52,10.19,10.22,265726,EQ,340.0,781.55,252253.0
2025-10-20,10.53,10.53,10.18,10.25,335032,EQ,568.0,589.85,242167.0
2025-10-21,10.56,10.56,10.28,10.33,285586,EQ,496.0,575.78,271093.0
2025-10-23,10.64,10.67,10.26,10.31,244373,EQ,674.0,362.57,215047.0
2025-10-24,10.47,10.47,10.18,10.29,594886,EQ,438.0,1358.19,414485.0
2025-10-27,10.6,10.67,10.3,10.34,153571,EQ,461.0,333.13,136655.0
2025-10-28,10.65,10.65,10.35,10.39,211789,EQ,509.0,416.09,198160.0
2025-10-29,10.7,10.7,10.34,10.42,248173,EQ,412.0,602.36,230888.0
2025-10-30,10.55,10.55,10.34,10.42,154513,EQ,463.0,333.72,111718.0
2025-10-31,10.73,10.73,10.33,10.38,157276,EQ,568.0,276.89,150375.0
2025-11-03,10.69,10.69,10.38,10.44,216845,EQ,783.0,276.94,199537.0
2025-11-04,10.73,10.73,10.35,10.36,316562,EQ,678.0,466.91,294618.0
2025-11-06,10.67,10.67,10.21,10.22,296726,EQ,921.0,322.18,281438.0
2025-11-07,10.53,10.53,10.04,10.21,217307,EQ,734.0,296.06,178898.0
2025-11-10,10.52,10.57,10.19,10.24,164228,EQ,647.0,253.83,128586.0
2025-11-11,10.56,10.56,10.15,10.19,161033,EQ,574.0,280.55,140886.0
2025-11-12,10.5,10.5,10.03,10.28,267716,EQ,479.0,558.91,144159.0
2025-11-13,10.57,10.57,10.2,10.27,151947,EQ,474.0,320.56,129792.0
2025-11-14,11.0,11.0,10.25,10.27,204821,EQ,559.0,366.41,144188.0
2025-11-17,10.58,10.58,9.96,10.34,215451,EQ,639.0,337.17,149025.0
2025-11-18,10.65,10.65,10.23,10.25,218151,EQ,557.0,391.65,160061.0
2025-11-19,10.56,10.56,10.19,10.21,195864,EQ,688.0,284.69,171517.0
2025-11-20,10.5,10.52,10.19,10.21,251148,EQ,536.0,468.56,199126.0
2025-11-21,10.52,10.52,10.05,10.07,492907,EQ,1020.0,483.24,388671.0
2025-11-24,10.27,10.27,9.98,10.0,1042512,EQ,1063.0,980.73,949808.0
2025-11-25,10.3,10.3,9.97,10.0,789687,EQ,593.0,1331.68,716639.0
2025-11-26,10.3,10.3,10.01,10.14,285996,EQ,472.0,605.92,253721.0
2025-11-27,10.42,10.42,10.06,10.08,345977,EQ,686.0,504.34,305872.0
2025-11-28,10.38,10.38,10.04,10.05,448923,EQ,599.0,749.45,422339.0
2025-12-01,10.35,10.35,10.08,10.1,338202,EQ,731.0,462.66,267285.0
2025-12-02,10.4,10.4,10.01,10.03,601039,EQ,964.0,623.48,327997.0
2025-12-03,10.33,10.33,9.94,9.97,471029,EQ,1075.0,438.17,402961.0
2025-12-04,9.92,10.1,9.92,9.95,474924,EQ,932.0,509.58,377915.0
2025-12-05,10.25,10.25,9.86,9.89,628836,EQ,1142.0,550.64,542956.0
2025-12-08,10.19,10.19,9.59,9.65,1939361,EQ,2553.0,759.64,1521185.0
2025-12-09,9.94,9.94,9.48,9.74,970009,EQ,1264.0,767.41,661237.0
2025-12-10,10.03,10.03,9.64,9.66,688455,EQ,1061.0,648.87,612739.0
2025-12-11,9.95,9.95,9.6,9.73,1175236,EQ,784.0,1499.03,1055282.0
2025-12-12,9.95,9.95,9.73,9.81,1276446,EQ,811.0,1573.92,903447.0
2025-12-15,9.99,9.99,9.52,9.82,562819,EQ,851.0,661.36,460281.0
2025-12-16,9.99,9.99,9.73,9.74,605545,EQ,929.0,651.82,490955.0
2025-12-17,10.03,10.03,9.66,9.67,403505,EQ,1071.0,376.76,322656.0
2025-12-18,9.96,9.96,9.61,9.69,577506,EQ,854.0,676.24,470627.0
2025-12-19,9.73,9.81,9.69,9.79,691473,EQ,752.0,919.51,616123.0
2025-12-22,10.08,10.08,9.79,9.94,1378511,EQ,1274.0,1082.03,988893.0
2025-12-23,10.24,10.24,9.9,9.96,693087,EQ,1026.0,675.52,430277.0
2025-12-24,10.26,10.26,9.96,10.0,567906,EQ,1083.0,524.38,432244.0
2025-12-26,10.25,10.27,9.98,9.99,1367774,EQ,1127.0,1213.64,1231700.0
2025-12-29,10.29,10.29,9.9,9.92,430845,EQ,1417.0,304.05,362844.0
2025-12-30,10.1,10.1,9.82,9.89,1725014,EQ,1395.0,1236.57,1491669.0
2025-12-31,9.7,10.03,9.7,10.01,449690,EQ,1004.0,447.9,350893.0
2026-01-01,10.31,10.31,9.95,9.98,474651,EQ,958.0,495.46,237023.0
2026-01-02,9.97,10.15,9.68,10.08,1100348,EQ,972.0,1132.05,946515.0
2026-01-05,10.38,10.38,9.75,10.12,980127,EQ,1403.0,698.59,616090.0
2026-01-06,10.42,10.42,10.06,10.11,510823,EQ,1078.0,473.86,412260.0
2026-01-07,10.2,10.2,9.85,10.14,237796,EQ,845.0,281.42,177002.0
2026-01-08,10.44,10.44,9.84,9.95,875500,EQ,1645.0,532.22,763642.0
2026-01-09,10.19,11.08,9.72,9.83,2194609,EQ,2263.0,969.78,1192275.0
2026-01-12,10.12,10.13,9.58,9.71,2390192,EQ,2997.0,797.53,2024814.0
2026-01-13,9.99,9.99,9.55,9.78,670338,EQ,1281.0,523.29,493959.0
2026-01-14,9.79,9.87,9.76,9.84,462929,EQ,1255.0,368.87,332914.0
2026-01-16,9.95,9.95,9.8,9.82,493907,EQ,1806.0,273.48,364705.0
2026-01-19,10.11,10.12,9.7,9.71,556327,EQ,2149.0,258.88,476443.0
2026-01-20,9.61,9.9,9.4,9.45,2269599,EQ,3401.0,667.33,1889208.0
2026-01-21,9.73,9.73,9.25,9.35,2017604,EQ,2597.0,776.9,1616375.0
2026-01-22,9.63,9.63,9.35,9.43,1103096,EQ,1388.0,794.74,915313.0
2026-01-23,9.71,9.71,9.21,9.26,1984460,EQ,2451.0,809.65,1717457.0
2026-01-27,9.55,9.57,9.17,9.29,1224685,EQ,2551.0,480.08,930132.0
2026-01-28,9.57,9.57,9.15,9.5,1305851,EQ,1546.0,844.66,830401.0
2026-01-29,9.79,9.79,9.44,9.51,1353768,EQ,1793.0,755.03,929325.0
2026-01-30,9.8,9.8,9.35,9.53,1163290,EQ,1767.0,658.34,721961.0
2026-02-01,9.82,9.82,9.13,9.33,2114222,EQ,3223.0,655.98,1538222.0
2026-02-02,9.49,9.49,9.14,9.36,1454745,EQ,2280.0,638.05,1065991.0
2026-02-03,9.64,9.9,9.4,9.62,3582954,EQ,1849.0,1937.78,3019967.0
2026-02-04,9.91,9.91,9.58,9.72,1570537,EQ,1421.0,1105.23,1008613.0
2026-02-05,10.01,10.01,9.56,9.6,1077204,EQ,1755.0,613.79,800012.0
2026-02-06,9.8,9.8,9.43,9.56,1590392,EQ,1497.0,1062.39,394429.0
2026-02-09,9.85,9.85,8.8,9.82,2568390,EQ,1891.0,1358.22,2182464.0
2026-02-10,10.1,10.1,9.78,9.88,1004435,EQ,1401.0,716.94,786492.0
2026-02-11,10.18,10.18,9.81,9.87,531626,EQ,1343.0,395.85,373068.0
2026-02-12,10.15,10.15,9.7,9.81,830831,EQ,1527.0,544.09,450951.0
2026-02-13,9.81,10.0,9.58,9.64,2375048,EQ,2065.0,1150.14,966202.0
2026-02-16,9.93,9.93,9.4,9.66,919544,EQ,1707.0,538.69,436871.0
2026-02-17,9.95,9.95,9.63,9.71,421047,EQ,1078.0,390.58,308908.0
2026-02-18,9.52,9.77,9.52,9.75,504249,EQ,1063.0,474.36,281662.0
2026-02-19,9.84,9.84,9.49,9.63,948193,EQ,1560.0,607.82,756838.0
2026-02-20,9.78,9.9,9.6,9.62,757734,EQ,1207.0,627.78,557996.0
2026-02-23,9.86,9.91,9.45,9.64,1399714,EQ,1478.0,947.03,469987.0
2026-02-24,9.46,9.77,9.46,9.61,3300434,EQ,2450.0,1347.12,3031755.0
2026-02-25,9.9,9.9,9.62,9.69,1251459,EQ,1159.0,1079.77,680583.0
2026-02-26,9.98,9.98,9.65,9.68,759622,EQ,1034.0,734.64,597166.0
2026-02-27,9.8,9.8,9.55,9.58,846456,EQ,1669.0,507.16,737749.0
2026-03-02,9.87,9.87,9.26,9.42,3049198,EQ,3739.0,815.51,2092385.0
2026-03-04,9.7,9.7,9.05,9.23,2787603,EQ,3242.0,859.84,2453936.0
2026-03-05,8.95,9.5,8.95,9.35,982212,EQ,1241.0,791.47,752167.0
2026-03-06,9.58,9.63,9.3,9.34,764366,EQ,1260.0,606.64,596182.0
2026-03-09,9.75,9.75,9.01,9.14,3124971,EQ,3222.0,969.89,2360643.0
2026-03-10,9.41,9.6,9.11,9.36,623788,EQ,1112.0,560.96,432038.0
2026-03-11,9.59,9.59,9.25,9.29,1491369,EQ,1501.0,993.58,1205507.0
2026-03-12,9.57,9.57,9.11,9.23,1048574,EQ,1613.0,650.08,693087.0
2026-03-13,9.45,9.45,8.97,9.02,3147979,EQ,3381.0,931.08,2979965.0
2026-03-16,8.85,9.29,8.75,8.97,1597025,EQ,2585.0,617.8,1183469.0
2026-03-17,9.24,9.24,8.91,9.02,2014844,EQ,1312.0,1535.7,1763333.0
2026-03-18,9.24,9.24,9.02,9.15,1176023,EQ,1208.0,973.53,773398.0
2026-03-19,9.1,9.1,8.88,8.95,2021720,EQ,2935.0,688.83,1746540.0
2026-03-20,8.95,9.18,8.88,8.91,1204737,EQ,1907.0,631.74,910607.0
2026-03-23,9.18,9.18,8.5,8.56,6599857,EQ,4571.0,1443.85,6067492.0
2026-03-24,8.82,8.85,8.56,8.75,3196758,EQ,1380.0,2316.49,2122302.0
2026-03-25,9.01,9.06,8.75,8.98,4130025,EQ,1962.0,2105.01,2591779.0
2026-03-27,9.25,9.25,8.73,8.88,3240550,EQ,2354.0,1376.61,2467720.0
2026-03-30,8.61,8.97,8.58,8.62,8247028,EQ,4034.0,2044.38,5497759.0
2026-04-01,8.88,8.99,8.55,8.89,1806090,EQ,1635.0,1104.64,1016518.0
2026-04-02,9.15,9.15,8.61,8.86,2510088,EQ,2331.0,1076.83,1774288.0
2026-04-06,9.08,9.08,8.75,8.98,2246611,EQ,2150.0,1044.94,1678238.0
2026-04-07,9.0,9.25,8.9,8.99,1151070,EQ,1500.0,767.38,880549.0
2026-04-08,9.25,9.37,9.09,9.36,4281240,EQ,1765.0,2425.63,3361808.0
2026-04-09,9.45,9.46,9.24,9.37,2099501,EQ,1403.0,1496.44,1508859.0
2026-04-10,9.65,9.65,9.36,9.54,1720141,EQ,1565.0,1099.13,1092889.0
2026-04-13,9.77,9.77,9.25,9.48,2865497,EQ,2128.0,1346.57,1997251.0
2026-04-15,9.76,9.77,9.64,9.7,1991081,EQ,1758.0,1132.58,1640144.0
2026-04-16,9.7,9.88,9.65,9.79,2014940,EQ,1484.0,1357.78,1223193.0
2026-04-17,9.82,9.98,9.79,9.95,2301542,EQ,1522.0,1512.18,1408055.0
2026-04-20,9.95,9.98,9.83,9.91,2571451,EQ,1793.0,1434.16,1132963.0
2026-04-21,9.9,10.03,9.83,10.0,1981416,EQ,1366.0,1450.52,1211790.0
2026-04-22,10.05,11.0,9.95,10.13,2076139,EQ,1824.0,1138.23,1214130.0
2026-04-23,10.38,10.38,10.0,10.02,1506678,EQ,1632.0,923.21,1223977.0
2026-04-24,10.06,10.1,9.9,9.94,1149907,EQ,1663.0,691.47,804769.0
2026-04-27,10.14,10.2,9.95,10.12,1461248,EQ,2073.0,704.9,1027926.0
2026-04-28,10.12,10.25,10.12,10.2,1999568,EQ,1431.0,1397.32,1632024.0
2026-04-29,10.4,10.4,10.21,10.22,3207770,EQ,1405.0,2283.11,2659750.0
2026-04-30,10.4,10.4,10.08,10.21,1213056,EQ,2065.0,587.44,702844.0
2026-05-04,10.52,10.52,10.0,10.25,2321165,EQ,3994.0,581.16,1670048.0
2026-05-05,10.5,10.5,10.25,10.27,1502333,EQ,1235.0,1216.46,921403.0
2026-05-06,10.45,10.52,10.32,10.49,2295369,EQ,1482.0,1548.83,1649306.0
2026-05-07,11.0,11.0,10.48,10.57,3182655,EQ,1702.0,1869.95,1983039.0
2026-05-08,10.7,10.7,10.56,10.59,2152316,EQ,1883.0,1143.02,1185375.0
2026-05-11,10.65,11.74,10.38,10.54,2260390,EQ,2367.0,954.96,1444926.0
2026-05-12,10.75,10.75,10.14,10.17,4474011,EQ,3666.0,1220.41,2922358.0
2026-05-13,10.54,10.54,10.15,10.19,1501178,EQ,1433.0,1047.58,980319.0
2026-05-14,10.28,10.28,10.07,10.18,1275420,EQ,1595.0,799.64,777082.0
2026-05-15,10.3,10.3,10.09,10.12,1490787,EQ,1401.0,1064.09,779239.0
2026-05-18,10.17,10.24,9.85,10.05,2470106,EQ,2493.0,990.82,1403391.0
2026-05-19,10.25,10.3,9.85,10.08,884455,EQ,1088.0,812.92,546668.0
2026-05-20,9.88,10.29,9.86,10.13,855824,EQ,963.0,888.71,653678.0
2026-05-21,10.4,10.4,10.14,10.2,609205,EQ,898.0,678.4,377449.0
2026-05-22,10.27,10.4,10.15,10.18,682517,EQ,1028.0,663.93,423050.0
2026-05-25,10.49,10.94,9.8,10.33,1213349,EQ,1473.0,823.73,994598.0
2026-05-26,10.64,10.64,10.26,10.33,908671,EQ,1194.0,761.03,647032.0
2026-05-27,10.54,11.08,10.33,10.38,891976,EQ,1078.0,827.44,714482.0
2026-05-29,10.69,11.0,10.25,10.28,1126786,EQ,1577.0,714.51,752736.0
2026-06-01,10.59,10.85,10.1,10.2,1243975,EQ,1926.0,645.89,785419.0
2026-06-02,10.85,10.85,10.07,10.22,1333926,EQ,1571.0,849.09,884432.0
2026-06-03,10.28,10.28,10.06,10.21,1006094,EQ,1333.0,754.76,553545.0
2026-06-04,10.29,10.3,10.16,10.28,622295,EQ,932.0,667.7,483476.0
2026-06-05,10.44,10.44,10.07,10.24,2141951,EQ,1308.0,1637.58,987039.0
2026-06-08,10.55,10.55,9.96,10.05,1735274,EQ,2332.0,744.11,1143768.0
2026-06-09,10.35,10.35,10.06,10.22,601309,EQ,1008.0,596.54,335771.0
2026-06-10,10.45,10.45,10.07,10.1,513752,EQ,1173.0,437.98,349226.0
2026-06-11,10.3,10.3,10.0,10.03,497238,EQ,1279.0,388.77,300669.0
2026-06-12,10.23,10.34,10.09,10.32,1618540,EQ,1361.0,1189.23,1247142.0
2026-06-15,10.58,11.09,10.32,10.45,2331180,EQ,1818.0,1282.28,1822047.0
2026-06-16,10.66,10.68,10.41,10.47,1610517,EQ,1180.0,1364.84,793772.0
2026-06-17,10.61,10.61,10.48,10.53,1332341,EQ,1035.0,1287.29,1028536.0
2026-06-18,10.79,10.79,10.4,10.6,1042988,EQ,1321.0,789.54,636656.0
2026-06-19,10.67,10.7,10.46,10.64,952912,EQ,1395.0,683.09,584436.0
2026-06-22,10.64,10.97,10.4,10.72,1440651,EQ,1614.0,892.6,1016576.0
2026-06-23,11.04,11.04,10.5,10.63,1191733,EQ,1591.0,749.05,816998.0
2026-06-24,10.84,10.84,10.4,10.68,4193691,EQ,1805.0,2323.37,3756292.0
2026-06-25,10.69,10.89,10.59,10.62,3587203,EQ,1284.0,2793.77,3277062.0
2026-06-29,10.88,10.94,10.41,10.57,1093318,EQ,1891.0,578.17,703705.0
2026-06-30,10.76,10.77,10.5,10.73,2444167,EQ,1231.0,1985.51,1887855.0
2026-07-01,10.95,10.95,10.7,10.72,1330220,EQ,1234,1077.97,984946
2026-07-02,10.8,10.9,10.63,10.86,922504,EQ,1246,740.37,568594
2026-07-03,11.08,11.19,10.81,10.88,1790364,EQ,1440,1243.31,1215172
2026-07-06,10.88,11.09,10.7,10.96,878067,EQ,1590,552.24,695192
2026-07-07,10.96,11.0,10.85,10.89,951831,EQ,1481,642.69,610306
2026-07-08,11.11,11.11,10.59,10.65,2527623,EQ,2207,1145.28,1516981
2026-07-09,10.97,10.97,10.51,10.84,1545610,EQ,1203,1284.8,1037704
2026-07-10,11.1,11.1,10.85,11.02,1156507,EQ,1318,877.47,882104
2026-07-13,11.24,11.41,10.96,11.08,2270048,EQ,1761,1289.07,1587629
2026-07-14,11.3,11.3,10.89,10.91,1883171,EQ,2081,904.94,1088883
2026-07-15,10.97,11.06,10.92,10.97,1037261,EQ,1146,905.11,686421
2026-07-16,10.8,11.12,10.8,10.97,862439,EQ,1015,849.69,518822
2026-07-17,11.19,11.19,10.84,10.93,1627959,EQ,1483,1097.75,752294
2026-07-20,10.93,11.27,10.85,10.97,2638374,EQ,1654,1595.15,1475540
2026-07-21,11.35,11.35,10.98,11.01,632204,EQ,972,650.42,432453
2026-07-22,11.3,11.3,10.85,10.87,1248701,EQ,1723,724.72,1054935
2026-07-23,11.14,11.14,10.7,10.73,1550321,EQ,1747,887.42,1167854
2026-07-24,10.81,10.81,10.6,10.71,1171677,EQ,1560,751.08,791095
2026-07-27,10.88,10.89,10.76,10.87,1044125,EQ,1480,705.49,905602
2026-07-28,10.95,10.95,10.8,10.85,461943,EQ,1129,409.16,347523
2026-07-29,10.85,11.02,10.75,10.99,1041974,EQ,1030,1011.63,870855
2026-07-30,11.21,11.21,10.93,10.95,721606,EQ,1023,705.38,429448
2026-07-31,11.11,11.11,10.93,11.0,1202915,EQ,1081,1112.78,1006708
2026-08-03,11.0,11.4,11.0,11.15,4311067,EQ,1797,2399.04,3426456
2026-08-04,11.37,11.43,11.14,11.17,2576286,EQ,2221,1159.97,1710051
2026-08-05,11.17,11.39,9.01,11.22,2442090,EQ,1741,1402.69,1682603
2026-08-06,11.26,11.56,10.84,11.3,3516262,EQ,1718,2046.72,2476643
2026-08-07,11.29,11.32,11.12,11.25,2513166,EQ,1939,1296.11,1548530
2026-08-10,11.25,11.34,11.17,11.26,2951292,EQ,1906,1548.42,1859109
2026-08-11,11.33,11.33,11.26,11.29,762663,EQ,1254,608.18,609834
2026-08-12,11.57,11.57,11.26,11.28,582754,EQ,1265,460.68,447700
2026-08-13,11.56,11.56,11.25,11.27,1120604,EQ,1258,890.78,630421
2026-08-14,11.4,11.4,11.16,11.21,909546,EQ,1676,542.69,583433
2026-08-17,11.25,11.31,11.19,11.28,3143996,EQ,2122,1481.62,1937806
2026-08-18,11.3,11.3,11.21,11.25,806253,EQ,1458,552.99,503326
2026-08-19,11.4,11.4,11.16,11.19,751962,EQ,1266,593.97,543537
2026-08-20,11.41,11.41,11.23,11.31,914092,EQ,1151,794.17,636920
2026-08-21,11.36,11.4,11.31,11.38,1556919,EQ,1279,1217.29,1082500
