Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-06,134.0,142.98,126.1,139.77,401671,EQ,3349.0,119.94,149264.0
2025-10-07,140.82,149.0,140.81,145.21,157425,EQ,6079.0,25.9,40563.0
2025-10-08,147.4,147.4,138.63,144.36,98840,EQ,2718.0,36.36,23999.0
2025-10-09,148.89,151.19,145.0,145.07,149816,EQ,5174.0,28.96,45983.0
2025-10-10,144.0,149.99,143.0,148.51,85772,EQ,4191.0,20.47,33250.0
2025-10-13,149.26,151.38,147.74,149.03,246731,EQ,5388.0,45.79,67196.0
2025-10-14,151.0,151.0,147.02,148.5,152413,EQ,7502.0,20.32,21417.0
2025-10-15,146.25,154.19,146.25,151.7,138277,EQ,8377.0,16.51,36649.0
2025-10-16,151.7,162.49,151.7,160.06,160971,EQ,6315.0,25.49,42173.0
2025-10-17,163.85,165.0,157.84,162.37,88676,EQ,4371.0,20.29,35914.0
2025-10-20,163.18,169.0,163.18,164.95,119185,EQ,4101.0,29.06,39733.0
2025-10-21,168.0,170.0,166.17,168.67,15474,EQ,529.0,29.25,10980.0
2025-10-23,167.01,171.0,167.0,167.21,89725,EQ,1981.0,45.29,32041.0
2025-10-24,168.05,170.0,156.4,157.85,154386,EQ,8600.0,17.95,37635.0
2025-10-27,158.0,167.21,156.53,161.59,71690,EQ,2848.0,25.17,20750.0
2025-10-28,163.2,164.99,160.0,161.82,54904,EQ,2019.0,27.19,14633.0
2025-10-29,161.0,166.97,161.0,162.64,44025,EQ,961.0,45.81,13171.0
2025-10-30,162.64,169.0,161.3,164.29,117175,EQ,1570.0,74.63,32659.0
2025-10-31,165.58,167.0,163.4,164.81,80851,EQ,1351.0,59.85,22850.0
2025-11-03,164.9,167.49,158.0,160.34,68340,EQ,1423.0,48.03,9679.0
2025-11-04,163.5,176.32,162.5,166.57,1728805,EQ,22937.0,75.37,159653.0
2025-11-06,166.3,167.88,161.5,162.82,113075,EQ,3053.0,37.04,18379.0
2025-11-07,161.2,165.61,155.72,163.41,431805,EQ,3384.0,127.6,342651.0
2025-11-10,163.41,165.29,162.8,164.01,115586,EQ,1688.0,68.48,48791.0
2025-11-11,161.55,164.5,160.0,160.31,23927,EQ,834.0,28.69,13481.0
2025-11-12,161.9,162.39,154.57,159.13,44326,EQ,1291.0,34.33,13117.0
2025-11-13,155.2,160.69,155.2,157.3,168787,EQ,1256.0,134.38,136006.0
2025-11-14,154.8,155.35,149.4,152.03,98745,EQ,1055.0,93.6,24204.0
2025-11-17,150.5,154.08,150.5,151.89,82339,EQ,988.0,83.34,11691.0
2025-11-18,147.5,154.96,147.5,154.06,76387,EQ,640.0,119.35,12350.0
2025-11-19,151.0,156.07,151.0,151.29,62979,EQ,490.0,128.53,7133.0
2025-11-20,155.33,156.33,151.0,152.93,77558,EQ,764.0,101.52,15002.0
2025-11-21,155.88,165.5,154.27,162.12,123894,EQ,1845.0,67.15,23926.0
2025-11-24,163.75,177.9,163.75,166.2,563917,EQ,10662.0,52.89,73060.0
2025-11-25,169.85,171.39,158.47,160.34,119400,EQ,2198.0,54.32,19951.0
2025-11-26,162.25,170.0,159.81,167.29,95486,EQ,1569.0,60.86,20228.0
