Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-10,268.0,268.96,241.2,241.2,39084092,EQ,358104.0,109.14,17597835.0
2026-06-11,241.5,251.0,240.33,243.89,11214436,EQ,136808.0,81.97,2644190.0
2026-06-12,248.81,253.88,242.39,252.04,5069342,EQ,48680.0,104.14,2092336.0
2026-06-15,257.0,260.69,241.0,246.04,6523476,EQ,51272.0,127.23,1872990.0
2026-06-16,244.85,246.36,231.3,233.8,3490745,EQ,39284.0,88.86,1211761.0
2026-06-17,235.99,240.76,231.38,236.71,2491996,EQ,23203.0,107.4,625539.0
2026-06-18,238.39,249.19,234.65,247.58,3946193,EQ,35649.0,110.7,1403656.0
2026-06-19,246.71,252.9,240.5,242.95,2242963,EQ,23024.0,97.42,781933.0
2026-06-22,244.2,261.75,242.2,256.79,8260063,EQ,76682.0,107.72,2485799.0
2026-06-23,258.89,266.0,251.11,253.18,5896342,EQ,53236.0,110.76,1494084.0
2026-06-24,254.3,267.4,253.81,258.95,6509470,EQ,54155.0,120.2,1458862.0
2026-06-25,261.95,261.95,244.0,246.7,3293441,EQ,31659.0,104.03,1399053.0
2026-06-29,248.0,255.95,242.5,254.79,2776007,EQ,22791.0,121.8,925516.0
2026-06-30,255.78,263.0,243.1,250.7,6347303,EQ,65942.0,96.26,1420593.0
2026-07-01,251.0,254.45,238.25,240.35,3381919,EQ,34980,96.68,1412477
2026-07-02,243.5,246.5,241.45,244.1,1353639,EQ,12935,104.65,477978
2026-07-03,246.0,248.6,239.5,243.7,2282182,EQ,18996,120.14,707675
2026-07-06,245.0,245.7,235.0,236.1,1525961,EQ,15353,99.39,801421
2026-07-07,238.0,240.15,231.9,238.35,1353849,EQ,12680,106.77,543839
2026-07-08,234.95,238.45,228.0,230.4,1080496,EQ,18309,59.01,472024
2026-07-09,232.4,234.75,223.05,224.65,1413756,EQ,14120,100.12,712766
2026-07-10,227.9,227.9,219.0,223.5,1762463,EQ,18974,92.89,676939
2026-07-13,223.95,235.2,221.3,229.3,1545077,EQ,15639,98.8,574636
2026-07-14,229.0,229.05,224.25,224.75,594807,EQ,8093,73.5,278939
2026-07-15,226.0,227.2,220.65,222.0,709800,EQ,8793,80.72,332963
2026-07-16,222.55,228.5,220.8,222.6,839378,EQ,10457,80.27,298944
2026-07-17,223.4,223.55,214.05,216.95,866875,EQ,11477,75.53,323147
2026-07-20,216.95,219.05,213.3,216.4,667725,EQ,8922,74.84,285216
2026-07-21,217.2,224.9,217.2,221.65,855185,EQ,11957,71.52,359110
2026-07-22,224.3,224.3,214.6,218.1,553976,EQ,8222,67.38,250566
2026-07-23,219.0,220.35,215.3,217.35,414508,EQ,7071,58.62,151349
2026-07-24,216.0,218.8,213.05,218.05,784000,EQ,13166,59.55,416453
2026-07-27,220.5,226.5,217.25,219.1,755516,EQ,11339,66.63,332673
2026-07-28,218.65,219.7,212.1,215.1,793526,EQ,8668,91.55,449766
2026-07-29,215.6,221.0,214.5,215.15,615655,EQ,8302,74.16,332889
2026-07-30,215.25,217.85,213.0,213.9,490888,EQ,8941,54.9,251130
2026-07-31,216.0,222.8,213.5,216.7,1084961,EQ,18005,60.26,480376
2026-08-03,219.0,227.8,217.3,222.58,1805490,EQ,25610,70.5,1007254
2026-08-04,224.0,229.35,221.85,228.59,790829,EQ,12970,60.97,308156
2026-08-05,231.9,232.07,225.1,226.88,468277,EQ,8461,55.35,210688
2026-08-06,227.4,237.0,225.5,231.47,1343882,EQ,20179,66.6,580277
2026-08-07,232.62,233.46,224.31,225.6,495313,EQ,7767,63.77,287267
2026-08-10,226.51,229.9,216.1,221.27,1282846,EQ,16884,75.98,593385
2026-08-11,218.87,221.8,212.9,219.09,1477599,EQ,29083,50.81,555975
2026-08-12,220.02,221.0,214.76,215.7,638667,EQ,12025,53.11,321614
2026-08-13,216.9,220.0,216.3,218.44,389288,EQ,28963,13.44,203050
2026-08-14,218.49,219.31,212.0,213.57,614699,EQ,9149,67.19,299130
2026-08-17,213.99,220.01,212.8,214.92,784859,EQ,11697,67.1,403983
2026-08-18,218.33,220.0,211.59,211.99,971911,EQ,12443,78.11,475139
2026-08-19,211.35,214.0,205.25,213.08,1064703,EQ,29304,36.33,455100
2026-08-20,215.25,215.8,212.0,213.75,469947,EQ,16253,28.91,259450
2026-08-21,214.5,218.4,212.1,212.87,484291,EQ,6399,75.68,237762
