Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-25,526.4,526.4,456.05,466.25,422570,EQ,6021.0,70.18,293507.0
2026-02-26,465.6,476.0,453.7,458.45,31519,EQ,2301.0,13.7,5885.0
2026-02-27,458.45,468.7,441.55,447.1,39883,EQ,4386.0,9.09,7961.0
2026-03-02,447.0,447.0,419.9,429.45,28081,EQ,3013.0,9.32,8735.0
2026-03-04,425.4,427.95,383.0,395.75,48134,EQ,948.0,50.77,40022.0
2026-03-05,388.0,450.0,387.95,423.5,22322,EQ,776.0,28.77,13844.0
2026-03-06,423.45,432.0,405.35,407.8,16047,EQ,1751.0,9.16,5121.0
2026-03-09,407.0,407.45,400.05,402.9,2391,EQ,155.0,15.43,1659.0
2026-03-10,409.0,420.4,391.1,398.2,8074,EQ,366.0,22.06,5818.0
2026-03-11,401.2,410.0,400.0,401.35,7000,EQ,320.0,21.88,4959.0
2026-03-12,405.45,420.8,405.0,413.25,7863,EQ,277.0,28.39,3673.0
2026-03-13,409.1,409.1,387.8,395.25,5878,EQ,301.0,19.53,4195.0
2026-03-16,406.0,406.0,365.05,367.7,21048,EQ,783.0,26.88,11647.0
2026-03-17,376.1,379.95,367.0,369.95,8028,EQ,579.0,13.87,4240.0
2026-03-18,371.8,374.4,362.35,365.65,22268,EQ,458.0,48.62,19532.0
2026-03-19,372.0,373.8,353.3,355.95,20622,EQ,488.0,42.26,17884.0
2026-03-20,353.95,370.3,345.05,358.65,12829,EQ,1216.0,10.55,7448.0
2026-03-23,377.0,377.0,310.0,331.05,25113,EQ,1351.0,18.59,20024.0
2026-03-24,348.9,360.0,331.15,352.95,88702,EQ,857.0,103.5,82770.0
2026-03-25,354.0,375.0,354.0,372.05,8145,EQ,473.0,17.22,5527.0
2026-03-27,374.9,374.9,342.05,346.7,95599,EQ,635.0,150.55,88620.0
2026-03-30,364.95,364.95,310.5,324.9,21349,EQ,984.0,21.7,10682.0
2026-04-01,326.0,349.95,326.0,346.2,2247,EQ,212.0,10.6,927.0
2026-04-02,345.0,350.0,335.05,347.9,6098,EQ,456.0,13.37,3576.0
2026-04-06,351.25,364.7,351.25,355.9,5889,EQ,322.0,18.29,3474.0
2026-04-07,375.05,382.0,350.0,353.75,13508,EQ,732.0,18.45,7815.0
2026-04-08,364.45,378.0,363.1,367.15,6660,EQ,399.0,16.69,3642.0
2026-04-09,357.0,375.9,355.0,361.45,9724,EQ,773.0,12.58,3540.0
2026-04-10,361.45,374.0,361.45,369.65,6356,EQ,319.0,19.92,3696.0
2026-04-13,367.8,370.3,358.35,367.35,3110,EQ,184.0,16.9,1650.0
2026-04-15,372.5,381.95,366.0,377.5,10229,EQ,419.0,24.41,6421.0
2026-04-16,383.65,399.6,383.65,390.95,24408,EQ,953.0,25.61,16820.0
2026-04-17,378.0,402.0,378.0,389.4,23982,EQ,1540.0,15.57,13217.0
2026-04-20,388.2,419.95,374.95,388.7,39983,EQ,1516.0,26.37,21519.0
2026-04-21,396.9,407.85,391.4,401.05,8618,EQ,493.0,17.48,5207.0
2026-04-22,390.6,410.0,390.6,400.95,5392,EQ,308.0,17.51,3666.0
2026-04-23,409.75,409.75,393.05,396.35,4437,EQ,309.0,14.36,2687.0
2026-04-24,388.0,408.05,385.2,394.25,1017,EQ,87.0,11.69,488.0
2026-04-27,400.8,401.95,392.05,398.9,3001,EQ,258.0,11.63,2188.0
2026-04-28,402.85,405.8,380.05,385.5,8627,EQ,552.0,15.63,4453.0
2026-04-29,404.95,404.95,380.0,381.95,5637,EQ,542.0,10.4,2495.0
2026-04-30,382.0,396.9,375.3,391.95,3705,EQ,168.0,22.05,1955.0
2026-05-04,405.0,407.25,385.25,394.0,5438,EQ,357.0,15.23,2246.0
2026-05-05,402.75,402.75,386.5,389.45,2674,EQ,240.0,11.14,1716.0
2026-05-06,394.5,405.8,381.1,398.55,15172,EQ,417.0,36.38,13880.0
2026-05-07,396.85,397.0,376.2,381.2,14327,EQ,676.0,21.19,11288.0
2026-05-08,390.0,395.0,360.2,376.65,13297,EQ,609.0,21.83,6899.0
2026-05-11,376.45,377.0,370.0,371.55,2363,EQ,166.0,14.23,1573.0
2026-05-12,361.55,366.9,360.0,360.55,3101,EQ,363.0,8.54,1871.0
2026-05-13,362.65,371.2,360.0,363.8,3351,EQ,305.0,10.99,1785.0
