Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-25,28.11,29.0,25.28,27.93,78610,EQ,526.0,149.45,73841.0
2026-02-26,27.9,28.98,27.11,27.47,29750,EQ,621.0,47.91,15564.0
2026-02-27,28.05,28.29,27.02,27.29,24816,EQ,240.0,103.4,18159.0
2026-03-02,26.0,28.3,25.32,26.67,22380,EQ,521.0,42.96,16814.0
2026-03-04,25.0,26.95,24.5,25.16,34167,EQ,426.0,80.2,26890.0
2026-03-05,25.02,26.48,25.02,25.37,52023,EQ,213.0,244.24,46560.0
2026-03-06,25.25,26.18,24.91,25.31,12734,EQ,257.0,49.55,9816.0
2026-03-09,24.55,24.8,22.99,24.35,17335,EQ,221.0,78.44,13961.0
2026-03-10,24.36,25.1,23.5,24.09,19391,EQ,159.0,121.96,17000.0
2026-03-11,24.4,28.3,24.01,26.29,30255,EQ,146.0,207.23,25106.0
2026-03-12,26.82,27.0,24.8,25.31,18118,EQ,316.0,57.34,12026.0
2026-03-13,25.31,26.49,24.3,24.5,3792,EQ,108.0,35.11,3626.0
2026-03-16,24.5,27.0,23.09,24.27,14894,EQ,234.0,63.65,11038.0
2026-03-17,25.99,25.99,24.28,24.53,37629,EQ,118.0,318.89,34929.0
2026-03-18,24.53,26.49,24.33,25.02,462786,EQ,607.0,762.42,266940.0
2026-03-19,25.0,27.0,24.65,25.72,624485,EQ,1137.0,549.24,423472.0
2026-03-20,26.7,30.45,25.25,25.77,190160,EQ,1764.0,107.8,60153.0
2026-03-23,25.77,28.29,24.5,24.92,41243,EQ,448.0,92.06,19358.0
2026-03-24,26.79,26.79,24.41,24.9,40356,EQ,297.0,135.88,28617.0
2026-03-25,24.9,25.85,24.31,24.62,42064,EQ,251.0,167.59,36461.0
2026-03-27,24.75,25.09,21.55,22.81,58949,EQ,646.0,91.25,41049.0
2026-03-30,23.15,23.38,21.0,21.69,41776,EQ,375.0,111.4,25217.0
2026-04-01,21.5,26.02,21.5,23.56,104252,EQ,628.0,166.01,20723.0
2026-04-02,22.65,23.67,22.62,23.06,21432,EQ,412.0,52.02,7216.0
2026-04-06,22.7,24.49,22.5,23.84,10371,EQ,257.0,40.35,6095.0
2026-04-07,23.84,25.54,23.01,24.17,110736,EQ,658.0,168.29,49451.0
2026-04-08,24.9,25.4,22.9,23.4,206754,EQ,1129.0,183.13,139568.0
2026-04-09,23.97,24.0,22.4,23.17,26019,EQ,196.0,132.75,17319.0
2026-04-10,23.0,23.77,22.99,23.19,23046,EQ,195.0,118.18,17716.0
2026-04-13,23.16,23.8,22.85,23.34,14718,EQ,151.0,97.47,10999.0
2026-04-15,23.06,25.0,23.06,24.4,66576,EQ,290.0,229.57,57033.0
2026-04-16,24.0,24.95,23.35,24.76,39684,EQ,313.0,126.79,27520.0
