Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-07-19,136.5,136.5,127.2,131.25,20693,,,
2017-07-20,130.1,132.95,125.0,128.2,13302,,,
2017-07-21,126.65,129.6,123.2,127.15,7795,,,
2017-07-24,127.15,137.0,127.0,131.75,34046,,,
2017-07-25,132.0,134.0,129.55,131.65,11439,,,
2017-07-26,131.65,131.65,128.3,129.65,9084,,,
2017-07-27,129.65,129.65,125.1,125.8,11829,,,
2017-07-28,125.0,130.0,123.0,128.0,12208,,,
2017-07-31,133.0,137.0,129.0,131.7,84899,,,
2017-08-01,133.7,133.7,128.5,129.95,12689,,,
2017-08-02,139.6,139.6,134.0,134.9,92750,,,
2017-08-03,135.4,135.4,129.8,130.8,16729,,,
2017-08-04,130.8,132.7,128.0,128.6,19100,,,
2017-08-07,129.5,129.8,126.0,126.7,18961,,,
2017-08-08,126.2,128.9,124.0,125.35,14121,,,
2017-08-09,124.5,126.0,122.05,122.7,6676,,,
2017-08-10,124.65,124.65,102.0,109.85,26066,,,
2017-08-11,102.35,119.7,102.35,114.7,15655,,,
2017-08-14,118.0,121.75,114.95,117.7,13860,,,
2017-08-16,117.15,121.05,117.0,119.95,5113,,,
2017-08-17,123.9,124.5,117.05,118.65,10348,,,
2017-08-18,120.0,120.25,117.0,119.4,5384,,,
2017-08-21,123.35,123.35,118.05,118.25,5942,,,
2017-08-22,118.0,119.0,115.15,115.75,8394,,,
2017-08-23,116.0,120.0,116.0,117.25,1449,,,
2017-08-24,119.95,119.95,115.05,118.5,4324,,,
2017-08-28,122.15,122.15,117.0,118.0,5754,,,
2017-08-29,117.5,119.7,117.0,117.05,3607,,,
2017-08-30,120.0,121.0,116.2,117.75,8915,,,
2017-08-31,117.5,119.5,116.55,118.85,14350,,,
2017-09-01,120.0,121.8,119.0,120.0,15190,,,
2017-09-04,121.0,122.75,117.0,119.2,13913,,,
2017-09-05,120.0,123.0,117.3,118.9,14595,,,
2017-09-06,118.0,122.0,118.0,120.55,8553,,,
2017-09-07,122.4,122.95,120.0,122.1,8160,,,
2017-09-08,124.0,126.0,122.05,124.2,8915,,,
2017-09-11,128.1,135.0,127.5,131.95,76322,,,
2017-09-12,122.05,132.5,122.05,127.75,21455,,,
2017-09-13,128.5,130.3,126.0,126.75,8925,,,
2017-09-14,127.0,127.75,124.1,125.9,14101,,,
2017-09-15,124.1,127.0,123.25,124.6,9009,,,
2017-09-18,124.0,124.6,119.1,121.15,38299,,,
2017-09-19,122.0,124.75,120.0,123.3,23617,,,
2017-09-20,124.4,124.4,121.0,122.25,17977,,,
2017-09-21,124.4,124.4,119.6,121.15,13062,,,
2017-09-22,119.95,122.45,118.0,118.75,10677,,,
2017-09-25,118.75,120.0,110.1,114.75,14758,,,
2017-09-26,112.5,120.0,112.5,118.55,7729,,,
2017-09-27,117.0,120.0,114.1,116.2,3019,,,
2017-09-28,119.0,119.0,114.0,114.45,4595,,,
2017-09-29,116.5,117.8,114.5,115.9,7552,,,
