Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,5499.9,5500.0,5350.1,5487.9,915,EQ,318.0,2.88,641.0
2026-04-21,5460.5,5598.0,5425.0,5574.7,1340,EQ,331.0,4.05,1037.0
2026-04-22,5630.4,5679.0,5541.0,5637.8,1724,EQ,393.0,4.39,1438.0
2026-04-23,5637.7,5742.2,5580.0,5676.6,2335,EQ,801.0,2.92,1627.0
2026-04-24,5701.0,5748.0,5610.0,5659.6,4886,EQ,971.0,5.03,4254.0
2026-04-27,5740.0,6052.6,5637.0,5955.4,7045,EQ,1680.0,4.19,5063.0
2026-04-28,5950.0,5999.0,5500.0,5639.8,6929,EQ,2171.0,3.19,3875.0
2026-04-29,5651.1,5847.8,5648.1,5693.8,4747,EQ,1382.0,3.43,3443.0
2026-04-30,5722.3,5774.9,5640.0,5657.6,666,EQ,299.0,2.23,324.0
2026-05-04,5642.5,5724.0,5571.0,5616.5,3062,EQ,917.0,3.34,2115.0
2026-05-05,5699.0,5699.0,5530.0,5568.5,1658,EQ,455.0,3.64,1132.0
2026-05-06,5650.0,5771.0,5611.0,5728.0,4380,EQ,1684.0,2.6,2922.0
2026-05-07,5770.5,5838.5,5690.5,5716.0,3882,EQ,833.0,4.66,2922.0
2026-05-08,5770.5,5789.0,5600.0,5689.5,4610,EQ,1809.0,2.55,2925.0
2026-05-11,5750.0,5750.0,5554.5,5603.5,3920,EQ,2073.0,1.89,2914.0
2026-05-12,5645.5,5656.0,5360.0,5423.0,5178,EQ,2041.0,2.54,3328.0
2026-05-13,5437.0,5536.0,5370.0,5391.5,8257,EQ,5104.0,1.62,6411.0
2026-05-14,5400.0,5480.0,5341.0,5365.0,2619,EQ,818.0,3.2,1838.0
2026-05-15,5450.0,5685.0,5340.0,5427.5,3976,EQ,1565.0,2.54,1948.0
2026-05-18,5492.5,5492.5,5294.5,5363.0,2507,EQ,753.0,3.33,1865.0
2026-05-19,5324.5,5528.5,5300.0,5342.0,4674,EQ,1471.0,3.18,2743.0
2026-05-20,5342.0,5384.5,5296.5,5339.0,1254,EQ,558.0,2.25,824.0
2026-05-21,5389.0,5480.0,5351.0,5398.0,5805,EQ,1306.0,4.44,4779.0
2026-05-22,5391.5,5450.0,5356.0,5393.5,3982,EQ,1577.0,2.53,2852.0
2026-05-25,5421.0,5454.5,5320.0,5350.5,6305,EQ,1658.0,3.8,3588.0
2026-05-26,5399.5,5399.5,5279.5,5340.0,8554,EQ,2359.0,3.63,5314.0
2026-05-27,5305.0,5420.0,5275.5,5392.0,4554,EQ,1178.0,3.87,3333.0
2026-05-29,5400.0,5540.0,5340.0,5360.5,11272,EQ,3801.0,2.97,6834.0
2026-06-01,5300.0,5459.0,5300.0,5369.5,5892,EQ,1369.0,4.3,3706.0
2026-06-02,5393.5,5394.0,5310.0,5342.0,1772,EQ,558.0,3.18,1262.0
2026-06-03,5390.5,5400.0,5350.5,5369.0,1483,EQ,441.0,3.36,892.0
2026-06-04,5382.5,5436.0,5325.0,5389.0,1081,EQ,371.0,2.91,624.0
2026-06-05,5362.5,5420.0,5325.0,5398.0,2202,EQ,624.0,3.53,1386.0
2026-06-08,5322.0,5671.5,5275.5,5517.5,9173,EQ,2508.0,3.66,4739.0
2026-06-09,5631.0,5816.5,5555.0,5746.0,14365,EQ,3611.0,3.98,9208.0
2026-06-10,5751.0,5946.0,5751.0,5856.5,7372,EQ,2399.0,3.07,3885.0
2026-06-11,5856.5,5913.5,5765.5,5794.5,5630,EQ,1489.0,3.78,3728.0
2026-06-12,5795.0,5850.0,5712.0,5811.0,2484,EQ,939.0,2.65,1412.0
2026-06-15,5860.0,5860.0,5737.5,5774.5,2610,EQ,894.0,2.92,1696.0
2026-06-16,5823.5,5845.0,5762.0,5794.5,1926,EQ,557.0,3.46,1341.0
2026-06-17,5785.0,5900.0,5728.0,5833.5,4148,EQ,1002.0,4.14,2974.0
2026-06-18,5848.0,5900.0,5761.0,5867.5,4180,EQ,1025.0,4.08,3200.0
2026-06-19,5809.0,5883.5,5809.0,5842.5,1604,EQ,728.0,2.2,1207.0
2026-06-22,5842.5,5900.0,5800.0,5842.5,10511,EQ,1913.0,5.49,7870.0
2026-06-23,5900.0,6340.0,5826.5,6205.0,49205,EQ,11838.0,4.16,17465.0
2026-06-24,6100.5,6188.0,6007.0,6088.5,12611,EQ,2984.0,4.23,7367.0
2026-06-25,6145.0,6145.0,5965.0,6019.0,7565,EQ,2307.0,3.28,4636.0
2026-06-29,6019.5,6019.5,5901.0,5951.5,7741,EQ,2298.0,3.37,4817.0
2026-06-30,6079.5,6079.5,5899.5,5998.5,9786,EQ,3141.0,3.12,6133.0
2026-07-01,6010.0,6140.0,6010.0,6050.0,9812,EQ,4989,1.97,7139
2026-07-02,6106.5,6108.5,6000.0,6041.0,8872,EQ,1745,5.08,6196
2026-07-03,6110.0,6110.0,6007.5,6042.5,4728,EQ,1205,3.92,3444
2026-07-06,6097.5,6158.5,6002.5,6023.5,4646,EQ,1452,3.2,3060
2026-07-07,6030.0,6068.0,6000.0,6036.5,2391,EQ,802,2.98,1539
