Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-07,84.0,93.0,81.17,83.7,28034318,EQ,119268.0,235.05,11076723.0
2025-10-08,83.0,88.15,82.28,83.71,6919424,EQ,45234.0,152.97,1443624.0
2025-10-09,84.41,85.43,82.28,82.75,1918021,EQ,13542.0,141.63,674057.0
2025-10-10,83.08,84.2,81.0,81.81,1348956,EQ,10654.0,126.61,547961.0
2025-10-13,81.5,81.81,78.0,78.51,1844768,EQ,15806.0,116.71,772877.0
2025-10-14,79.1,79.32,73.42,74.11,2149069,EQ,18769.0,114.5,849288.0
2025-10-15,74.11,75.64,73.6,74.89,1302150,EQ,9466.0,137.56,376039.0
2025-10-16,75.5,76.32,74.83,75.24,731658,EQ,6276.0,116.58,279898.0
2025-10-17,75.75,75.75,71.0,71.51,1066430,EQ,8869.0,120.24,483776.0
2025-10-20,72.3,74.0,70.17,73.67,1478993,EQ,11338.0,130.45,313184.0
2025-10-21,74.3,74.89,74.0,74.6,193869,EQ,2125.0,91.23,77297.0
2025-10-23,76.0,76.0,73.9,74.65,563328,EQ,5517.0,102.11,240228.0
2025-10-24,74.55,75.1,73.55,74.53,356550,EQ,3723.0,95.77,152735.0
2025-10-27,75.3,80.55,74.24,79.59,3217463,EQ,22419.0,143.52,810433.0
2025-10-28,79.0,79.38,76.65,77.11,903707,EQ,9655.0,93.6,291080.0
2025-10-29,78.3,78.34,75.76,76.2,616972,EQ,5623.0,109.72,234994.0
2025-10-30,76.58,76.58,75.0,75.17,402032,EQ,3575.0,112.46,167353.0
2025-10-31,75.3,75.54,74.23,74.43,283850,EQ,3340.0,84.99,139472.0
2025-11-03,74.41,74.41,72.2,73.37,566201,EQ,4697.0,120.55,216871.0
2025-11-04,74.0,74.1,72.49,72.74,473177,EQ,3307.0,143.08,237714.0
2025-11-06,73.0,73.2,68.8,69.23,1458584,EQ,11354.0,128.46,645389.0
2025-11-07,69.59,70.12,68.06,69.52,617239,EQ,5510.0,112.02,265397.0
2025-11-10,71.0,71.1,69.2,69.7,301936,EQ,3235.0,93.33,140277.0
2025-11-11,69.89,73.0,69.05,71.72,819173,EQ,8363.0,97.95,290116.0
2025-11-12,72.0,72.8,71.01,72.54,331691,EQ,3653.0,90.8,166981.0
2025-11-13,72.5,74.3,71.75,73.69,555815,EQ,5982.0,92.91,246092.0
2025-11-14,73.51,74.1,72.28,73.74,266261,EQ,2965.0,89.8,122346.0
2025-11-17,70.3,72.1,70.29,70.65,457889,EQ,5179.0,88.41,229021.0
2025-11-18,70.99,71.3,69.57,70.83,327101,EQ,3513.0,93.11,134783.0
2025-11-19,70.95,70.95,67.5,68.12,519549,EQ,5340.0,97.29,289958.0
2025-11-20,68.12,69.36,67.73,68.02,311207,EQ,3163.0,98.39,160168.0
2025-11-21,68.41,69.1,67.1,67.66,231245,EQ,2840.0,81.42,112504.0
2025-11-24,67.98,68.34,66.5,66.69,256324,EQ,3297.0,77.74,108532.0
2025-11-25,66.92,67.53,66.36,66.79,176218,EQ,2217.0,79.48,81028.0
2025-11-26,66.99,67.64,66.7,66.97,155527,EQ,2312.0,67.27,83777.0
2025-11-27,67.1,67.63,66.55,66.72,127758,EQ,1792.0,71.29,71192.0
2025-11-28,67.0,67.01,65.65,65.74,241002,EQ,2745.0,87.8,155005.0
2025-12-01,66.61,67.0,63.65,64.2,348404,EQ,3360.0,103.69,190955.0
2025-12-02,64.0,64.2,63.1,63.53,237754,EQ,2671.0,89.01,137879.0
2025-12-03,63.2,63.98,60.0,60.76,461250,EQ,6667.0,69.18,240528.0
2025-12-04,60.76,62.68,59.15,61.09,490165,EQ,5564.0,88.1,132540.0
2025-12-05,61.09,61.39,59.0,59.78,312916,EQ,3951.0,79.2,160322.0
2025-12-08,59.0,60.03,57.0,57.38,367979,EQ,4236.0,86.87,180075.0
2025-12-09,57.0,59.95,56.24,59.37,415816,EQ,4231.0,98.28,128495.0
