Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-18,153.0,160.65,147.2,160.65,1810800,ST,887,2041.49,1808400
2026-03-19,168.5,168.65,168.5,168.65,82800,ST,48,1725.0,75600
2026-03-20,176.7,177.05,172.05,177.05,220800,ST,99,2230.3,212400
2026-03-23,185.9,185.9,184.5,185.9,118800,ST,81,1466.67,108000
2026-03-24,192.0,192.0,176.65,181.45,234000,ST,151,1549.67,208800
2026-03-25,175.9,181.0,172.4,172.4,126000,ST,72,1750.0,111600
2026-03-27,163.8,163.85,163.8,163.8,60000,ST,31,1935.48,60000
2026-03-30,155.65,159.95,155.65,156.45,183600,ST,136,1350.0,175200
2026-04-01,164.25,164.25,163.6,164.25,51600,ST,33,1563.64,50400
2026-04-02,166.0,172.45,166.0,172.45,106800,ST,76,1405.26,92400
2026-04-06,179.4,192.0,176.0,183.15,163200,SM,129,1265.12,94800
2026-04-07,185.85,185.85,175.0,180.85,76800,SM,59,1301.69,37200
2026-04-08,197.0,197.0,182.0,184.0,39600,SM,29,1365.52,30000
2026-04-09,184.0,185.75,177.0,177.0,34800,SM,26,1338.46,21600
2026-04-10,175.25,181.5,173.0,178.7,50400,SM,39,1292.31,30000
2026-04-13,177.0,188.0,173.0,186.45,50400,SM,37,1362.16,42000
2026-04-15,189.0,204.45,188.55,198.8,49200,SM,39,1261.54,31200
2026-04-16,200.0,235.5,195.0,221.2,315600,SM,137,2303.65,232800
2026-04-17,227.5,265.4,227.3,251.25,324000,SM,202,1603.96,184800
2026-04-20,255.0,264.0,227.0,232.0,206400,SM,153,1349.02,93600
2026-04-21,232.0,240.0,215.05,219.25,123600,SM,88,1404.55,56400
2026-04-22,211.0,217.8,208.3,208.3,69600,ST,45,1546.67,61200
2026-04-23,204.5,218.7,204.5,215.6,109200,ST,68,1605.88,94800
2026-04-24,215.6,224.0,213.95,222.25,20400,ST,17,1200.0,19200
2026-04-27,222.0,233.35,222.0,233.35,27600,ST,21,1314.29,27600
2026-04-28,230.0,242.4,227.0,239.9,57600,ST,33,1745.45,54000
2026-04-29,246.0,246.0,227.95,227.95,38400,ST,26,1476.92,34800
2026-04-30,217.0,239.3,217.0,239.3,39600,ST,29,1365.52,34800
