Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-09-28,30.0,30.0,28.5,28.5,108000,ST,27,4000.0,108000
2022-09-29,27.1,27.1,27.1,27.1,4000,ST,1,4000.0,4000
2022-09-30,25.75,25.75,25.75,25.75,8000,ST,2,4000.0,8000
2022-10-03,24.5,24.5,24.5,24.5,4000,ST,1,4000.0,4000
2022-10-04,23.3,23.3,23.3,23.3,12000,ST,3,4000.0,12000
2022-10-06,22.15,22.15,22.15,22.15,28000,ST,7,4000.0,28000
2022-10-07,21.05,21.05,21.05,21.05,212000,ST,21,10095.24,212000
2022-10-10,20.0,21.5,20.0,20.0,228000,ST,55,4145.45,224000
2022-10-11,19.0,19.0,19.0,19.0,4000,ST,1,4000.0,4000
2022-10-12,18.05,18.05,18.05,18.05,12000,ST,3,4000.0,12000
2022-10-13,16.25,19.4,16.25,16.25,336000,SM,71,4732.39,232000
2022-10-14,16.35,17.85,16.35,17.85,336000,SM,74,4540.54,248000
2022-10-17,17.85,18.0,16.1,16.35,232000,SM,51,4549.02,160000
2022-10-18,16.75,16.95,16.4,16.55,68000,SM,16,4250.0,64000
2022-10-19,16.85,17.0,16.0,16.0,32000,SM,8,4000.0,32000
2022-10-20,16.4,16.4,15.1,15.4,20000,SM,5,4000.0,16000
2022-10-21,15.7,15.7,14.15,15.2,180000,SM,40,4500.0,120000
2022-10-24,15.0,15.0,15.0,15.0,4000,SM,1,4000.0,4000
2022-10-25,14.4,14.5,14.05,14.25,100000,SM,25,4000.0,84000
2022-10-27,15.35,15.35,14.4,15.2,84000,SM,21,4000.0,68000
2022-10-28,15.25,15.4,14.6,14.7,68000,SM,17,4000.0,64000
2022-10-31,15.05,16.15,14.65,16.15,84000,SM,21,4000.0,60000
2022-11-01,17.0,17.0,15.45,15.65,36000,SM,9,4000.0,36000
2022-11-02,15.95,15.95,15.0,15.45,72000,SM,15,4800.0,60000
2022-11-03,15.8,15.8,15.3,15.3,8000,SM,2,4000.0,4000
2022-11-04,15.05,15.05,15.0,15.0,20000,SM,5,4000.0,16000
2022-11-07,15.2,15.55,15.2,15.55,16000,SM,4,4000.0,16000
2022-11-09,16.25,16.25,15.9,16.05,16000,SM,4,4000.0,16000
2022-11-10,15.35,16.0,15.35,16.0,16000,SM,4,4000.0,12000
2022-11-11,16.25,16.95,16.25,16.95,16000,SM,4,4000.0,16000
2022-11-14,16.1,16.25,16.0,16.2,28000,SM,7,4000.0,24000
2022-11-15,16.4,17.0,16.4,16.7,36000,SM,7,5142.86,24000
2022-11-16,16.8,16.8,16.75,16.75,20000,SM,4,5000.0,20000
2022-11-17,16.5,18.0,16.5,17.4,36000,SM,9,4000.0,36000
2022-11-18,17.5,18.0,17.5,18.0,8000,SM,2,4000.0,8000
2022-11-21,17.3,17.65,16.35,17.0,12000,SM,3,4000.0,8000
2022-11-22,15.85,15.85,15.85,15.85,4000,SM,1,4000.0,4000
2022-11-23,16.0,16.0,16.0,16.0,4000,SM,1,4000.0,4000
2022-11-24,16.35,16.8,16.35,16.8,8000,SM,2,4000.0,8000
2022-11-25,17.0,17.0,16.4,16.5,12000,SM,3,4000.0,12000
2022-11-28,16.1,16.1,16.1,16.1,20000,SM,5,4000.0,20000
2022-11-29,16.0,16.6,16.0,16.6,8000,SM,2,4000.0,8000
2022-11-30,17.8,17.8,16.55,16.95,20000,SM,5,4000.0,16000
2022-12-01,16.4,16.85,16.4,16.6,8000,SM,2,4000.0,8000
2022-12-02,16.0,16.4,16.0,16.4,8000,SM,2,4000.0,8000
2022-12-05,16.0,16.5,16.0,16.5,8000,SM,2,4000.0,8000
2022-12-06,16.0,16.0,15.6,15.8,16000,SM,4,4000.0,12000
2022-12-07,15.7,15.7,15.7,15.7,4000,SM,1,4000.0,4000
2022-12-08,15.6,15.6,15.0,15.05,12000,SM,3,4000.0,12000
2022-12-09,15.2,15.4,15.2,15.25,16000,SM,4,4000.0,12000
2022-12-12,16.5,16.5,16.5,16.5,4000,SM,1,4000.0,4000
2022-12-14,16.4,16.4,16.4,16.4,4000,SM,1,4000.0,4000
2022-12-19,15.05,16.0,15.05,15.95,12000,SM,3,4000.0,8000
2022-12-20,14.5,16.2,14.5,16.2,12000,SM,3,4000.0,12000
2022-12-21,14.8,14.8,14.8,14.8,4000,SM,1,4000.0,4000
2022-12-22,16.2,16.2,14.25,15.25,16000,SM,4,4000.0,12000
2022-12-23,13.8,15.7,13.8,15.0,44000,SM,11,4000.0,12000
2022-12-26,15.0,15.05,14.55,15.05,12000,SM,3,4000.0,12000
2022-12-30,15.0,15.0,15.0,15.0,4000,SM,1,4000.0,4000
2023-01-02,15.0,15.0,15.0,15.0,12000,SM,3,4000.0,12000
2023-01-03,15.8,16.6,15.5,16.1,48000,SM,12,4000.0,36000
2023-01-04,16.35,18.55,16.05,18.45,140000,SM,33,4242.42,60000
2023-01-05,18.45,19.9,17.75,19.85,120000,SM,29,4137.93,40000
2023-01-06,19.5,20.95,19.0,19.95,180000,SM,42,4285.71,60000
2023-01-09,20.15,21.4,18.3,18.85,252000,SM,56,4500.0,84000
2023-01-10,18.75,20.3,18.25,19.75,176000,SM,36,4888.89,52000
2023-01-11,19.85,21.7,19.8,20.2,200000,SM,44,4545.45,48000
2023-01-12,20.4,23.5,19.8,23.5,392000,SM,78,5025.64,228000
2023-01-13,25.8,26.55,24.25,25.25,88000,SM,22,4000.0,64000
2023-01-17,25.25,25.3,24.0,24.0,12000,SM,3,4000.0,8000
2023-01-18,22.0,22.5,21.6,22.5,24000,SM,6,4000.0,16000
2023-01-19,23.0,23.0,21.75,22.0,28000,SM,7,4000.0,28000
2023-01-20,21.3,22.2,21.3,22.2,12000,SM,3,4000.0,12000
2023-01-23,22.0,22.0,22.0,22.0,4000,SM,1,4000.0,4000
2023-01-24,22.0,22.0,22.0,22.0,8000,SM,2,4000.0,8000
2023-01-25,20.7,22.7,20.7,22.7,8000,SM,2,4000.0,8000
2023-01-30,23.0,23.0,20.55,21.0,16000,SM,4,4000.0,12000
2023-01-31,20.5,21.0,20.5,20.95,12000,SM,3,4000.0,12000
2023-02-02,21.5,21.5,19.0,20.0,20000,SM,5,4000.0,16000
2023-02-06,18.2,20.5,18.2,20.5,12000,SM,3,4000.0,12000
2023-02-08,18.5,20.5,18.5,20.5,8000,SM,2,4000.0,4000
2023-02-10,20.0,21.45,20.0,21.45,20000,SM,5,4000.0,8000
2023-02-13,21.45,23.3,20.7,21.65,108000,SM,21,5142.86,36000
2023-02-14,22.95,22.95,21.0,21.85,16000,SM,4,4000.0,8000
2023-02-16,21.45,23.7,21.45,22.95,16000,SM,4,4000.0,8000
2023-02-17,22.25,22.25,22.25,22.25,8000,SM,1,8000.0,8000
2023-02-21,22.0,22.0,20.0,20.0,12000,SM,3,4000.0,4000
2023-02-23,18.0,18.0,18.0,18.0,8000,SM,2,4000.0,8000
2023-02-24,18.0,20.95,18.0,20.95,12000,SM,3,4000.0,12000
2023-02-28,20.0,20.0,20.0,20.0,4000,SM,1,4000.0,4000
2023-03-06,18.0,20.9,18.0,20.0,28000,SM,6,4666.67,4000
2023-03-13,17.55,19.95,17.55,19.85,16000,SM,4,4000.0,8000
2023-03-14,18.8,18.8,18.8,18.8,4000,SM,1,4000.0,4000
2023-03-16,18.5,18.95,18.5,18.95,8000,SM,2,4000.0,4000
2023-03-22,16.1,18.7,16.1,18.7,8000,SM,2,4000.0,8000
2023-03-23,16.4,16.4,16.4,16.4,4000,SM,1,4000.0,4000
2023-03-24,19.4,19.4,19.4,19.4,8000,SM,2,4000.0,0
2023-03-27,19.0,19.0,18.0,18.0,12000,SM,3,4000.0,8000
2023-03-28,16.55,18.5,16.0,17.5,24000,SM,6,4000.0,12000
2023-03-29,18.5,18.5,18.5,18.5,8000,SM,2,4000.0,4000
2023-03-31,16.45,17.85,16.45,17.0,16000,SM,4,4000.0,8000
2023-04-06,18.0,18.0,18.0,18.0,4000,SM,1,4000.0,4000
2023-04-17,17.5,18.5,17.3,17.75,16000,SM,4,4000.0,12000
2023-04-20,18.95,18.95,18.95,18.95,4000,SM,1,4000.0,4000
2023-04-28,18.75,19.0,18.75,19.0,8000,SM,2,4000.0,8000
2023-05-02,19.0,19.0,18.0,18.0,8000,SM,2,4000.0,8000
2023-05-04,16.9,18.95,16.9,18.95,8000,SM,2,4000.0,4000
2023-05-08,19.0,19.0,18.5,18.5,12000,SM,3,4000.0,12000
2023-05-09,19.0,19.0,19.0,19.0,8000,SM,2,4000.0,8000
2023-05-10,18.5,19.95,18.5,19.95,8000,SM,2,4000.0,8000
2023-05-12,19.95,19.95,19.95,19.95,4000,SM,1,4000.0,4000
2023-05-15,20.0,20.0,19.0,19.7,32000,SM,7,4571.43,28000
2023-05-16,19.5,20.0,19.1,20.0,16000,SM,4,4000.0,12000
2023-05-17,19.5,19.85,19.0,19.65,24000,SM,6,4000.0,16000
2023-05-19,19.4,20.0,19.0,19.65,24000,SM,6,4000.0,20000
2023-05-22,19.1,19.95,19.0,19.95,16000,SM,4,4000.0,12000
2023-05-23,19.1,19.1,19.0,19.0,24000,SM,5,4800.0,24000
2023-05-24,19.75,20.25,19.0,19.3,36000,SM,9,4000.0,36000
