Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,148.2,151.0,147.15,148.8,45854,EQ,308.0,148.88,4856.0
2026-04-21,152.05,152.05,140.15,148.0,101507,EQ,625.0,162.41,9729.0
2026-04-22,149.95,150.0,146.2,147.45,85917,EQ,538.0,159.7,3415.0
2026-04-23,149.8,149.9,147.05,148.05,199436,EQ,1176.0,169.59,111566.0
2026-04-24,149.6,149.6,147.0,147.75,149059,EQ,596.0,250.1,56050.0
2026-04-27,149.9,149.9,144.05,147.45,110457,EQ,356.0,310.27,12737.0
2026-04-28,148.75,149.0,146.3,147.75,409443,EQ,533.0,768.19,208368.0
2026-04-29,148.9,149.65,145.3,146.65,127867,EQ,360.0,355.19,39158.0
2026-04-30,147.0,150.0,145.6,148.45,135920,EQ,479.0,283.76,6523.0
2026-05-04,149.5,150.0,146.07,149.49,166074,EQ,1004.0,165.41,25907.0
2026-05-05,149.98,149.99,147.25,148.83,114071,EQ,290.0,393.35,1874.0
2026-05-06,150.0,151.89,148.0,150.84,119736,EQ,362.0,330.76,8755.0
2026-05-07,150.84,179.7,150.84,152.93,117882,EQ,380.0,310.22,26291.0
2026-05-08,156.0,157.19,151.01,153.49,146282,EQ,777.0,188.27,12468.0
2026-05-11,153.2,153.2,147.05,149.42,172454,EQ,1187.0,145.29,17816.0
2026-05-12,149.99,149.99,145.0,145.86,164581,EQ,796.0,206.76,31965.0
2026-05-13,146.23,163.0,145.01,148.78,154241,EQ,731.0,211.0,7141.0
2026-05-14,150.0,154.08,149.8,152.15,162825,EQ,829.0,196.41,10708.0
2026-05-15,151.11,157.71,149.9,154.64,299758,EQ,1451.0,206.59,128941.0
2026-05-18,155.46,155.46,149.15,150.91,170521,EQ,1454.0,117.28,16771.0
2026-05-19,152.45,155.0,151.01,153.57,158197,EQ,875.0,180.8,10188.0
2026-05-20,151.5,156.59,151.5,154.97,107212,EQ,536.0,200.02,15274.0
2026-05-21,155.46,162.0,151.69,156.31,130812,EQ,935.0,139.91,11915.0
2026-05-22,157.0,157.99,153.57,156.11,113203,EQ,759.0,149.15,5229.0
2026-05-25,158.0,163.8,154.04,158.39,134300,EQ,532.0,252.44,3958.0
2026-05-26,157.02,162.58,157.02,159.51,137882,EQ,418.0,329.86,7576.0
2026-05-27,162.54,163.08,152.1,159.28,153176,EQ,826.0,185.44,8746.0
2026-05-29,157.99,158.0,151.0,154.7,131842,EQ,700.0,188.35,19740.0
2026-06-01,158.9,158.9,154.02,154.84,105927,EQ,240.0,441.36,9927.0
2026-06-02,155.23,157.51,154.35,155.14,128572,EQ,427.0,301.11,4511.0
2026-06-03,156.88,157.32,155.0,156.28,110174,EQ,245.0,449.69,3674.0
2026-06-04,156.5,156.97,141.2,154.81,91432,EQ,480.0,190.48,8911.0
2026-06-05,156.99,156.99,154.0,154.91,93947,EQ,308.0,305.02,2792.0
2026-06-08,154.76,157.99,152.25,154.48,83425,EQ,331.0,252.04,4473.0
2026-06-09,156.6,157.19,154.0,155.12,114487,EQ,613.0,186.77,5309.0
2026-06-10,156.3,159.97,154.31,157.25,138120,EQ,1643.0,84.07,9798.0
2026-06-11,157.48,158.0,154.55,156.41,117707,EQ,617.0,190.77,1676.0
2026-06-12,158.7,159.51,155.71,156.49,99935,EQ,437.0,228.68,3448.0
2026-06-15,156.77,161.96,155.0,158.27,134624,EQ,725.0,185.69,10540.0
2026-06-16,161.03,161.03,158.05,159.82,114087,EQ,438.0,260.47,2076.0
2026-06-17,160.95,160.95,156.15,157.15,103698,EQ,351.0,295.44,9120.0
2026-06-18,159.0,159.0,154.0,156.66,120369,EQ,622.0,193.52,6228.0
2026-06-19,157.8,157.8,150.15,152.29,111488,EQ,545.0,204.57,4991.0
2026-06-22,155.42,155.9,151.08,153.0,123751,EQ,609.0,203.2,12019.0
2026-06-23,154.51,154.51,145.0,146.04,113178,EQ,826.0,137.02,14007.0
2026-06-24,147.0,149.99,145.33,147.87,126180,EQ,750.0,168.24,7862.0
2026-06-25,149.35,150.34,130.6,144.05,125001,EQ,519.0,240.85,11507.0
2026-06-29,144.9,147.21,144.52,145.2,136455,EQ,758.0,180.02,8469.0
2026-06-30,146.28,150.39,141.5,148.63,150195,EQ,1069.0,140.5,12901.0
2026-07-01,149.5,150.0,142.5,144.88,131356,EQ,1130,116.24,18789
2026-07-02,145.11,149.58,145.11,146.35,147143,EQ,1237,118.95,19146
2026-07-03,147.77,147.99,144.67,147.19,139236,EQ,1114,124.99,21073
2026-07-06,146.96,155.0,145.0,150.61,160102,EQ,1351,118.51,19678
2026-07-07,149.9,154.2,146.0,151.91,202948,EQ,2123,95.59,30064
2026-07-08,152.53,152.53,144.0,146.95,150739,EQ,1273,118.41,30246
2026-07-09,148.0,153.22,147.77,151.76,118499,EQ,453,261.59,18536
2026-07-10,152.88,159.58,148.52,158.44,141513,EQ,1103,128.3,18952
2026-07-13,158.5,160.01,152.41,159.13,69130,EQ,1140,60.64,20576
2026-07-14,157.23,166.0,156.39,162.83,125885,EQ,797,157.95,7621
2026-07-15,163.32,165.0,153.85,159.85,186816,EQ,1313,142.28,58129
2026-07-16,157.88,162.0,154.87,160.8,140419,EQ,1371,102.42,25577
2026-07-17,158.88,162.0,154.46,161.19,168367,EQ,1397,120.52,44710
2026-07-20,164.02,165.25,160.0,161.28,140264,EQ,1318,106.42,5238
2026-07-21,161.69,163.99,160.0,161.8,101227,EQ,746,135.69,4372
2026-07-22,162.75,162.75,159.79,160.35,93582,EQ,498,187.92,13406
2026-07-23,161.95,163.99,160.0,162.62,130982,EQ,588,222.76,11802
2026-07-24,162.64,162.64,158.0,158.12,109378,EQ,469,233.22,21759
2026-07-27,160.3,161.0,155.21,158.97,153272,EQ,1741,88.04,20573
2026-07-28,159.99,162.49,158.0,160.42,138187,EQ,904,152.86,24652
2026-07-29,162.09,162.09,158.71,160.87,173457,EQ,671,258.51,112184
2026-07-30,161.95,165.0,157.64,162.21,101931,EQ,895,113.89,15544
2026-07-31,162.95,165.0,158.72,162.02,79984,EQ,920,86.94,10282
2026-08-03,162.95,162.95,159.0,160.36,101756,EQ,782,130.12,8024
2026-08-04,161.55,161.95,159.0,159.74,93021,EQ,423,219.91,7402
2026-08-05,159.51,160.98,159.0,159.9,77474,EQ,342,226.53,4356
2026-08-06,160.99,161.9,155.9,160.79,102907,EQ,365,281.94,7640
2026-08-07,158.74,165.0,158.74,162.61,84787,EQ,418,202.84,2928
2026-08-10,159.0,179.99,159.0,163.3,252673,EQ,2999,84.25,45087
2026-08-11,174.0,174.0,158.8,164.67,133009,EQ,1899,70.04,47507
2026-08-12,165.88,167.02,159.45,163.82,165060,EQ,1399,117.98,82830
2026-08-13,164.9,164.9,161.01,161.99,333889,EQ,219,1524.61,287836
2026-08-14,162.99,165.59,161.54,163.32,32173,EQ,524,61.4,6815
2026-08-17,162.47,164.69,159.72,161.84,57949,EQ,587,98.72,19656
2026-08-18,162.29,162.29,159.05,159.21,4367,EQ,93,46.96,3743
2026-08-19,159.21,175.0,157.29,165.38,48819,EQ,744,65.62,30594
2026-08-20,168.0,168.0,160.05,162.12,56691,EQ,477,118.85,36443
2026-08-21,160.21,168.0,159.23,165.28,223816,EQ,1644,136.14,66307
