Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-10,395.0,413.75,356.1,403.1,131582855,EQ,991760,132.68,66988978
2025-11-11,401.0,417.9,400.0,415.35,23092558,EQ,230337,100.26,7919398
2025-11-12,415.0,425.25,408.05,421.2,9170713,EQ,105614,86.83,4438998
2025-11-13,421.2,429.0,397.0,400.15,6937199,EQ,84348,82.24,2702438
2025-11-14,399.05,411.0,388.7,409.05,9263600,EQ,141102,65.65,3839804
2025-11-17,409.05,438.85,408.3,431.45,9096098,EQ,121705,74.74,3671770
2025-11-18,431.0,435.85,417.85,424.8,6741963,EQ,76616,88.0,1574464
2025-11-19,421.95,432.7,409.3,428.75,6471692,EQ,75480,85.74,1464890
2025-11-20,429.55,429.9,413.55,416.7,2709834,EQ,51166,52.96,876951
2025-11-21,411.1,420.4,410.55,417.45,1714811,EQ,25008,68.57,597559
2025-11-24,415.1,418.15,410.5,414.5,831033,EQ,13705,60.64,300834
2025-11-25,412.95,426.7,412.95,414.95,2351418,EQ,25616,91.79,947338
2025-11-26,417.9,423.9,403.0,405.0,2012117,EQ,36807,54.67,1005526
2025-11-27,405.5,410.0,401.15,407.7,1556591,EQ,23547,66.11,441164
2025-11-28,415.0,428.9,408.05,410.45,6610736,EQ,73684,89.72,1765445
2025-12-01,428.0,448.8,417.05,430.5,32012544,EQ,372052,86.04,5839245
2025-12-02,430.0,431.6,422.25,425.95,4020017,EQ,43458,92.5,1106901
2025-12-03,424.95,424.95,408.3,410.15,2540482,EQ,36546,69.51,742511
2025-12-04,410.15,411.25,402.0,405.55,2130780,EQ,26919,79.16,642805
2025-12-05,405.0,419.75,402.0,417.2,2442116,EQ,32373,75.44,622418
2025-12-08,412.1,414.3,403.2,407.9,2797687,EQ,44768,62.49,860340
2025-12-09,408.6,417.85,402.0,408.45,2266469,EQ,32344,70.07,777489
2025-12-10,415.0,415.0,403.2,405.25,1395446,EQ,48329,28.87,533511
2025-12-11,405.3,407.75,402.7,405.95,1298605,EQ,17939,72.39,450056
2025-12-12,408.0,408.9,404.5,405.95,779542,EQ,17730,43.97,376068
2025-12-15,407.65,408.5,403.6,405.2,510615,EQ,12963,39.39,194328
2025-12-16,405.2,408.4,402.15,405.1,675444,EQ,26350,25.63,366670
2025-12-17,405.1,407.65,402.0,404.3,704061,EQ,30531,23.06,407650
2025-12-18,404.0,417.2,403.2,410.05,2404530,EQ,42381,56.74,1170669
2025-12-19,418.0,477.7,417.95,467.7,21225921,EQ,242914,87.38,3515573
2025-12-22,467.7,495.0,454.65,467.05,20261368,EQ,269191,75.27,2589370
2025-12-23,463.0,492.8,453.1,465.8,11216224,EQ,173573,64.62,1614122
2025-12-24,471.9,473.8,447.85,452.0,3500079,EQ,57524,60.85,630862
2025-12-26,458.25,470.0,447.0,451.05,4910140,EQ,84237,58.29,657374
2025-12-29,452.1,456.35,444.0,452.35,1937045,EQ,42145,45.96,711423
2025-12-30,452.35,465.75,450.25,460.8,2963184,EQ,46672,63.49,595926
2025-12-31,459.0,461.6,448.0,450.7,1225538,EQ,24842,49.33,506357
2026-01-01,451.95,459.9,436.05,438.5,1351297,EQ,25894,52.19,302686
2026-01-02,440.95,456.8,437.3,452.15,1751640,EQ,34439,50.86,564061
2026-01-05,451.8,452.45,444.0,445.25,743400,EQ,15977,46.53,305149
2026-01-06,446.8,447.85,439.5,445.15,1430476,EQ,24401,58.62,897211
2026-01-07,444.9,458.1,444.25,453.2,1826415,EQ,39067,46.75,749912
2026-01-08,453.2,462.05,441.6,447.4,1632204,EQ,37459,43.57,537983
2026-01-09,447.55,459.75,444.3,457.75,2064326,EQ,29162,70.79,1068476
2026-01-12,451.05,459.95,443.75,455.2,1662145,EQ,31401,52.93,841817
2026-01-13,460.0,460.0,437.95,446.95,924201,EQ,26627,34.71,362314
2026-01-14,445.05,460.55,440.2,457.7,2647444,EQ,37931,69.8,1281835
2026-01-16,456.9,476.3,449.05,451.2,3463237,EQ,57424,60.31,1061402
2026-01-19,451.3,456.0,439.0,443.4,2027940,EQ,34142,59.4,1209309
2026-01-20,445.7,445.7,425.55,429.75,1934434,EQ,42129,45.92,880449
2026-01-21,431.0,441.4,426.35,436.9,1214577,EQ,26007,46.7,433072
2026-01-22,440.1,442.65,434.3,440.65,717748,EQ,13417,53.5,366312
2026-01-23,439.6,442.75,421.0,423.95,921841,EQ,24861,37.08,488877
2026-01-27,423.5,436.0,418.0,434.25,822282,EQ,21188,38.81,249676
2026-01-28,432.2,438.0,429.1,436.65,1506086,EQ,20583,73.17,996251
2026-01-29,435.95,448.0,432.1,446.2,364073,EQ,13338,27.3,131627
2026-01-30,445.0,463.8,441.85,457.35,856869,EQ,18675,45.88,253152
