Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-09,10.0,10.44,9.85,9.94,135305,EQ,700.0,193.29,112118.0
2025-10-10,10.05,10.14,9.9,10.09,176558,EQ,944.0,187.03,152427.0
2025-10-13,10.09,10.9,9.9,10.1,138657,EQ,501.0,276.76,108635.0
2025-10-14,10.36,10.36,9.95,10.03,170757,EQ,630.0,271.04,152371.0
2025-10-15,10.1,10.4,9.98,10.33,249098,EQ,449.0,554.78,202898.0
2025-10-16,10.38,10.67,10.26,10.53,157484,EQ,472.0,333.65,128526.0
2025-10-17,10.6,10.84,10.4,10.47,128679,EQ,532.0,241.88,93355.0
2025-10-20,10.6,10.6,10.31,10.51,103420,EQ,435.0,237.75,73313.0
2025-10-21,10.72,10.72,10.51,10.54,35979,EQ,273.0,131.79,35832.0
2025-10-23,10.8,10.8,10.33,10.49,56703,EQ,401.0,141.4,47961.0
2025-10-24,10.6,10.6,10.47,10.56,75997,EQ,323.0,235.28,56435.0
2025-10-27,10.65,10.88,10.5,10.72,165148,EQ,786.0,210.11,127404.0
2025-10-28,10.72,10.84,10.51,10.59,116576,EQ,543.0,214.69,102420.0
2025-10-29,10.68,10.69,10.55,10.64,76051,EQ,279.0,272.58,47700.0
2025-10-30,10.85,10.85,10.53,10.66,36780,EQ,293.0,125.53,30995.0
2025-10-31,10.71,10.9,10.6,10.64,129019,EQ,368.0,350.6,102087.0
2025-11-03,10.69,10.9,10.63,10.85,131275,EQ,472.0,278.12,98499.0
2025-11-04,11.12,11.12,10.65,10.8,150275,EQ,533.0,281.94,143953.0
2025-11-06,11.07,11.07,10.6,10.61,93151,EQ,565.0,164.87,55859.0
2025-11-07,10.71,10.72,10.41,10.64,97579,EQ,316.0,308.79,28925.0
2025-11-10,10.65,10.8,10.51,10.6,81219,EQ,540.0,150.41,63353.0
2025-11-11,10.6,10.62,10.46,10.57,63858,EQ,388.0,164.58,47964.0
2025-11-12,10.62,11.3,10.51,10.58,235752,EQ,408.0,577.82,186516.0
2025-11-13,10.6,11.25,10.46,10.7,120017,EQ,489.0,245.43,59333.0
2025-11-14,10.68,10.7,10.48,10.53,285057,EQ,1002.0,284.49,158423.0
2025-11-17,10.67,10.67,10.53,10.61,52151,EQ,335.0,155.67,41314.0
2025-11-18,10.73,10.73,10.4,10.42,184150,EQ,561.0,328.25,112380.0
2025-11-19,10.5,10.5,10.3,10.38,73210,EQ,414.0,176.84,50279.0
2025-11-20,10.48,10.49,10.3,10.37,61880,EQ,383.0,161.57,55248.0
2025-11-21,10.39,10.4,10.13,10.16,138897,EQ,1058.0,131.28,130933.0
2025-11-24,10.16,10.27,9.95,9.97,163187,EQ,665.0,245.39,132362.0
2025-11-25,10.14,10.14,9.98,10.11,56021,EQ,309.0,181.3,42658.0
2025-11-26,10.06,10.24,10.05,10.2,62342,EQ,281.0,221.86,38548.0
2025-11-27,10.2,10.35,10.11,10.11,237436,EQ,338.0,702.47,41845.0
2025-11-28,10.14,10.3,10.09,10.17,57330,EQ,277.0,206.97,40705.0
2025-12-01,10.4,10.4,10.0,10.04,327435,EQ,895.0,365.85,305500.0
2025-12-02,10.17,10.17,9.98,10.01,87386,EQ,493.0,177.25,62572.0
2025-12-03,10.03,10.03,9.88,9.94,97795,EQ,497.0,196.77,87491.0
2025-12-04,9.99,10.24,9.88,9.99,71839,EQ,367.0,195.75,62783.0
2025-12-05,10.17,10.17,9.87,10.0,76963,EQ,379.0,203.07,46843.0
2025-12-08,10.16,10.17,9.62,9.68,553763,EQ,1289.0,429.61,502123.0
2025-12-09,9.73,9.82,9.56,9.73,78799,EQ,414.0,190.34,45356.0
2025-12-10,9.88,9.89,9.68,9.72,39932,EQ,367.0,108.81,23906.0
