Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-28,730.0,795.0,725.0,774.15,39753452,EQ,810154.0,49.07,10036954.0
2025-12-01,782.0,786.9,715.75,728.2,9937457,EQ,222323.0,44.7,1986248.0
2025-12-02,725.0,744.2,708.05,723.3,4370587,EQ,95248.0,45.89,1113958.0
2025-12-03,728.0,732.0,670.5,681.15,3412104,EQ,75068.0,45.45,665965.0
2025-12-04,679.0,714.7,658.2,669.2,5777481,EQ,120612.0,47.9,503405.0
2025-12-05,671.0,675.9,659.1,663.45,1060045,EQ,20357.0,52.07,226378.0
2025-12-08,664.95,667.7,641.15,651.0,1055866,EQ,26727.0,39.51,270712.0
2025-12-09,650.85,678.85,631.45,670.1,1341760,EQ,25370.0,52.89,213457.0
2025-12-10,670.0,688.0,665.75,676.5,626216,EQ,14391.0,43.51,148579.0
2025-12-11,677.0,684.75,662.0,679.1,367599,EQ,10704.0,34.34,119461.0
2025-12-12,680.0,705.5,675.1,698.75,398302,EQ,12418.0,32.07,158530.0
2025-12-15,695.0,701.25,665.0,669.65,250614,EQ,10038.0,24.97,73470.0
2025-12-16,669.1,672.0,655.0,664.65,210462,EQ,7830.0,26.88,50784.0
2025-12-17,667.0,668.7,655.55,658.9,247586,EQ,8156.0,30.36,83495.0
2025-12-18,658.95,685.0,645.0,674.15,288240,EQ,11463.0,25.15,68545.0
2025-12-19,680.0,695.0,665.5,687.2,417332,EQ,14500.0,28.78,144287.0
2025-12-22,662.0,673.7,645.35,664.4,459879,EQ,15913.0,28.9,100875.0
2025-12-23,660.6,667.8,643.0,648.3,217277,EQ,9427.0,23.05,68998.0
2025-12-24,649.9,649.9,620.0,628.75,183173,EQ,8438.0,21.71,64060.0
2025-12-26,632.0,654.45,620.0,622.5,271195,EQ,11963.0,22.67,73708.0
2025-12-29,634.95,636.1,615.05,621.4,375356,EQ,12426.0,30.21,200493.0
2025-12-30,621.4,626.1,601.1,606.65,149244,EQ,10007.0,14.91,57519.0
2025-12-31,611.5,611.8,601.05,602.75,141251,EQ,5822.0,24.26,52001.0
2026-01-01,602.75,611.0,596.65,598.55,75378,EQ,3068.0,24.57,28250.0
2026-01-02,598.0,608.4,587.0,596.8,227116,EQ,8274.0,27.45,110319.0
2026-01-05,596.9,600.1,585.75,597.5,307712,EQ,5615.0,54.8,223278.0
2026-01-06,597.5,597.5,586.1,590.4,176213,EQ,6435.0,27.38,88982.0
2026-01-07,585.0,593.45,585.0,588.35,131037,EQ,4618.0,28.38,68595.0
2026-01-08,590.1,590.1,562.0,568.6,95670,EQ,4506.0,21.23,46804.0
2026-01-09,565.0,570.9,543.9,546.75,217825,EQ,10376.0,20.99,85398.0
2026-01-12,547.6,601.4,547.05,601.4,736895,EQ,18635.0,39.54,210469.0
2026-01-13,623.95,645.0,593.15,621.4,1985288,EQ,56748.0,34.98,226100.0
2026-01-14,611.0,616.0,598.3,611.3,223460,EQ,8562.0,26.1,55192.0
2026-01-16,603.0,609.75,580.0,586.45,170996,EQ,6919.0,24.71,63828.0
2026-01-19,575.3,578.9,560.0,562.55,110077,EQ,5329.0,20.66,41117.0
2026-01-20,562.45,562.45,527.15,530.0,181517,EQ,8071.0,22.49,69260.0
2026-01-21,530.0,546.7,524.05,538.45,190051,EQ,7216.0,26.34,36441.0
2026-01-22,548.0,548.0,530.0,541.6,93545,EQ,5379.0,17.39,21917.0
2026-01-23,541.6,572.95,541.6,560.9,221224,EQ,8851.0,24.99,67766.0
2026-01-27,560.9,561.4,546.55,558.15,46486,EQ,3348.0,13.88,14405.0
2026-01-28,558.3,590.0,556.25,587.05,119860,EQ,4340.0,27.62,44848.0
2026-01-29,587.05,612.0,576.05,608.3,168197,EQ,7100.0,23.69,49745.0
2026-01-30,606.0,621.15,591.1,609.15,92325,EQ,5040.0,18.32,32730.0
2026-02-01,607.5,615.45,590.0,593.9,50291,EQ,2717.0,18.51,24742.0
2026-02-02,592.15,602.0,583.0,595.55,46571,EQ,3074.0,15.15,23834.0
2026-02-03,615.0,621.0,602.8,609.5,65710,EQ,4567.0,14.39,40811.0
2026-02-04,609.0,610.0,596.0,598.35,43625,EQ,2095,20.82,21859
2026-02-05,607.5,624.85,599.65,618.3,68738,EQ,4068,16.9,32861
2026-02-06,630.75,650.0,621.35,639.1,198705,EQ,7520,26.42,71604
2026-02-09,659.0,666.9,638.0,659.95,228607,EQ,9170,24.93,108385
2026-02-10,661.9,674.0,645.0,662.35,52939,EQ,2421,21.87,27885
2026-02-11,663.25,665.65,651.0,661.05,34677,EQ,2166,16.01,16723
2026-02-12,655.0,679.0,652.6,672.2,76059,EQ,4402,17.28,34333
2026-02-13,664.95,674.5,653.1,668.4,47925,EQ,5989,8.0,19464
2026-02-16,655.05,666.05,655.05,659.55,25512,EQ,1590,16.05,14477
2026-02-17,659.0,674.0,655.6,666.4,50659,EQ,2514,20.15,32250
2026-02-18,662.6,685.0,662.6,675.6,76964,EQ,3458,22.26,44120
2026-02-19,680.0,688.0,665.05,671.0,88984,EQ,6087,14.62,44705
2026-02-20,661.0,670.55,647.95,664.85,52458,EQ,2296,22.85,27158
2026-02-23,665.0,665.6,625.0,631.6,79985,EQ,4973,16.08,38426
2026-02-24,613.25,662.75,605.5,644.2,279133,EQ,9321,29.95,146485
2026-02-25,640.1,653.95,635.55,648.5,45577,EQ,2527,18.04,18425
2026-02-26,645.0,678.0,645.0,657.25,94153,EQ,4537,20.75,26172
2026-02-27,650.0,661.25,630.0,638.95,72759,EQ,3522,20.66,40596
2026-03-02,607.4,630.0,582.6,596.5,155407,EQ,6398,24.29,81200
2026-03-04,595.4,595.4,579.05,584.0,66216,EQ,2983,22.2,38892
2026-03-05,581.0,589.9,580.05,584.65,63283,EQ,3903,16.21,37453
2026-03-06,582.3,596.5,581.0,583.25,18364,EQ,1428,12.86,8101
