Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2019-04-22,99.0,103.95,94.05,103.95,1066838,,,
2019-04-23,109.1,109.1,105.55,109.1,746528,,,
2019-04-24,107.0,114.55,107.0,114.55,233998,,,
2019-04-25,116.0,118.3,110.0,111.15,941577,,,
2019-04-26,106.1,111.0,106.1,108.65,1886188,,,
2019-04-30,106.2,108.5,103.25,103.25,273582,,,
2019-05-02,103.0,103.0,98.1,100.2,1542833,,,
2019-05-03,102.5,102.5,96.25,100.65,718227,,,
2019-05-06,96.8,102.8,96.8,98.3,474708,,,
2019-05-07,98.3,99.7,94.0,96.95,468706,,,
2019-05-08,94.1,97.2,91.1,96.0,897791,,,
2019-05-09,95.0,99.85,93.55,97.05,711118,,,
2019-05-10,96.15,100.55,96.0,99.7,215851,,,
2019-05-13,97.15,99.4,97.0,97.7,115680,,,
2019-05-14,95.15,98.5,91.8,97.9,545794,,,
2019-05-15,96.5,99.45,96.0,97.85,191792,,,
2019-05-16,97.4,98.7,96.05,97.3,704340,,,
2019-05-17,96.5,105.0,95.7,97.65,424897,,,
2019-05-20,98.2,100.7,97.2,98.7,150333,,,
2019-05-21,98.0,99.95,97.5,98.55,567578,,,
2019-05-22,98.05,103.0,97.55,101.15,176780,,,
2019-05-23,102.9,103.3,99.55,99.95,69621,,,
2019-05-24,101.0,101.0,92.3,97.6,803107,,,
2019-05-27,98.0,100.0,94.4,99.35,99551,,,
2019-05-28,103.0,103.0,93.8,96.95,623443,,,
2019-05-29,97.75,97.75,94.0,95.95,265737,,,
2019-05-30,95.5,97.95,95.1,97.2,264681,,,
2019-05-31,96.35,99.0,94.1,97.05,339424,,,
2019-06-03,95.1,97.5,94.05,96.25,481984,,,
2019-06-04,96.0,96.0,94.7,95.05,201750,,,
2019-06-06,94.5,96.0,91.85,95.45,217297,,,
2019-06-07,94.05,95.25,92.7,95.0,231074,,,
2019-06-10,94.2,95.1,93.1,94.25,243762,,,
2019-06-11,93.5,99.0,92.7,98.3,1273790,,,
2019-06-12,99.75,99.75,96.4,98.05,3216731,,,
2019-06-13,97.15,100.5,96.6,99.15,217923,,,
2019-06-14,100.25,100.25,96.5,96.85,242232,,,
2019-06-17,95.75,98.25,95.7,97.05,173839,,,
2019-06-18,97.15,99.0,96.15,97.9,249303,,,
2019-06-19,97.05,98.9,92.05,93.95,410885,,,
2019-06-20,94.05,99.5,93.05,98.2,116647,,,
2019-06-21,97.0,98.9,94.55,96.45,221737,,,
2019-06-24,96.0,99.7,94.7,98.6,297292,,,
2019-06-25,96.7,99.9,96.7,99.2,199458,,,
2019-06-26,97.15,99.25,95.5,96.6,262917,,,
2019-06-27,95.85,97.05,94.1,95.75,155954,,,
2019-06-28,94.2,98.0,94.2,96.75,260974,,,
2019-07-01,95.0,98.9,95.0,97.95,599158,,,
2019-07-02,96.5,99.7,96.5,98.8,857280,,,
2019-07-03,98.1,99.6,97.3,98.05,615545,,,
2019-07-04,98.0,99.4,95.8,98.8,120786,,,
2019-07-05,97.3,99.0,97.05,98.2,109202,,,
2019-07-08,97.05,98.2,96.05,97.05,288364,,,
2019-07-09,96.8,98.25,95.25,96.4,234001,,,
2019-07-10,95.6,96.2,88.2,92.7,822987,,,
2019-07-11,92.1,92.7,87.5,88.2,123829,,,
2019-07-12,88.2,91.95,86.25,89.0,1069894,,,
2019-07-15,86.7,89.65,86.7,88.9,437879,,,
2019-07-16,88.05,90.4,86.9,89.05,879114,,,
2019-07-17,88.15,88.95,85.2,88.05,792167,,,
2019-07-18,87.05,88.15,85.0,86.2,114457,,,
2019-07-19,86.2,87.5,82.5,83.65,992961,,,
2019-07-22,83.85,84.05,79.05,80.85,1800980,,,
2019-07-23,80.05,86.35,80.0,85.0,668690,,,
2019-07-24,83.25,87.9,83.25,85.05,317393,,,
2019-07-25,85.0,85.4,80.0,81.55,604317,,,
2019-07-26,81.55,82.0,78.45,80.25,661115,,,
2019-07-29,81.95,83.8,80.3,82.3,892359,,,
2019-07-30,82.3,84.7,82.15,83.25,1448935,,,
2019-07-31,81.7,84.25,69.8,79.45,1073337,,,
2019-08-01,80.45,82.5,76.1,79.7,623114,,,
2019-08-02,81.4,82.9,77.8,80.65,333065,,,
2019-08-05,79.05,84.8,77.0,82.55,344865,,,
2019-08-06,80.15,83.95,80.0,83.05,111098,,,
2019-08-07,83.9,83.9,81.75,83.2,156108,,,
2019-08-08,82.5,84.5,80.55,82.7,286702,,,
2019-08-09,84.4,84.9,80.4,83.1,437550,,,
2019-08-13,83.1,84.0,81.5,83.35,88507,,,
2019-08-14,82.2,86.3,81.6,84.3,197734,,,
2019-08-16,85.0,91.0,82.0,85.25,881242,,,
2019-08-19,88.0,89.9,86.0,88.6,63210,,,
2019-08-20,87.0,89.9,86.3,89.1,46707,,,
2019-08-21,88.0,93.5,85.5,90.8,190108,,,
2019-08-22,92.15,94.9,87.05,91.85,93258,,,
2019-08-23,91.85,92.05,87.95,91.0,67077,,,
2019-08-26,90.0,91.85,90.0,91.1,141914,,,
2019-08-27,90.7,99.0,90.0,95.05,173715,,,
2019-08-28,95.4,98.4,92.0,93.8,251911,,,
2019-08-29,93.5,98.2,92.5,96.1,89660,,,
2019-08-30,95.05,99.8,94.5,97.15,391507,,,
2019-09-03,98.0,99.0,96.1,98.05,110229,,,
2019-09-04,97.75,101.6,95.1,96.8,341835,,,
2019-09-05,96.75,101.95,96.1,100.8,187801,,,
2019-09-06,100.8,105.0,99.0,102.25,150869,,,
2019-09-09,104.25,104.85,101.0,102.4,116311,,,
2019-09-11,102.4,103.45,98.2,99.25,139717,,,
2019-09-12,98.1,99.95,96.0,97.45,214970,,,
2019-09-13,98.15,100.8,97.0,97.7,82271,,,
2019-09-16,99.05,100.0,96.8,98.65,192271,,,
2019-09-17,100.65,100.65,95.25,96.1,402815,,,
2019-09-18,96.0,97.25,93.1,95.25,459990,,,
2019-09-19,94.15,95.6,92.6,94.95,449283,,,
2019-09-20,94.85,96.3,87.15,91.7,693308,,,
2019-09-23,92.0,96.0,91.1,95.15,74186,,,
2019-09-24,91.5,97.2,91.5,94.8,306180,,,
2019-09-25,94.6,95.5,93.25,94.65,264686,,,
2019-09-26,95.0,101.9,92.8,95.35,164700,,,
2019-09-27,94.4,97.5,94.4,95.65,368311,,,
2019-09-30,95.1,97.0,94.6,95.3,87841,4071,21.58,108223
2019-10-01,96.35,96.35,92.45,94.85,3242649,7552,429.38,3078123
2019-10-03,94.7,97.7,93.15,96.6,227018,15650,14.51,146340
2019-10-04,98.9,98.9,88.3,93.8,51450,2144,24.0,36965
2019-10-07,93.25,95.8,92.9,95.35,65780,1350,48.73,45600
2019-10-09,95.35,97.5,93.3,95.15,233246,6520,35.77,189891
2019-10-10,95.3,98.5,94.95,97.15,42051,2196,19.15,27089
2019-10-11,97.35,102.6,96.5,101.45,227031,3578,63.45,171103
2019-10-14,103.0,105.3,97.35,98.9,133995,2203,60.82,76189
2019-10-15,98.8,99.6,97.0,97.85,113848,1180,96.48,85932
2019-10-16,97.0,98.0,96.5,97.0,40029,1549,25.84,30712
2019-10-17,96.15,99.7,95.5,97.1,173562,2441,71.1,142506
2019-10-18,97.45,98.55,96.0,97.1,247224,1938,127.57,220881
2019-10-22,96.0,99.9,95.3,98.7,182847,2669,68.51,154010
2019-10-23,97.1,98.75,95.6,97.5,236159,5093,46.37,195249
2019-10-24,99.85,104.7,97.25,99.85,610490,4287,142.4,437595
2019-10-25,99.95,101.35,95.5,96.45,369725,5037,73.4,72270
2019-10-29,96.2,98.15,94.0,94.8,129887,4915,26.43,91277
2019-10-30,95.0,97.0,92.5,93.15,362550,14433,25.12,299701
2019-10-31,93.65,94.05,87.45,91.1,835887,4489,186.21,757090
2019-11-01,91.0,96.5,89.5,91.55,238064,2076,114.67,195997
2019-11-04,94.9,94.9,88.25,91.85,181753,3252,55.89,108880
2019-11-05,92.4,92.8,88.55,92.1,140267,5126,27.36,89672
2019-11-06,92.1,92.3,89.15,89.8,135661,2268,59.82,86205
2019-11-07,91.25,91.25,84.8,90.0,564261,5859,96.31,430163
2019-11-08,90.0,90.6,88.3,90.0,187473,1928,97.24,149950
2019-11-11,90.05,91.6,89.15,90.45,175102,2209,79.27,135975
2019-11-13,91.0,93.0,87.1,91.25,248986,8750,28.46,155060
2019-11-14,92.0,94.5,91.0,92.95,232508,10481,22.18,159195
2019-11-15,92.15,95.3,90.3,94.3,112074,3275,34.22,77476
2019-11-18,93.5,98.1,92.65,96.7,1049046,21242,49.39,947984
2019-11-19,94.7,98.85,94.7,97.7,519976,4107,126.61,435105
2019-11-20,98.0,98.95,94.6,97.8,312276,4201,74.33,229320
2019-11-21,97.05,100.0,96.0,98.7,370101,8527,43.4,218233
2019-11-22,100.35,100.35,95.0,98.7,500529,15766,31.75,381452
2019-11-25,98.7,98.7,95.0,95.9,262127,7178,36.52,183872
2019-11-26,95.45,96.9,94.1,96.0,189588,6750,28.09,134233
2019-11-27,95.0,95.75,92.95,94.05,563816,5216,108.09,492301
2019-11-28,93.75,97.3,92.4,94.95,195196,1498,130.3,156300
2019-11-29,96.4,98.35,92.5,97.9,360778,5164,69.86,264398
2019-12-02,96.35,98.8,96.0,96.9,200030,10763,18.58,127320
2019-12-03,96.7,97.0,91.0,91.5,270794,3206,84.46,184276
2019-12-04,91.5,93.25,91.05,92.45,192196,4270,45.01,123503
2019-12-05,92.1,92.85,88.3,89.2,240345,10375,23.17,144015
2019-12-06,89.05,91.0,86.55,89.0,362159,4222,85.78,276023
2019-12-09,87.5,89.25,86.85,87.2,414075,15483,26.74,296432
2019-12-10,87.0,89.2,85.1,87.3,146476,4229,34.64,80384
2019-12-11,87.35,88.9,85.25,87.2,151239,8136,18.59,90208
2019-12-12,87.35,88.4,85.3,86.7,1872842,4521,414.25,1407669
2019-12-13,86.0,89.45,86.0,88.0,773887,4823,160.46,697996
2019-12-16,87.35,92.7,87.1,91.95,189942,3303,57.51,123674
2019-12-17,89.1,92.5,89.1,92.1,414377,7516,55.13,358565
2019-12-18,93.1,93.15,89.2,91.75,168688,1873,90.06,142084
2019-12-19,91.65,91.65,87.6,88.1,85623,1748,48.98,44685
2019-12-20,88.1,89.5,85.6,86.6,173564,3880,44.73,131925
2019-12-23,85.7,90.9,85.7,90.45,141181,3409,41.41,95469
2019-12-24,90.45,90.7,87.5,90.05,89657,2704,33.16,53673
2019-12-26,90.95,90.95,88.5,88.85,59018,1332,44.31,34802
2019-12-27,89.25,95.45,88.55,93.75,224224,5877,38.15,170351
2019-12-30,94.95,95.45,92.85,94.0,204227,2631,77.62,174974
2019-12-31,96.0,96.0,92.1,93.7,149855,8229,18.21,87020
2020-01-01,92.75,93.7,91.05,91.45,83742,1171,71.51,60396
2020-01-02,93.0,93.0,89.0,89.35,379118,1405,269.83,347711
2020-01-03,89.45,93.4,89.45,91.25,85097,1778,47.86,46852
2020-01-06,91.1,92.85,86.1,87.55,145949,4286,34.05,90401
2020-01-07,87.3,89.2,85.55,86.6,220910,3542,62.37,158295
2020-01-08,85.9,87.75,85.05,86.05,67647,953,70.98,35815
2020-01-09,86.6,88.45,86.6,87.3,86291,2073,41.63,53441
2020-01-10,88.45,89.2,87.0,87.35,80918,1565,51.7,52943
2020-01-13,87.55,93.75,87.55,93.1,211648,2584,81.91,151332
2020-01-14,93.0,100.5,92.15,97.95,998988,9227,108.27,669803
2020-01-15,98.8,105.15,98.25,102.35,848535,7087,119.73,479762
2020-01-16,103.5,112.5,102.85,103.55,896671,14651,61.2,589840
2020-01-17,104.8,106.9,103.1,104.4,468742,4696,99.82,361096
2020-01-20,103.55,105.35,102.0,102.35,169817,3507,48.42,125012
2020-01-21,102.45,103.95,97.9,98.35,129903,2033,63.9,90775
2020-01-22,97.25,100.95,95.5,98.0,310593,5188,59.87,262577
2020-01-23,101.2,101.2,96.5,98.3,259241,3093,83.82,209310
2020-01-24,99.45,102.9,96.75,101.35,281871,5069,55.61,219977
2020-01-27,101.0,103.5,98.65,101.2,338075,1891,178.78,286258
2020-01-28,102.0,103.55,98.45,98.9,82063,1447,56.71,56973
2020-01-29,100.0,103.25,97.0,98.85,142643,2683,53.17,97798
2020-01-30,102.55,103.4,98.25,99.7,666845,9401,70.93,195493
2020-01-31,101.9,102.0,98.1,99.45,298722,4642,64.35,196348
2020-02-03,95.3,101.0,95.3,98.45,195670,2663,73.48,110140
2020-02-04,97.2,101.0,95.5,97.9,223180,4957,45.02,155421
2020-02-05,99.95,99.95,96.0,96.9,156877,5474,28.66,93093
2020-02-06,97.05,99.45,94.25,95.35,105172,1801,58.4,55877
2020-02-07,96.45,97.5,94.2,96.1,260963,2853,91.47,201466
2020-02-10,96.4,99.65,93.8,96.9,127819,2831,45.15,75465
2020-02-11,98.9,99.9,94.1,95.15,129514,2238,57.87,80254
2020-02-12,95.0,96.4,90.25,91.05,153058,2164,70.73,107958
2020-02-13,91.15,92.15,88.15,88.95,88598,2506,35.35,53752
2020-02-14,88.95,91.0,87.95,89.8,157871,2571,61.4,98027
2020-02-17,91.5,93.5,85.5,87.2,195849,2387,82.05,150557
2020-02-18,87.2,88.5,84.55,85.45,124666,1947,64.03,81259
2020-02-19,86.0,90.85,85.45,89.65,208775,5399,38.67,131639
2020-02-20,89.65,90.5,85.55,87.15,266221,1881,141.53,176805
2020-02-24,86.15,89.75,85.55,87.55,222363,2375,93.63,187687
2020-02-25,86.6,88.9,85.75,88.35,304923,2223,137.17,242693
2020-02-26,87.75,89.0,86.15,86.65,169304,1772,95.54,127166
2020-02-27,88.8,88.8,83.7,85.1,120320,1425,84.44,76953
2020-02-28,82.0,84.9,80.5,81.75,88348,1763,50.11,53405
2020-03-02,81.0,89.1,76.15,81.75,169068,3459,48.88,103291
