Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-21,805.0,888.0,805.0,839.75,550,EQ,11.0,50.0,300.0
2026-04-22,859.5,894.98,850.0,855.2,2850,EQ,41.0,69.51,2050.0
2026-04-23,873.99,873.99,840.0,847.16,669,EQ,80.0,8.36,501.0
2026-04-24,845.0,846.0,812.0,819.24,366,EQ,50.0,7.32,261.0
2026-04-27,819.0,838.99,819.0,820.16,438,EQ,56.0,7.82,319.0
2026-04-28,819.0,837.99,804.0,807.8,769,EQ,61.0,12.61,632.0
2026-04-29,825.05,849.0,819.6,843.95,1251,EQ,96.0,13.03,1179.0
2026-04-30,820.3,845.0,795.0,804.59,2110,EQ,167.0,12.63,1428.0
2026-05-04,804.05,819.7,778.0,782.15,1358,EQ,166.0,8.18,1076.0
2026-05-05,795.0,817.0,770.0,806.15,1426,EQ,148.0,9.64,912.0
2026-05-06,809.9,810.0,786.0,797.55,1322,EQ,106.0,12.47,1020.0
2026-05-07,809.0,819.0,800.0,811.05,734,EQ,54.0,13.59,493.0
2026-05-08,815.1,817.0,774.65,796.9,614,EQ,58.0,10.59,452.0
2026-05-11,796.0,850.0,792.05,815.15,2746,EQ,176.0,15.6,980.0
2026-05-12,819.2,855.0,755.0,759.05,6788,EQ,649.0,10.46,3294.0
2026-05-13,785.0,785.0,717.2,723.65,3888,EQ,422.0,9.21,2936.0
2026-05-14,743.0,759.0,716.05,730.05,5092,EQ,393.0,12.96,3791.0
2026-05-15,753.0,753.0,715.0,722.1,1531,EQ,139.0,11.01,948.0
2026-05-18,722.1,739.8,710.0,716.25,683,EQ,84.0,8.13,386.0
2026-05-19,710.1,730.0,700.0,709.4,1148,EQ,95.0,12.08,710.0
2026-05-20,709.4,726.9,705.4,712.15,625,EQ,54.0,11.57,517.0
2026-05-21,714.0,714.0,692.25,701.55,1067,EQ,135.0,7.9,564.0
2026-05-22,699.45,706.95,699.45,704.55,535,EQ,49.0,10.92,333.0
2026-05-25,720.0,720.0,701.0,707.95,477,EQ,59.0,8.08,268.0
2026-05-26,708.0,725.9,702.0,710.05,5322,EQ,157.0,33.9,4016.0
2026-05-27,710.0,724.0,678.1,703.0,1568,EQ,84.0,18.67,1103.0
2026-05-29,700.05,708.7,670.0,685.45,2912,EQ,273.0,10.67,1742.0
2026-06-01,688.1,697.75,651.25,665.2,4777,EQ,343.0,13.93,2571.0
2026-06-02,666.0,680.0,626.6,648.95,4119,EQ,451.0,9.13,2493.0
2026-06-03,649.0,671.0,620.65,663.85,3905,EQ,432.0,9.04,2604.0
2026-06-04,662.7,670.0,631.2,645.35,6438,EQ,315.0,20.44,4667.0
2026-06-05,646.1,659.6,638.0,645.95,6452,EQ,233.0,27.69,5831.0
2026-06-08,645.0,656.9,639.75,647.15,2172,EQ,115.0,18.89,1855.0
2026-06-09,648.7,664.5,648.05,657.35,1063,EQ,79.0,13.46,854.0
2026-06-10,657.7,669.95,651.25,661.45,789,EQ,114.0,6.92,464.0
2026-06-11,660.0,669.65,645.8,646.5,2176,EQ,153.0,14.22,1709.0
