Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-06-15,23458,459,51.11,14889,
2022-06-16,8528,80,106.6,4690,
2022-06-17,8279,61,135.72,6556,
2022-06-20,14971,105,142.58,12424,
2022-06-21,3661,89,41.13,1487,
2022-06-22,42166,159,265.19,37897,
2022-06-23,619,12,51.58,50,
2022-06-24,2293,43,53.33,775,
2022-06-27,7577,123,61.6,3944,
2022-06-28,3298,104,31.71,1421,
2022-06-29,2967,45,65.93,922,
2022-06-30,5449,97,56.18,3224,
2022-07-01,6360,138,46.09,3935,
2022-07-04,14866,143,103.96,12636,
2022-07-05,1461,40,36.52,32,
2022-07-06,27695,136,203.64,23108,
2022-07-07,17496,98,178.53,15191,
2022-07-08,6332,147,43.07,2673,
2022-07-11,4865,91,53.46,2895,
2022-07-12,2508,71,35.32,535,
2022-07-13,5338,69,77.36,3534,
2022-07-14,1651,50,33.02,98,
2022-07-15,7029,63,111.57,5199,
2022-07-18,7292,40,182.3,4980,
2022-07-19,2897,62,46.73,1003,
2022-07-20,12830,187,68.61,6720,
2022-07-21,8637,99,87.24,5837,
2022-07-22,5674,92,61.67,2368,
2022-07-25,8502,98,86.76,5246,
2022-07-26,4123,57,72.33,2676,
2022-07-27,3968,68,58.35,1060,
2022-07-28,7293,202,36.1,3460,
2022-07-29,7992,231,34.6,2887,
2022-08-01,6882,214,32.16,3513,
2022-08-02,6065,135,44.93,2545,
2022-08-03,8837,108,81.82,5851,
2022-08-04,4272,56,76.29,2370,
2022-08-05,21747,135,161.09,17187,
2022-08-10,53739,861,62.41,34855,
2022-08-11,16056,365,43.99,8990,
2022-08-12,8460,139,60.86,5880,
2022-08-16,7735,128,60.43,4610,
2022-08-17,7454,140,53.24,4579,
2022-08-18,3563,97,36.73,1469,
2022-08-19,26292,169,155.57,21372,
2022-08-22,3826,59,64.85,2715,
2022-08-23,10618,129,82.31,6931,
2022-08-24,11354,344,33.01,7210,
2022-08-25,7614,212,35.92,3681,
2022-08-26,17907,323,55.44,10582,
2022-08-29,12624,169,74.7,9699,
2022-08-30,12606,367,34.35,7840,
2022-09-01,6257,84,74.49,4168,
