Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-05-26,12117,310,39.09,8689,
2022-05-27,38921,474,82.11,19144,
2022-05-30,11155,246,45.35,7934,
2022-05-31,1113,26,42.81,1113,
2022-06-01,935,39,23.97,935,
2022-06-02,2043,33,61.91,2043,
2022-06-03,992,44,22.55,992,
2022-06-06,13293,396,33.57,8011,
2022-06-07,3752,112,33.5,1818,
2022-06-08,2026,117,17.32,1026,
2022-06-09,1414,64,22.09,456,
2022-06-10,1352,126,10.73,923,
2022-06-13,9465,425,22.27,4510,
2022-06-14,5194,288,18.03,2144,
2022-06-15,2165,128,16.91,861,
2022-06-16,2395,142,16.87,844,
2022-06-17,2759,103,26.79,1912,
2022-06-20,2276,94,24.21,1508,
2022-06-21,2050,89,23.03,1248,
2022-06-22,4959,93,53.32,2093,
2022-06-23,1960,69,28.41,640,
2022-06-24,1676,73,22.96,888,
2022-06-27,2206,93,23.72,771,
2022-06-28,820,36,22.78,179,
2022-06-29,980,68,14.41,349,
2022-06-30,2242,92,24.37,432,
2022-07-01,4250,135,31.48,2990,
2022-07-04,1322,68,19.44,564,
2022-07-05,1290,81,15.93,345,
2022-07-06,1627,77,21.13,616,
2022-07-07,1854,70,26.49,647,
2022-07-08,1723,97,17.76,777,
2022-07-11,1853,130,14.25,531,
2022-07-12,1629,74,22.01,617,
2022-07-13,1455,69,21.09,325,
2022-07-14,2679,156,17.17,1113,
2022-07-15,1299,86,15.1,348,
2022-07-18,2945,169,17.43,1252,
2022-07-19,1853,105,17.65,755,
2022-07-20,1845,105,17.57,751,
2022-07-21,2325,123,18.9,1161,
2022-07-22,1732,58,29.86,889,
2022-07-25,1211,51,23.75,442,
2022-07-26,1913,120,15.94,419,
2022-07-27,1490,100,14.9,194,
2022-07-28,4830,100,48.3,3389,
2022-07-29,1155,65,17.77,318,
2022-08-01,6865,378,18.16,1935,
2022-08-02,4650,192,24.22,814,
2022-08-03,3020,258,11.71,401,
2022-08-04,2112,174,12.14,443,
2022-08-05,4700,394,11.93,917,
2022-08-10,7085,189,37.49,4546,
2022-08-11,12162,473,25.71,6981,
2022-08-12,2203,188,11.72,670,
2022-08-16,10552,543,19.43,5066,
2022-08-17,1888,118,16.0,1098,
2022-08-18,7792,506,15.4,1649,
2022-08-19,2626,169,15.54,821,
2022-08-22,1345,78,17.24,368,
2022-08-23,1001,66,15.17,463,
2022-08-24,1179,113,10.43,349,
2022-08-25,19940,702,28.4,7166,
2022-08-26,17549,699,25.11,8263,
2022-08-29,5971,274,21.79,2770,
2022-08-30,5966,264,22.6,3534,
2022-09-01,17403,529,32.9,5234,
2022-09-02,7223,404,17.88,1875,
2022-09-05,6790,319,21.29,3165,
2022-09-06,4364,282,15.48,1517,
2022-09-07,6224,376,16.55,2470,
2022-09-08,1892,73,25.92,491,
2022-09-09,4338,250,17.35,976,
2022-09-12,6729,323,20.83,2965,
2022-09-13,2484,29,85.66,2484,
2022-09-14,861,28,30.75,861,
2022-09-15,3258,57,57.16,3258,
2022-09-16,416,24,17.33,416,
2022-09-19,1205,25,48.2,1205,
2022-09-20,1946,30,64.87,1946,
2022-09-21,97,8,12.12,97,
2022-09-22,775,16,48.44,775,
2022-09-23,1048,23,45.57,1048,
2022-09-26,258213,362,713.3,258213,
2022-09-27,163889,153,1071.17,163889,
2022-09-28,76238,174,438.15,76238,
2022-09-29,30648,198,154.79,30648,
2022-09-30,52291,225,232.4,52291,
2022-10-03,25082,189,132.71,25082,
2022-10-04,21315,210,101.5,21315,
2022-10-06,69533,260,267.43,69533,
2022-10-07,13991,65,215.25,13991,
2022-10-10,7490,132,56.74,7490,
2022-10-11,50180,78,643.33,50180,
2022-10-12,3729,39,95.62,3729,
2022-10-13,3187,19,167.74,3187,
2022-10-14,8343,68,122.69,8343,
2022-10-17,153056,155,987.46,153056,
2022-10-18,89845,80,1123.06,89845,
2022-10-19,197103,262,752.3,197103,
2022-10-20,11081,67,165.39,11081,
2022-10-21,28778,269,106.98,28778,
2022-10-24,71989,159,452.76,71989,
2022-10-25,19299,107,180.36,19299,
2022-10-27,39344,318,123.72,39344,
2022-10-28,128246,609,210.58,128246,
2022-10-31,52220,491,106.35,52220,
2022-11-01,29494,252,117.04,29494,
2022-11-02,53143,334,159.11,53143,
2022-11-03,47843,451,106.08,47843,
2022-11-04,38425,351,109.47,38425,
2022-11-07,39680,400,99.2,39680,
2022-11-09,38163,399,95.65,38163,
2022-11-10,24149,236,102.33,24149,
